Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization,join_key
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,378.3,37.53,3.82,-66.37,144.27,62.76,570.69,-62.18,37.12,-25.06,7.51,-32.57,0.3,-32.87,-36.15,0.0,3.82,100.0,-165.68,10.18,9.22,1.74,67.77,26.23,158.77,115.07,79.28,37.24,463.06,202403.0,150.4,288.13,-6.7,-32.9,-7.14,160.73,65.36,41.8,107.16,7.62,99.54,0.23,99.31,9.1,89.41,0.0,89.41,40.66,55.63,9.22,20.12,1743.13,526881.0_63MOONS
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,1.0,-0.23,-90.38,-9.52,-75.63,-562.5,-0.69,0.55,-0.14,0.07,-0.21,0.08,-0.29,-0.06,0.0,-0.23,-23.0,-69.0,-23.0,28.01,-0.08,-0.39,0.11,2.35,6.36,-0.48,0.07,-2150.0,202403.0,-72.45,1.75,-0.29,-0.43,-0.15,1.9,-0.35,-0.03,-0.38,0.07,-0.45,0.02,-0.47,0.0,-0.47,0.0,-0.47,-18.42,-24.74,28.01,-0.17,14.66,540615.0___NA__
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,3.17,0.21,193.52,162.5,113.59,123.26,0.47,0.0,0.47,0.19,0.28,0.0,0.28,0.07,0.0,0.21,100.0,14.83,6.62,18.66,0.11,0.52,0.32,2.86,2.75,0.23,0.25,187.72,202403.0,125.0,6.19,0.82,0.61,0.33,3.01,0.34,0.0,0.34,0.07,0.27,0.0,0.27,0.0,0.27,0.0,0.27,11.3,8.97,,0.14,112.65,540874.0___NA__
A B B,500002.0,ABB,Electric Equipment,8531.1,3080.36,459.6,27.75,87.46,23.37,68.72,565.18,86.83,652.32,31.42,620.9,3.81,616.78,157.49,-0.31,459.29,42.82,18.35,14.92,42.38,21.67,438.53,348.72,2769.19,2508.63,362.87,295.63,67.06,202403.0,23.72,3103.62,470.8,429.04,20.25,2757.49,417.22,71.05,494.81,32.92,461.89,8.16,447.19,108.53,345.2,-6.54,338.66,15.13,12.52,42.38,15.98,180781.16,500002.0_ABB
A B Infrabuild,-1.0,ABINFRA,Construction,55.4,75.87,6.39,,,49.33,95.17,10.73,1.02,11.18,0.39,10.79,2.25,9.1,2.28,0.56,4.41,18.58,13.47,8.03,12.67,0.89,1.98,,43.49,,0.73,,89.13,202403.0,,,,,,107.94,13.27,,,,,,,,,,7.0,,,,1.41,275.59,-1.0_ABINFRA
A B M Internatl.,-1.0,ABMINTLLTD,Trading,62.0,15.64,-0.21,-32.21,-106.14,9.69,53.02,-1.23,0.09,-1.14,-0.01,-1.13,0.24,-1.37,-1.16,0.0,-0.21,-5.56,-7.86,-1.34,9.41,-0.22,-0.03,-1.13,32.07,24.9,0.03,-1.09,53.63,202403.0,25.01,31.13,-1.64,-1.89,-2.01,21.03,-2.1,0.13,-1.97,0.02,-1.99,0.17,-2.16,0.0,-2.15,0.0,-2.15,-9.99,-10.22,9.41,-2.29,58.33,-1.0_ABMINTLLTD
A F Enterprises,538351.0,__NA__,Trading,11.3,5.35,0.27,-73.72,113.99,-65.01,100.0,0.08,1.01,0.59,0.28,0.31,0.04,0.77,0.44,0.5,0.33,59.25,1.5,5.05,14.11,0.09,-0.2,-0.66,0.77,1.17,0.27,-0.46,81.84,202403.0,-50.87,0.57,-0.19,-0.37,-0.1,1.2,-0.03,0.2,0.17,0.27,-0.1,0.06,-0.16,-0.01,-0.15,0.0,-0.15,-2.5,-12.5,14.11,-0.04,41.46,538351.0___NA__
A G Universal,-1.0,AGUL,Trading,64.4,38.29,,,,32.09,860.0,3.31,,,,,,,,,1.2,,,,,2.19,,,,,,,287.9,202403.0,,,,,,40.08,1.49,,,,,,,,,,0.72,,,,1.31,35.31,-1.0_AGUL
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,30.54,2.1,-5.51,36.36,0.7,15.44,4.78,0.0,4.78,2.19,2.59,0.18,2.41,0.32,0.0,2.1,74.66,15.65,6.88,5.03,4.17,3.87,4.85,27.96,30.32,1.67,2.23,16.45,202403.0,1.01,30.63,4.94,2.96,5.88,28.42,5.47,0.0,5.47,1.63,3.84,0.16,3.68,0.93,2.75,0.0,2.75,19.25,9.68,5.03,5.47,130.54,539300.0___NA__
A R C Finance,540135.0,__NA__,Finance & Investments,1.18,7.82,0.07,72.25,116.28,33.53,-18.18,0.15,0.0,0.15,0.03,0.12,0.03,0.09,0.02,0.0,0.07,4.6,1.92,0.9,50.5,0.0,0.35,0.2,0.48,0.4,0.2,0.09,-63.93,202403.0,57.95,0.63,0.23,0.14,0.0,0.55,-0.04,0.0,-0.04,0.06,-0.1,0.02,-0.12,-0.03,-0.09,0.0,-0.09,-7.27,-16.36,50.5,0.0,59.61,540135.0___NA__
A-1 Acid,542012.0,__NA__,Trading,346.0,60.43,0.75,-15.62,-29.91,-37.65,-69.61,0.17,1.88,2.05,0.9,1.15,0.25,0.9,0.16,0.0,0.75,12.56,0.28,1.24,11.5,0.65,-0.11,-0.21,47.2,58.97,-0.04,0.18,-106.98,202403.0,-35.14,38.25,-0.09,-1.03,-0.9,39.55,-0.17,1.73,1.56,0.9,0.66,0.13,0.53,0.32,0.21,0.0,0.21,-0.43,0.53,11.5,0.18,397.91,542012.0___NA__
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1054.0,146.73,29.95,26.2,22.05,27.56,4.66,97.27,0.08,97.35,2.06,95.29,55.19,40.1,9.89,0.0,30.21,100.0,66.29,20.59,6.6,45.38,74.51,75.83,124.43,116.22,19.84,22.47,27.5,202403.0,27.46,148.13,94.25,36.55,54.9,131.82,78.9,0.12,79.02,2.3,76.72,50.69,26.03,6.03,19.81,0.0,20.0,59.85,15.17,6.6,30.02,695.64,530499.0___NA__
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.67,97.97,-20.4,8.0,53.34,11.18,-399.03,-47.91,49.25,-19.78,1.24,-21.02,1.33,-1.23,-0.77,21.12,-0.46,48.92,-48.9,-20.82,176.12,-0.07,-21.28,0.38,101.96,94.1,-3.49,-1.57,-6208.97,202403.0,11.42,104.85,-15.64,-18.78,-1.07,94.45,-19.78,21.61,-19.14,1.31,-20.45,0.72,-0.2,1.65,-16.71,20.97,-1.85,-20.94,-22.41,176.12,-0.08,381.65,533292.0_A2ZINFRA
AA Plus Trade,543319.0,__NA__,Trading,20.0,10.98,0.1,,,22.24,152.38,-0.06,0.37,0.12,0.0,0.12,0.02,0.1,0.0,0.0,0.24,0.76,-2.73,1.09,8.16,0.1,,,,,,,64.15,202403.0,,,,,,8.97,-0.13,,,,,,,,,,0.27,,,,0.11,48.65,543319.0___NA__
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,110.9,9.4,0.11,-21.6,-86.25,23.39,11.85,0.1,0.28,0.38,0.23,0.15,0.0,0.15,0.03,0.0,0.11,100.0,1.06,1.17,12.83,0.09,1.36,0.89,5.5,3.39,1.03,0.62,20.28,202403.0,11.11,3.77,0.88,0.72,0.56,5.51,1.93,0.25,2.18,0.23,1.95,0.0,1.95,0.49,1.46,0.0,1.46,35.03,26.5,12.83,1.14,142.24,543671.0_AAATECH
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,413.55,691.79,201.76,24.55,26.48,26.6,32.9,526.23,0.02,526.25,5.76,520.49,261.88,258.61,56.85,0.0,201.76,100.0,76.07,29.16,394.76,5.11,,,,,,,28.05,202403.0,,,,,,673.05,516.82,0.03,516.85,5.45,511.4,250.84,260.56,56.29,204.27,0.0,204.27,76.79,30.35,,5.17,17638.68,544176.0_AADHARHFC
Aadi Industries,530027.0,__NA__,Plastics Products,6.86,0.0,0.08,,500.0,,50.0,-0.04,0.12,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0.08,,,,10.0,0.08,-0.04,-0.08,0.0,0.0,-0.04,-0.09,8.7,202403.0,,,,,,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,,,10.0,-0.05,6.86,530027.0___NA__
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,30.89,3.51,56.72,231.13,-0.38,35.0,6.94,0.39,7.33,1.96,5.37,0.6,4.77,1.26,0.0,3.51,87.63,22.47,11.36,10.13,0.35,3.9,3.47,21.24,18.3,1.26,1.04,27.57,202403.0,8.75,19.9,3.67,1.38,0.14,21.8,2.79,0.05,2.84,1.95,0.89,0.35,0.54,0.13,0.41,0.0,0.41,12.8,1.88,10.13,0.04,143.37,-1.0_AAKASH
Aananda Lakshmi,539096.0,__NA__,Construction,14.58,0.06,0.46,,-6.12,900.0,824.39,0.01,-1.39,0.46,0.0,0.46,0.0,-1.38,0.0,-1.84,-1.38,83.33,16.67,766.67,3.5,-3.94,-0.04,1.23,0.0,1.32,1.35,1.89,263.06,202403.0,,,,,,0.71,0.63,1.84,2.71,0.0,2.71,0.0,2.47,0.0,2.71,-0.24,2.47,88.73,381.69,3.5,7.06,5.1,539096.0___NA__
Aanchal Ispat,538812.0,__NA__,Steel - Medium / Small,6.14,47.26,1.21,-15.11,107.29,-43.65,73.58,-0.66,0.0,-0.66,0.15,-0.81,-0.73,-0.08,-1.29,0.0,1.21,5.21,-1.4,2.56,20.85,0.58,-1.29,0.41,9.02,44.71,-3.54,-1.86,84.93,202403.0,-19.84,35.84,-2.13,-2.07,-0.99,8.35,-1.9,0.01,-1.89,0.16,-2.05,0.0,-2.05,0.0,-2.05,0.0,-2.05,-22.75,-24.55,20.85,-0.98,12.8,538812.0___NA__
Aarey Drugs,524412.0,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,210.35,2.15,29.14,497.22,-5.56,24.14,-1.44,5.14,3.7,1.15,2.55,0.4,2.15,-0.01,0.0,2.15,2.04,-0.68,1.02,28.05,0.85,1.84,1.34,57.83,50.96,1.23,0.72,-42.23,202403.0,8.94,55.52,1.29,0.07,0.03,76.48,2.7,0.29,2.99,1.06,1.93,0.47,1.46,-0.44,1.91,0.0,1.91,3.53,2.5,25.38,0.75,115.88,524412.0_AAREYDRUGS
Aarnav Fashions,539562.0,__NA__,Textiles - Products,47.98,100.19,2.2,-10.46,140.52,-10.15,1177.27,8.32,0.09,8.41,2.33,6.08,3.08,3.0,0.8,0.0,2.2,27.34,8.3,2.2,42.24,0.52,6.88,5.24,97.08,78.67,1.82,0.23,37.43,202403.0,-6.93,73.22,5.34,0.67,0.16,80.55,6.74,0.06,6.8,1.88,4.92,3.08,1.84,0.47,1.36,0.0,1.36,8.37,1.69,42.24,0.32,202.67,539562.0___NA__
Aaron Industries,-1.0,AARON,Engineering,262.45,19.08,2.33,18.8,40.36,13.21,17.22,3.63,0.09,3.72,0.39,3.33,0.25,3.08,0.76,0.0,2.33,33.28,19.03,12.21,10.47,2.22,2.17,2.78,14.0,15.52,1.2,1.61,16.56,202403.0,14.28,17.74,3.12,2.37,2.27,14.62,2.52,0.03,2.55,0.36,2.19,0.42,1.77,0.57,1.2,0.0,1.2,17.24,8.21,10.47,1.15,274.86,-1.0_AARON
Aartech Solonics,542580.0,AARTECH,Electric Equipment,200.4,9.98,-0.38,252.65,-22.58,50.95,-5.11,0.52,0.28,0.8,0.14,0.66,0.16,0.5,0.88,0.0,-0.38,38.18,5.21,-3.81,10.59,-0.39,0.06,0.37,9.05,6.38,0.45,0.73,-64.39,202403.0,112.58,13.56,0.38,0.07,0.07,7.34,-0.47,1.44,0.97,0.12,0.85,0.14,0.71,0.13,0.59,0.0,0.59,-6.4,8.04,10.59,0.57,212.22,542580.0_AARTECH
Aarti Drugs,524348.0,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,525.55,619.99,47.31,-16.49,-15.65,-6.9,3.07,85.81,1.08,86.89,13.58,73.31,9.13,64.18,16.87,0.0,47.31,35.95,13.84,7.63,91.94,5.15,76.44,84.07,641.54,661.11,39.6,47.97,2.27,202403.0,-6.2,620.15,78.02,56.09,6.1,605.94,70.14,1.67,71.81,12.66,59.15,7.6,51.55,14.84,36.67,0.0,36.71,11.58,6.06,91.94,3.99,4831.62,524348.0_AARTIDRUGS
Aarti Industries,524208.0,AARTIIND,Chemicals,694.0,1773.0,132.0,7.07,-11.41,-3.73,-23.68,283.0,0.0,283.0,98.0,185.0,59.0,126.0,-6.0,0.0,132.0,39.59,15.96,7.45,181.0,3.64,233.0,200.0,1454.0,1414.0,91.0,70.0,-10.47,202403.0,-2.82,1374.2,204.69,63.9,1.76,1732.0,259.0,8.0,267.0,97.0,170.0,54.0,116.0,-8.0,124.0,0.0,124.0,14.95,7.16,181.0,3.42,25157.81,524208.0_AARTIIND
Aarti Pharma,543748.0,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,606.5,505.77,65.25,4.27,52.2,-4.76,11.91,117.52,2.03,119.55,19.12,100.43,4.68,95.75,30.5,0.0,65.25,49.95,23.24,12.9,45.31,7.2,87.99,84.87,439.8,458.36,51.8,47.09,12.73,202403.0,-4.04,439.83,88.05,65.77,7.26,448.69,95.68,1.39,97.07,18.77,78.3,4.48,73.82,21.06,52.76,0.0,52.76,21.32,11.76,45.31,5.82,5496.46,543748.0_AARTIPHARM
Aarti Surfactant,543210.0,AARTISURF,Chemicals,684.95,158.55,5.59,0.45,18.94,-1.9,75.22,15.21,0.05,15.26,4.15,11.11,3.41,7.7,2.11,0.0,5.59,22.86,9.59,3.53,8.47,6.61,16.26,14.8,143.86,148.7,4.75,5.25,31.96,202403.0,-1.74,146.12,15.3,7.9,9.34,138.75,16.73,0.03,16.76,4.02,12.74,3.65,9.09,2.4,6.68,0.0,6.68,12.06,4.81,7.94,7.86,579.37,543210.0_AARTISURF
Aarvee Denims,514274.0,AARVEEDEN,Textiles - Cotton/Blended,28.21,24.0,-6.46,-51.92,58.16,-67.52,33.22,-5.26,0.58,-4.68,1.12,-5.8,6.76,-12.56,-6.1,0.0,-6.46,22.67,-21.92,-26.92,23.46,-2.75,-6.16,-10.53,24.81,10.37,-12.97,-18.59,-10.87,202403.0,-55.84,4.58,-2.96,-10.61,-4.52,25.55,-9.17,3.37,-5.8,1.63,-7.43,7.69,-15.12,-8.52,-6.6,0.0,-6.6,-35.89,-25.83,23.46,-2.81,66.18,514274.0_AARVEEDEN
Aarvi Encon,-1.0,AARVI,Miscellaneous,139.57,103.11,3.04,-3.0,-11.88,-6.96,-25.69,2.97,1.0,3.97,0.34,3.63,0.42,3.21,0.17,0.0,3.04,100.0,2.88,2.95,14.78,2.06,3.18,4.14,102.29,100.87,2.61,3.32,-32.67,202403.0,-6.87,93.94,3.21,2.5,1.69,99.88,2.22,0.9,3.12,0.35,2.77,0.39,2.38,0.01,2.38,0.0,2.38,2.22,2.38,14.78,1.61,206.35,-1.0_AARVI
Aashka Hospitals,543346.0,__NA__,Healthcare,116.9,12.07,,,,20.75,191.83,3.63,,,,,,,,,1.93,,,,,0.82,,,,,,,1248.48,202403.0,,,,,,10.8,0.83,,,,,,,,,,0.42,,,,0.18,273.54,543346.0___NA__
AastamangalamFin,511764.0,__NA__,Finance & Investments,44.25,2.21,1.19,92.17,1587.5,109.85,148.28,2.01,0.0,2.01,0.0,2.01,0.42,1.59,0.39,0.0,1.19,100.0,90.95,53.85,8.91,1.34,1.26,1.01,1.42,1.14,0.36,0.76,106.75,202403.0,111.38,2.41,2.17,1.75,1.96,2.26,2.15,0.0,2.15,0.0,2.15,0.39,1.76,0.44,1.31,0.0,1.31,95.13,57.96,8.91,1.47,39.43,511764.0___NA__
Aatmaj Health,-1.0,AATMAJ,Healthcare,26.25,7.17,,,,-33.7,-85.11,-1.32,,,,,,,,,-1.41,,,,,-0.62,,,,,,,-74.06,202403.0,,,,,,8.57,3.87,,,,,,,,,,2.29,,,,1.01,59.33,-1.0_AATMAJ
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1864.55,546.02,142.62,21.47,12.52,25.44,14.15,407.37,0.78,408.15,9.1,399.05,221.56,177.49,34.88,0.0,142.62,100.0,74.61,26.12,79.14,18.02,366.99,334.55,496.66,466.81,121.72,109.71,27.06,202403.0,25.57,586.17,427.0,195.54,24.71,508.01,373.77,1.19,374.96,8.65,366.31,216.57,149.74,33.09,116.65,0.0,116.65,73.58,22.96,79.12,14.74,14755.99,541988.0_AAVAS
Aayush Food&Herb,539528.0,__NA__,Trading,304.0,0.0,0.17,-100.0,156.67,-92.59,239.02,0.23,-0.04,0.19,0.0,0.19,0.0,0.19,0.02,0.0,0.17,,,,3.25,0.52,0.24,-0.08,0.6,0.0,0.28,0.09,143.21,202403.0,,,,,,0.0,-0.03,0.06,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,,,3.25,0.09,98.64,539528.0___NA__
AB Cotspin,-1.0,ABCOTS,Textiles - Cotton/Blended,259.0,144.75,3.32,,,51.25,247.15,15.12,0.04,5.78,0.8,4.98,0.7,4.28,0.95,0.0,4.72,37.57,18.82,10.89,7.6,4.59,,,,,,,153.26,202403.0,,,,,,111.02,11.32,,,,,,,,,,1.98,,,,1.92,266.57,-1.0_ABCOTS
Aban Offshore,523204.0,ABAN,Oil Drilling / Allied Services,65.5,137.47,-340.14,88.44,10.13,0.74,-11.29,-32.62,9.99,-22.63,30.73,-53.36,277.05,-330.41,8.43,0.0,-340.14,87.19,-23.73,-247.43,11.67,-58.28,-40.21,-42.21,63.34,104.57,-317.71,-333.25,-17.8,202403.0,21.84,127.4,-53.11,-362.84,-62.17,94.29,-39.44,12.18,-27.26,22.41,-49.67,274.15,-323.82,2.7,-326.79,0.0,-326.79,-41.83,-346.58,11.67,-55.99,382.29,523204.0_ABAN
ABans Enterprise,512165.0,__NA__,Trading,135.55,565.61,-1.32,64.8,-200.76,-5.16,-44.99,7.72,1.17,8.89,0.46,8.43,3.59,4.84,6.36,0.0,-1.52,2.04,1.36,-0.27,13.95,-0.95,4.42,6.59,437.41,279.88,2.32,3.59,106.6,202403.0,10.14,308.27,6.13,2.23,1.39,488.08,12.13,1.06,13.19,0.49,12.7,3.62,9.08,3.71,5.06,0.0,5.37,2.49,1.1,13.95,3.63,189.09,512165.0___NA__
Abans Holdings,543712.0,AHL,Finance & Investments,478.95,252.32,19.49,-55.91,-7.19,18.47,26.0,36.92,0.12,37.04,0.16,36.88,11.64,25.24,4.08,0.0,21.17,25.17,14.63,8.39,10.03,3.89,32.55,33.19,359.42,251.5,23.37,20.85,74.72,202403.0,,,,,,506.2,38.42,0.74,39.16,0.15,39.01,13.17,25.84,1.99,21.65,0.0,23.85,7.59,4.71,10.03,4.32,2401.73,543712.0_AHL
Abate As Indust,531658.0,__NA__,Trading,28.7,0.0,-0.16,,5.88,-100.0,-160.0,-0.16,0.0,-0.16,0.0,-0.16,0.0,-0.16,0.0,0.0,-0.16,,,,5.02,-0.32,-0.05,-0.05,0.0,0.0,-0.05,-0.05,-160.0,202403.0,,,,,,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,,,5.02,-0.04,14.41,531658.0___NA__
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,27611.25,1438.63,287.06,7.11,24.04,9.35,26.5,329.53,81.15,410.68,18.19,392.49,2.81,389.68,102.62,0.0,287.06,43.98,22.91,19.95,21.25,135.09,380.88,355.0,1494.14,1479.0,312.94,290.24,20.5,202403.0,9.4,1618.03,397.45,373.97,175.99,1437.14,387.69,55.61,443.3,17.97,425.33,3.17,422.16,111.18,310.98,0.0,310.98,26.98,21.64,21.25,146.35,58673.92,500488.0_ABBOTINDIA
ABC Gas (Int.),513119.0,__NA__,Trading,91.58,0.0,-0.18,,56.1,-50.0,-470.0,-0.18,0.83,-0.18,0.01,-0.19,0.0,0.64,0.01,0.83,0.63,,,,1.98,3.18,-0.13,-0.07,0.0,0.0,-0.14,-0.09,-253.33,202403.0,,,,,,0.01,-0.16,0.01,-0.15,0.01,-0.16,0.0,-0.16,0.03,-0.2,0.0,-0.2,-1600.0,-2000.0,1.98,-1.01,18.13,513119.0___NA__
ABC India,520123.0,__NA__,Miscellaneous,112.3,39.67,0.15,7.22,-84.38,13.38,-9.47,1.55,0.03,1.56,0.38,1.18,0.58,0.62,0.46,0.02,0.16,60.75,3.91,0.38,5.42,0.3,1.46,1.32,46.13,36.21,0.69,0.77,18.66,202403.0,15.76,41.92,1.51,0.61,1.13,42.58,1.52,0.21,1.72,0.33,1.39,0.53,0.87,0.21,0.65,0.01,0.66,3.57,1.53,5.41,1.22,60.83,520123.0___NA__
