Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization,join_key
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,379.45,4.61,0.36,1.32,670.78,679.62,635.5,,1836.0,78.33,0.18,0.0,0.0,7.38,2.25,0.98,1.04,-0.16,-0.9,0.16,52.14,-21.59,-48.54,43600.0,-17.46,60.85,91.6,98.04,0.1,0.84,15.17,16.21,22.67,16.13,319.55,373.7,347.43,1721.49,209.01,-0.55,0.0,1748.43,526881.0_63MOONS
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,2.4,-0.62,-0.15,2.09,2.2,,0.54,1.88,3.13,1.48,0.0,0.0,0.0,2.1,0.63,1.11,1.13,-0.17,-0.21,,-1.11,-0.15,35721.0,0.0,319.37,19.84,3.04,-0.02,0.91,71.65,113.33,113.33,110.0,21.5,156.14,,,479.26,0.0,0.0,14.66,540615.0___NA__
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,0.71,,,-5.19,-6.8,,,,,,0.0,0.0,0.0,12.58,-100.56,-97.11,-72.71,,,,5.98,-32.56,2440.0,0.0,58.36,182.5,73.0,69.19,9.29,61.84,61.63,61.63,61.63,7.74,10.18,,,372.67,0.0,0.0,112.65,540874.0___NA__
A B B,500002.0,ABB,Electric Equipment,8522.4,21.19,14.06,17.76,170.19,166.12,132.7,4.39,5.21,3.64,5.2,0.0,0.0,187.74,23.27,18.23,17.55,17.25,12.87,13.72,11.71,9.83,8.84,106396.0,24.42,92.41,106.28,92.03,6.6,8.86,103.79,84.92,87.77,100.14,25683.34,25058.87,19566.42,12996.67,-5.51,8.16,-1.11,180596.8,500002.0_ABB
A B Infrabuild,-1.0,ABINFRA,Construction,55.0,0.28,15.88,19.34,18.78,20.34,,1.12,1.13,1.04,2.56,0.0,0.0,0.0,19.97,16.88,17.84,16.86,15.83,17.23,8.29,10.7,11.0,137.0,0.0,105.04,213.22,104.87,3.93,5.03,8.5,7.35,7.35,7.35,9.15,,,,178.27,0.0,0.0,273.6,-1.0_ABINFRA
A B M Internatl.,-1.0,ABMINTLLTD,Trading,61.99,0.2,-4.44,-15.23,19.5,10.88,,15.21,10.92,51.11,,0.0,0.0,0.0,-17.05,-0.09,-1.26,-0.25,,-4.73,,-0.61,-0.33,1349.0,0.0,13.8,15.13,23.87,-2.43,-9.38,40.99,29.82,35.28,27.42,68.27,17.46,71.27,,30.9,,,58.32,-1.0_ABMINTLLTD
A F Enterprises,538351.0,__NA__,Trading,10.91,,,1.32,4.35,,,,,,,0.0,,,2.36,2.36,2.36,2.36,,,,,,4732.0,,2614.47,1036.99,,,0.03,31.73,31.73,31.73,31.73,44.68,4.22,6.1,,626.6,0.0,0.0,40.03,538351.0___NA__
A G Universal,-1.0,AGUL,Trading,64.4,,,20.3,,,,71.5,,,,0.0,0.0,0.0,12.91,12.02,12.02,12.02,,,,3.41,,,0.0,50.65,31.62,,,3.02,21.47,21.47,21.47,21.47,,,,,39.89,,,35.31,-1.0_AGUL
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,0.5,15.95,20.95,42.51,41.6,,2.24,3.89,6.75,5.03,0.0,0.0,0.0,22.13,16.44,14.55,14.36,13.94,14.47,28.65,13.07,12.11,3212.0,0.0,63.76,110.79,90.31,7.02,9.95,9.58,9.56,8.68,8.61,13.33,15.7,30.12,,40.32,0.0,0.0,130.54,539300.0___NA__
A R C Finance,540135.0,__NA__,Finance & Investments,1.18,50.5,0.51,0.57,1.01,1.01,,0.84,2.13,2.72,74.91,0.0,0.0,0.0,1.36,1.02,0.66,0.74,0.32,0.24,19.73,6.11,5.18,82068.0,0.0,50.74,4.36,33.11,0.39,0.41,86.0,74.0,74.0,77.0,19.19,5.05,66.16,,478.56,0.0,0.0,59.61,540135.0___NA__
A-1 Acid,542012.0,__NA__,Trading,346.0,0.12,7.95,8.04,34.97,32.59,,82.39,102.14,136.62,,0.0,0.0,1.04,9.72,9.87,12.13,13.43,,9.24,-33.28,1.87,1.69,1961.0,77.31,50.52,91.19,69.56,5.38,5.25,76.88,59.03,59.03,63.87,99.85,60.0,,,51.88,2.9,0.0,397.91,542012.0___NA__
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1051.0,0.66,10.6,10.89,1036.14,931.32,581.44,0.0,0.0,0.0,0.0,0.0,0.0,5.28,8.91,9.13,9.29,9.6,11.17,11.08,-4.17,63.01,61.81,2188.0,7.07,4.19,4.6,7.01,3.12,3.04,3.75,3.83,3.68,3.58,203.74,217.14,257.8,80.78,464.14,0.0,0.0,693.66,530499.0___NA__
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.67,8.65,-33.02,-54.06,19.18,23.44,82.27,0.09,1.21,8.64,3.47,0.0,0.0,0.0,-11.33,-7.5,-5.04,-3.39,-29.84,-30.48,,-13.79,-3.35,45414.0,0.0,338.19,794.15,413.1,-5.53,-5.5,,13.2,13.2,13.2,66.04,292.36,629.08,77.52,97.17,0.3,0.0,381.65,533292.0_A2ZINFRA
AA Plus Trade,543319.0,__NA__,Trading,20.0,,2.55,2.65,,,,,,,,0.0,0.0,0.0,3.15,3.15,3.16,3.16,,,17.74,-3.28,,322.0,0.0,109.54,165.57,44.12,1.63,1.91,108.33,108.33,108.33,108.33,,,,,380.47,,,48.65,543319.0___NA__
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,110.9,0.08,13.49,11.46,17.49,,,,,,,0.0,0.0,0.46,15.4,22.64,27.06,20.96,13.99,15.05,-19.52,22.07,16.46,1265.0,20.2,169.92,331.88,225.21,13.36,10.35,34.58,30.44,30.44,30.44,36.26,,,,232.43,0.0,0.0,142.24,543671.0_AAATECH
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,416.55,,15.76,16.88,,,,,,,,0.0,0.0,0.0,10.5,10.24,10.24,10.24,,,,76.63,,,0.0,1.26,0.63,1.11,3.08,3.67,21.06,21.06,21.06,21.06,,,,,-58.67,,,17766.62,544176.0_AADHARHFC
Aadi Industries,530027.0,__NA__,Plastics Products,6.86,1.0,,,-6.07,-5.96,-6.05,0.0,10.67,,,0.0,0.0,0.0,-52.89,-45.64,-45.64,-28.85,,,,,,4655.0,0.0,3163.33,,2246.15,-11.76,-42.74,,2.74,,,1.03,1.03,1.29,3.49,3771.67,0.0,0.0,6.86,530027.0___NA__
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,3.0,11.6,11.25,4.1,3.69,,,,,,0.0,0.0,0.0,13.31,13.61,13.32,12.2,,11.8,-2.51,19.02,18.54,23860.0,0.0,86.22,91.23,130.4,7.18,7.29,23.58,20.45,20.45,21.58,131.69,12.16,,,45.93,0.03,0.0,143.37,-1.0_AAKASH
Aananda Lakshmi,539096.0,__NA__,Construction,14.58,0.35,,,-82.45,-69.99,,18.29,13.29,0.95,6.32,0.0,0.0,0.0,74.92,37.64,22.09,12.34,,,,-12.81,-5.55,6830.0,0.0,726.08,153.99,513.39,-0.74,11.38,2.23,1.77,2.27,2.23,1.82,0.79,1.17,,-140.78,0.0,0.01,5.1,539096.0___NA__
Aanchal Ispat,538812.0,__NA__,Steel - Medium / Small,6.14,2.09,-22.2,-33.35,24.2,26.85,18.8,6.61,6.94,9.9,6.99,0.0,0.0,0.0,-7.82,-5.18,-1.34,1.63,-8.96,-12.91,,-4.68,-0.07,4393.0,0.0,152.11,221.85,69.72,-7.67,-9.41,,15.93,14.51,12.61,12.51,19.25,19.35,,178.72,0.0,0.0,12.8,538812.0___NA__
Aarey Drugs,524412.0,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,1.68,5.24,4.4,41.28,38.5,21.05,18.87,15.17,33.77,45.22,0.0,0.0,0.0,6.96,7.84,9.43,10.23,6.14,6.01,-14.08,1.61,1.68,17699.0,0.0,145.5,169.72,108.88,2.43,1.9,20.0,18.52,13.0,12.76,54.25,67.58,183.83,18.21,107.93,-0.02,0.0,115.88,524412.0_AAREYDRUGS
Aarnav Fashions,539562.0,__NA__,Textiles - Products,47.85,0.3,3.62,2.97,110.05,13.88,,4.88,153.19,,1.25,2.32,0.0,0.99,6.15,10.3,9.08,7.14,3.6,3.63,-8.78,6.81,6.84,42120.0,7.55,124.06,270.8,323.42,3.61,1.15,16.11,27.91,27.91,27.9,133.54,4.51,,,160.65,0.0,0.0,202.12,539562.0___NA__
Aaron Industries,-1.0,AARON,Engineering,263.2,,22.91,25.57,12.12,10.56,,2.78,2.71,2.95,,0.0,0.0,0.63,24.11,21.16,24.69,23.6,,22.98,6.68,16.27,,6988.0,18.93,20.22,25.3,38.27,11.66,13.79,42.39,34.62,34.62,37.02,57.45,22.81,,,86.91,0.0,0.0,275.65,-1.0_AARON
Aartech Solonics,542580.0,AARTECH,Electric Equipment,200.4,,3.08,5.23,23.58,23.32,,2.3,2.05,,,0.0,0.0,0.28,8.25,5.11,4.88,4.88,,,23.65,5.23,,238.0,15.79,150.39,212.81,132.07,2.41,4.32,57.5,54.3,54.3,55.96,26.15,24.56,,,212.97,0.01,1.39,212.22,542580.0_AARTECH
Aarti Drugs,524348.0,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,523.9,9.69,20.42,16.32,98.01,70.01,31.8,3.77,4.42,3.44,,0.0,0.0,11.13,16.96,21.2,20.0,19.53,,20.06,-4.52,14.23,14.61,169090.0,5.15,109.3,94.05,107.22,10.09,8.19,23.61,18.99,21.2,23.2,6470.88,1502.48,1373.57,317.79,122.17,-0.01,3.99,4816.45,524348.0_AARTIDRUGS
Aarti Industries,524208.0,AARTIIND,Chemicals,694.55,35.44,16.09,15.52,100.54,85.5,28.68,2.2,2.34,3.06,3.16,0.0,0.0,73.39,13.24,13.63,14.68,16.12,17.93,17.13,-18.96,20.68,20.31,385751.0,12.01,54.88,64.29,67.97,8.61,8.84,34.49,25.87,29.81,33.45,20837.46,12083.21,5552.26,961.84,99.01,-0.97,3.62,25177.75,524208.0_AARTIIND
Aarti Pharma,543748.0,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,608.0,,,13.94,,,,,,,,,,,17.38,17.38,17.38,17.38,,,,,,276664.0,7.3,99.82,,,,10.02,20.9,20.9,20.9,20.9,,,,,174.86,,,5510.05,543748.0_AARTIPHARM
Aarti Surfactant,543210.0,AARTISURF,Chemicals,682.35,,8.85,8.43,156.07,,,5.63,4.76,,,0.0,16.4,0.45,10.61,10.18,10.18,10.18,,,,8.29,,41140.0,0.0,39.2,42.65,42.2,3.48,3.32,54.22,66.94,66.94,66.94,779.36,,,,63.0,-1.46,-0.38,577.17,543210.0_AARTISURF
Aarvee Denims,514274.0,AARVEEDEN,Textiles - Cotton/Blended,28.21,2.35,-35.76,-55.22,71.45,98.46,109.1,1.26,1.97,3.42,3.19,0.0,0.0,0.0,-8.72,-6.69,-2.59,0.21,-11.83,-20.03,,-3.35,5.79,9787.0,0.0,249.13,286.71,139.67,-8.07,-9.08,,22.21,25.65,37.17,41.05,54.54,174.42,82.81,355.95,0.0,-0.01,66.18,514274.0_AARVEEDEN
Aarvi Encon,-1.0,AARVI,Miscellaneous,139.27,0.03,12.34,12.79,57.54,51.62,,,,,,0.0,0.0,2.51,14.41,13.32,14.24,16.21,13.05,12.59,-3.94,4.1,4.83,8132.0,23.64,85.5,96.64,86.36,8.22,8.64,13.08,9.79,9.79,11.42,76.43,60.61,,,58.64,0.0,0.0,205.91,-1.0_AARVI
Aashka Hospitals,543346.0,__NA__,Healthcare,117.15,,2.56,0.86,,,,12.46,6.38,,,0.0,0.0,0.0,3.82,7.34,7.34,7.34,,,,21.5,,2435.0,0.0,104.51,65.66,45.64,2.25,0.76,19.76,19.76,19.76,19.76,,,,,102.41,,,274.12,543346.0___NA__
AastamangalamFin,511764.0,__NA__,Finance & Investments,44.23,0.43,6.27,8.16,32.68,31.56,27.37,,,,,0.0,0.0,0.0,6.51,4.86,4.59,5.11,5.4,5.48,28.76,77.25,68.46,6033.0,0.0,99.62,0.0,0.0,2.69,3.29,11.73,15.53,16.64,14.41,5.28,25.6,11.36,3.61,37.95,0.0,0.0,39.41,511764.0___NA__
Aatmaj Health,-1.0,AATMAJ,Healthcare,26.25,,,38.03,,,,24.74,,,,0.0,0.0,0.0,41.39,47.01,47.01,47.01,,,,32.57,,,0.0,259.83,13.43,,,21.41,13.41,13.41,13.41,13.41,,,,,210.95,,,59.33,-1.0_AATMAJ
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1868.6,3.29,13.57,13.94,305.89,267.86,,,,,,0.0,0.0,0.0,9.64,9.81,10.05,10.72,13.38,13.22,3.69,73.7,73.57,60388.0,0.0,2.21,0.0,0.0,3.52,3.46,37.33,49.21,49.21,45.62,19004.79,9027.71,,,31.39,2.67,15.88,14788.04,541988.0_AAVAS
Aayush Food&Herb,539528.0,__NA__,Trading,299.0,0.32,-3.07,-12.58,20.99,19.66,,5.69,5.08,18.27,,0.0,0.0,0.0,-2.37,4.47,9.41,7.89,1.71,1.13,2.16,0.5,0.31,2330.0,0.0,44.13,58.13,64.86,0.13,-0.63,465.65,19.0,17.97,20.24,8.49,10.45,9.23,,197.29,0.0,0.0,97.02,539528.0___NA__
AB Cotspin,-1.0,ABCOTS,Textiles - Cotton/Blended,259.0,,13.35,13.58,,,,4.02,4.14,5.34,,0.0,0.0,0.0,12.01,11.33,10.59,10.59,,12.3,15.74,8.64,,247.0,0.0,23.04,22.91,28.43,4.74,5.14,13.32,13.32,13.32,13.32,,,,,86.9,,,266.57,-1.0_ABCOTS
Aban Offshore,523204.0,ABAN,Oil Drilling / Allied Services,65.5,5.78,,,-2882.32,-2624.97,937.42,0.03,0.1,0.08,0.05,0.0,0.0,0.0,0.0,-174.22,-72.72,-33.69,,,,-278.67,-57.17,108202.0,0.0,227.46,183.71,478.92,-63.81,-63.36,,3.97,,,171.89,334.72,1314.09,2314.43,-6756.34,0.34,-0.16,382.29,523204.0_ABAN
ABans Enterprise,512165.0,__NA__,Trading,132.2,,,9.46,137.56,39.2,,75.37,,,,0.0,0.0,0.06,10.97,13.25,13.25,13.25,,,,0.81,,1565.0,0.0,27.06,22.55,,,5.48,7.53,7.66,7.66,7.66,157.63,56.98,7.07,0.81,43.49,8.38,0.0,184.42,512165.0___NA__
Abans Holdings,543712.0,AHL,Finance & Investments,487.3,,8.83,9.21,,,,45.0,54.12,,,0.0,0.0,0.0,9.18,9.5,9.5,9.5,,,,6.91,,28243.0,0.0,104.11,93.99,19.64,4.14,4.49,21.46,21.46,21.46,21.46,,,,,276.46,,,2443.61,543712.0_AHL
Abate As Indust,531658.0,__NA__,Trading,28.7,0.5,,,1.34,1.28,10.55,,,,,,,0.0,-103.09,-60.96,-51.28,-39.24,,,,,,1109.0,0.0,-4380.0,,,-57.78,-97.71,354.5,71.88,71.94,91.56,1.5,1.24,0.9,0.47,9307.5,0.0,0.0,14.41,531658.0___NA__
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,27674.35,2.12,30.47,32.2,1224.59,1144.37,441.21,3.86,4.11,3.53,3.55,1.96,0.0,652.38,41.84,39.19,39.13,38.53,28.47,29.38,7.77,22.11,19.4,72086.0,72.81,20.98,21.19,27.4,20.62,22.03,49.6,45.6,48.31,50.29,31838.46,15522.19,9865.2,3729.78,-6.89,-0.07,2.17,58808.0,500488.0_ABBOTINDIA
ABC Gas (Int.),513119.0,__NA__,Trading,91.58,0.2,-22.13,-23.72,7.12,9.19,12.07,0.55,0.93,0.63,0.73,0.0,0.0,0.0,-20.8,-16.77,-11.68,-8.32,-12.27,-16.03,,-100.63,-29.32,6398.0,0.0,654.16,3241.55,1336.75,-9.72,-11.73,,25.87,30.6,30.6,1.88,2.38,2.49,1.04,26884.38,0.0,0.0,18.13,513119.0___NA__
ABC India,520123.0,__NA__,Miscellaneous,112.3,0.54,7.62,6.21,63.56,63.39,91.08,65.31,104.18,94.85,100.84,0.0,0.0,0.22,8.37,10.69,8.69,4.75,-4.34,4.58,-23.25,3.74,2.3,4755.0,9.38,73.18,111.4,78.02,3.06,2.66,19.78,18.76,18.76,18.46,33.48,28.82,46.86,46.53,78.53,0.0,0.0,60.83,520123.0___NA__
Abhinav Capital,532057.0,__NA__,Finance & Investments,207.7,0.69,11.77,14.65,45.95,42.04,23.51,,,,,0.0,0.0,0.0,18.21,13.07,13.83,14.8,12.02,11.83,6.58,86.66,89.18,951.0,0.0,0.0,0.0,0.0,8.72,12.51,10.14,13.27,11.86,11.37,21.12,50.17,62.32,19.77,999.29,0.0,0.0,143.83,532057.0___NA__
Abhinav Leasing,538952.0,__NA__,Finance & Investments,2.76,5.0,1.57,1.95,1.12,1.11,1.1,46.92,4.91,5.66,0.56,0.0,0.0,0.0,24.44,17.14,13.92,11.05,0.9,1.17,59.27,2.96,3.42,5725.0,0.0,11.97,0.15,2.9,0.34,0.25,100.5,99.0,99.0,98.0,3.85,8.0,94.21,,-151.25,0.0,0.0,13.8,538952.0___NA__
Abhishek Finle.,538935.0,__NA__,Finance & Investments,37.0,0.43,2.11,3.19,9.36,9.1,8.84,0.43,0.45,4.57,0.14,0.0,0.0,0.0,4.56,2.93,2.64,2.32,1.72,1.88,36.85,17.83,12.75,942.0,0.0,27.63,37.76,37.92,1.86,2.88,105.44,93.57,101.52,103.6,5.46,3.28,2.32,,196.37,0.0,0.0,15.78,538935.0___NA__
Abhishek Infra.,539544.0,__NA__,Construction,7.14,,,-5.04,8.62,,,,,,,,,,-4.86,-4.86,-4.86,-4.86,,,,,,2553.0,,1228.94,1.44,,,-2.19,29.55,29.55,29.55,29.55,1.48,1.04,5.23,,1148.97,0.0,0.0,3.6,539544.0___NA__
Abhishek Integr.,-1.0,AILIMITED,Construction,69.45,,,8.85,,,,,,,,0.0,,0.0,12.65,12.65,12.65,12.65,,,,6.41,,226.0,0.0,35.1,215.89,0.0,,5.79,26.61,26.79,26.79,26.79,,,,,133.52,0.0,0.0,41.82,-1.0_AILIMITED
Abirami Fin.,511756.0,__NA__,Finance & Investments,58.2,0.6,26.37,35.76,13.22,13.42,14.35,,,,,,,0.24,42.1,25.49,18.64,14.07,16.5,21.04,93.23,,,1387.0,2.74,0.0,,,17.91,29.69,17.74,23.76,25.0,23.76,2.22,5.2,3.41,3.9,0.0,0.0,0.0,31.43,511756.0___NA__
ABM Knowledge,531161.0,__NA__,Computers - Software - Medium / Small,148.0,2.0,8.12,6.94,93.63,83.72,43.2,,,,,0.0,0.0,2.55,9.15,10.85,11.88,17.04,10.5,8.64,-7.92,22.98,27.44,4929.0,17.97,183.75,108.57,128.32,7.14,6.0,14.41,12.37,12.31,12.71,224.42,123.81,302.23,47.46,344.45,-0.23,0.0,296.03,531161.0___NA__
ABS Marine,-1.0,ABSMARINE,Shipping,355.0,,,12.22,,,,,,,,0.0,,,11.24,11.24,11.24,11.24,,,,,,,0.0,76.76,63.68,,,6.76,,,,,,,,,42.15,,,871.54,-1.0_ABSMARINE
ACC,500410.0,ACC,Cement - North India,2648.4,18.77,11.94,11.62,676.25,614.73,437.7,4.98,4.15,3.56,3.71,0.0,0.0,386.32,15.28,16.16,16.06,15.06,11.68,12.14,-1.53,14.53,14.17,170373.0,28.07,13.29,11.95,21.39,8.19,8.0,29.32,26.89,25.41,22.75,30377.41,28320.2,24995.43,20816.27,-4.48,-7.5,5.32,49733.6,500410.0_ACC
Accedere,531533.0,__NA__,Computers - Software - Medium / Small,85.5,,-0.63,-0.97,8.3,8.28,,0.25,,,,0.0,0.0,0.0,-1.67,-1.14,-1.14,-1.14,,,,2.71,,2423.0,0.0,217.02,1338.33,691.83,-1.0,-1.59,190.91,120.97,120.97,123.25,5.49,1.71,2.28,9.02,341.1,0.0,0.0,43.01,531533.0___NA__
Accel,517494.0,__NA__,Computers - Software - Medium / Small,22.44,,0.51,5.47,13.94,10.5,,12.28,97.73,7.28,,0.0,0.0,1.03,9.0,3.83,0.12,0.12,,-1.63,22.22,9.06,,12960.0,46.58,85.38,103.97,63.27,-0.76,2.12,35.89,35.89,35.89,35.89,89.62,52.22,5.56,4.82,28.32,0.0,-0.01,129.18,517494.0___NA__
AccelerateBS Ind,543938.0,__NA__,Computers - Software - Medium / Small,339.0,,,,,,,,,,,,,,70.92,70.92,70.92,70.92,,,,,,,,78.28,,,,,86.91,86.91,86.91,86.91,,,,,47.89,,,72.85,543938.0___NA__
Accelya Solution,532268.0,ACCELYA,Computers - Software - Medium / Small,1744.9,1.49,36.75,31.12,163.98,132.36,73.39,,,,,0.0,0.0,65.99,38.52,50.56,61.75,76.28,46.5,41.17,-2.2,36.89,38.2,25446.0,127.35,69.26,67.47,53.15,26.68,22.05,21.5,20.61,20.24,20.46,1373.22,1737.12,1708.99,678.25,54.91,-0.12,0.4,2605.14,532268.0_ACCELYA
Accent Microcell,-1.0,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.0,,,44.98,,,,4.95,,,,62.99,62.99,0.83,35.39,30.81,30.81,30.81,,,,10.38,,,10.82,38.62,59.36,,,15.5,26.77,26.77,26.77,26.77,,,,,56.01,,,597.62,-1.0_ACCENTMIC
Accord Synergy,-1.0,ACCORD,Telecommunications - Service Provider,28.3,0.0,-3.41,-12.12,57.75,54.58,,0.21,0.4,-1.99,,0.0,0.0,0.0,-8.76,-0.98,6.06,14.78,,2.5,-34.01,1.06,5.83,188.0,0.0,119.14,106.15,106.29,-3.21,-7.95,89.14,4.02,4.02,6.67,6.25,8.68,,,121.86,0.0,0.0,9.83,-1.0_ACCORD
Accuracy Shippi.,-1.0,ACCURACY,Miscellaneous,13.54,,8.65,8.64,5.45,4.88,,37.29,5.09,,,0.0,0.0,15.06,11.7,11.2,11.2,11.2,,,,5.28,,6384.0,138.67,54.49,102.6,90.78,3.44,3.37,19.9,16.2,16.2,16.2,75.45,118.97,,,69.05,0.03,-12.3,203.85,-1.0_ACCURACY
