Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,join_key
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,110.9,0.0,12.83,0.0,15.13,0.0,0.0,29.39,3.39,0.0,1.37,1.42,0.0,0.0,27.93,1.43,0.0,0.0,1.06,29.39,26.5,0.0,0.0,5.95,10.0,20.51,0.0,0.0,1.28,0.0,23.39,2.02,3.39,0.0,21.77,6.17,4.21,3.55,0.0,0.54,0.71,0.77,0.97,1.12,0.39,142.24,543671.0_AAATECH
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,416.2,13959.62,394.76,0.0,4054.99,12087.98,65.47,19093.06,90.05,0.0,26.73,79.82,0.0,461.97,1569.58,656.55,0.0,0.0,8.99,19093.06,913.03,0.0,0.0,0.0,10.0,1273.43,2.56,108.64,39.48,12153.45,1486.12,63.32,90.05,0.0,1921.34,867.74,,,10374.47,8194.97,,,53.13,41.67,,17751.69,544176.0_AADHARHFC
Aadi Industries,530027.0,__NA__,Plastics Products,6.86,6.83,10.0,0.0,-16.69,0.35,6.6,0.19,0.05,0.0,0.04,0.01,0.0,0.0,0.18,6.88,0.0,0.0,14.36,0.19,0.13,0.0,0.0,0.01,10.0,0.09,0.0,0.02,1.0,6.95,0.33,0.02,0.05,0.0,0.43,-6.85,-3.25,4.7,6.53,0.35,3.66,13.07,0.03,0.01,0.02,6.86,530027.0___NA__
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,18.11,10.13,0.0,48.4,11.11,13.07,93.76,88.5,0.0,25.45,59.03,0.0,7.01,33.03,27.2,0.0,0.0,5.08,93.76,17.87,0.0,0.0,24.54,1.0,0.83,0.0,3.12,10.12,24.18,6.09,63.04,88.5,0.0,7.34,13.71,8.08,,18.17,27.03,14.52,,41.95,38.81,19.21,143.37,-1.0_AAKASH
Aananda Lakshmi,539096.0,__NA__,Construction,14.58,21.37,3.5,0.0,-21.94,0.0,25.32,13.35,7.2,0.0,4.88,1.8,0.0,0.0,11.29,8.78,0.0,0.0,42.1,13.35,2.51,0.0,1.18,2.58,10.0,0.06,1.1,3.39,0.35,25.32,-0.17,2.32,7.2,0.0,-4.14,-2.63,-6.91,3.99,31.56,41.88,39.51,28.23,6.94,19.72,22.56,5.1,539096.0___NA__
Aanchal Ispat,538812.0,__NA__,Steel - Medium / Small,6.14,84.11,20.85,0.0,-4.03,80.89,0.0,116.99,34.82,18.12,9.54,24.59,0.48,0.09,82.34,99.9,0.0,0.0,11.05,116.99,66.55,0.0,11.78,56.49,10.0,6.13,0.13,2.43,2.09,80.89,70.25,25.28,34.82,0.48,95.67,83.78,73.3,44.58,70.81,45.44,39.21,28.26,25.73,26.82,25.88,12.8,538812.0___NA__
Aarey Drugs,524412.0,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,31.35,28.05,0.0,104.72,4.36,33.36,304.99,33.17,0.0,19.23,14.66,0.0,1.38,282.6,168.24,0.0,0.0,0.0,304.99,142.49,0.0,34.68,184.48,10.0,1.59,0.0,128.94,2.54,37.72,135.83,13.94,33.17,0.0,105.6,91.48,48.5,35.01,18.02,16.16,10.39,5.72,14.26,12.27,12.15,115.88,524412.0_AAREYDRUGS
Aarnav Fashions,539562.0,__NA__,Textiles - Products,47.8,109.26,42.24,0.0,136.73,114.54,12.71,390.51,198.39,0.0,63.96,130.21,0.0,13.21,248.3,166.89,0.0,0.0,2.39,390.51,172.44,0.0,110.16,106.41,10.0,3.94,0.4,42.41,4.22,127.25,167.67,134.42,198.39,0.0,176.84,3.44,2.88,0.08,143.08,0.0,0.02,0.0,145.75,0.0,0.0,201.91,539562.0___NA__
Aaron Industries,-1.0,AARON,Engineering,263.2,31.57,10.47,0.0,25.37,9.58,1.79,74.68,22.3,0.0,3.39,24.35,26.9,0.0,23.2,15.76,0.0,0.0,0.1,74.68,17.35,0.0,16.4,3.53,10.0,2.56,1.36,2.66,1.0,11.37,13.4,18.92,22.3,0.41,6.25,5.01,1.51,,7.07,5.27,1.33,,12.88,8.71,0.12,275.65,-1.0_AARON
Aartech Solonics,542580.0,AARTECH,Electric Equipment,200.4,4.2,10.59,0.0,18.94,2.66,0.0,41.12,8.66,0.0,3.56,4.58,0.0,14.49,30.1,11.13,0.0,0.37,3.46,41.12,23.11,0.1,7.74,9.48,10.0,2.34,0.01,5.5,1.06,2.66,15.31,5.1,8.66,0.0,8.85,11.39,,,1.11,1.1,,,5.01,5.06,,212.22,542580.0_AARTECH
Aarti Drugs,524348.0,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,524.3,564.28,91.94,0.0,1189.61,507.15,101.76,2432.36,1204.97,0.0,528.74,846.74,225.23,19.97,1320.72,795.55,0.0,0.0,191.39,2432.36,813.21,1.86,485.89,704.55,10.0,9.43,0.0,425.49,9.26,608.91,963.2,676.23,1204.97,210.35,661.06,456.56,320.52,,350.76,507.21,479.5,,665.4,624.86,581.09,4820.13,524348.0_AARTIDRUGS
Aarti Industries,524208.0,AARTIIND,Chemicals,694.75,3242.0,181.0,0.0,5109.0,2470.57,436.74,9616.0,6306.26,0.0,1445.31,5826.0,1052.0,23.0,2469.0,2577.0,0.0,0.0,461.43,9616.0,1561.0,58.0,1160.0,826.0,5.0,130.0,66.71,521.0,36.25,2907.31,1923.3,4860.95,6306.26,1096.22,1191.53,1935.77,836.08,724.37,2856.96,2401.08,1563.85,1038.93,3592.58,2146.67,1697.02,25185.0,524208.0_AARTIIND
Aarti Pharma,543748.0,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,608.1,285.25,45.31,0.0,1711.73,193.43,21.88,2582.1,1431.25,0.0,505.41,1091.74,78.5,107.17,1345.64,694.38,0.0,0.0,0.01,2582.1,919.81,21.15,642.86,519.34,5.0,24.06,0.0,378.32,9.06,215.31,740.23,925.84,1431.25,101.87,0.25,,,,0.02,,,,0.0,,,5510.96,543748.0_AARTIPHARM
Aarti Surfactant,543210.0,AARTISURF,Chemicals,682.35,99.21,8.47,20.87,210.78,128.26,0.0,423.41,294.47,0.0,90.5,206.41,5.79,5.25,199.37,129.18,0.0,0.0,11.62,423.41,119.8,1.98,99.21,70.11,10.0,6.22,5.41,67.27,0.85,128.26,114.2,203.97,294.47,6.58,82.38,64.99,,,132.52,96.65,,,186.74,137.87,,577.17,543210.0_AARTISURF
Aarvee Denims,514274.0,AARVEEDEN,Textiles - Cotton/Blended,28.21,277.65,23.46,0.0,-6.26,283.03,113.5,438.49,560.04,0.0,357.69,72.38,0.0,0.0,282.81,275.95,0.0,0.0,29.75,438.49,140.35,0.0,89.57,99.73,10.0,2.22,6.6,51.91,2.35,396.53,190.67,202.35,560.04,1.44,282.76,346.0,258.01,249.76,432.69,434.22,355.15,395.65,273.64,388.97,374.67,66.18,514274.0_AARVEEDEN
Aarvi Encon,-1.0,AARVI,Miscellaneous,139.79,9.75,14.78,0.0,101.92,3.4,0.0,171.02,17.85,0.0,7.75,9.65,0.0,0.4,134.55,52.56,0.0,0.0,15.44,171.02,91.74,0.0,0.0,82.97,10.0,23.33,0.0,7.96,1.48,3.4,66.83,10.1,17.85,0.0,53.82,34.11,26.63,20.44,3.54,8.14,14.51,11.17,10.21,12.39,7.31,206.68,-1.0_AARVI
Aashka Hospitals,543346.0,__NA__,Healthcare,117.15,20.39,23.37,0.0,72.91,12.89,16.3,121.45,65.86,0.0,20.39,43.23,0.0,0.0,10.49,16.23,0.0,0.0,0.0,121.45,6.38,0.0,0.37,4.82,10.0,1.98,0.0,2.0,2.34,29.19,9.77,45.47,65.86,0.05,6.35,-4.66,,,27.87,32.99,,,49.49,46.36,,274.12,543346.0___NA__
AastamangalamFin,511764.0,__NA__,Finance & Investments,44.23,40.22,8.91,0.0,28.77,0.0,36.14,80.56,0.09,0.0,0.04,0.03,0.0,0.0,6.68,2.6,0.0,0.0,0.07,80.56,4.08,0.0,0.0,0.0,10.0,6.2,0.0,0.0,0.43,36.14,17.54,0.05,0.09,0.0,-0.09,2.83,3.2,4.59,0.0,0.0,0.0,0.0,0.01,0.01,0.0,39.41,511764.0___NA__
Aatmaj Health,-1.0,AATMAJ,Healthcare,26.25,5.48,8.1,0.0,38.18,10.69,1.0,57.68,13.58,0.0,2.41,18.18,0.0,0.0,39.51,6.15,0.0,0.0,0.0,57.68,37.6,0.0,0.64,20.62,5.0,10.81,0.0,1.32,1.62,11.69,15.38,11.17,13.58,0.0,-0.36,,,,4.33,,,,8.21,,,59.33,-1.0_AATMAJ
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1870.35,12398.31,79.14,0.0,3694.18,9233.24,654.04,16519.45,187.87,0.0,109.51,127.2,0.0,182.16,2188.14,240.77,125.72,0.0,0.0,16519.45,1947.37,61.81,0.0,12.22,10.0,1797.82,0.0,30.94,7.9,9887.28,1509.03,78.37,187.87,20.37,1221.19,781.06,103.63,-31.22,6377.72,3653.25,1793.39,354.4,58.26,22.82,10.17,14801.89,541988.0_AAVAS
Aayush Food&Herb,539528.0,__NA__,Trading,299.0,0.0,3.25,0.0,1.67,0.0,0.0,5.02,0.3,0.0,0.1,0.01,0.0,0.0,0.56,0.1,0.0,0.0,0.0,5.02,0.46,0.0,0.0,0.02,10.0,0.05,0.0,0.0,0.32,0.0,4.2,0.2,0.3,0.0,8.19,5.69,4.98,0.09,2.2,0.83,0.95,0.0,0.82,0.84,0.2,97.02,539528.0___NA__
AB Cotspin,-1.0,ABCOTS,Textiles - Cotton/Blended,259.0,121.67,10.49,0.0,57.98,87.56,10.54,198.05,91.05,0.0,13.71,72.08,0.0,0.96,118.68,82.12,0.0,0.0,2.27,198.05,113.23,0.0,64.83,38.16,10.0,0.05,0.0,0.81,1.03,98.1,60.11,77.34,91.05,0.0,33.62,23.31,13.71,,36.09,33.94,28.42,,24.85,24.1,29.84,266.57,-1.0_ABCOTS
Aban Offshore,523204.0,ABAN,Oil Drilling / Allied Services,65.5,15307.87,11.67,0.0,-23883.59,14834.65,300.19,1515.04,3016.3,0.0,2323.36,669.08,0.0,21.98,566.01,25386.45,0.0,0.0,1481.06,1515.04,-9512.57,0.0,112.07,138.64,2.0,43.51,0.0,389.19,5.84,15134.84,-8143.27,692.95,3016.3,0.0,-20147.6,-16109.24,-1213.23,-2398.37,15185.04,14351.32,14005.13,14560.88,3191.11,11261.99,16202.82,382.29,523204.0_ABAN
ABans Enterprise,512165.0,__NA__,Trading,132.2,155.03,13.95,0.0,171.58,19.94,70.38,445.13,8.71,0.0,5.92,3.4,0.0,117.25,387.54,228.91,0.0,10.05,36.65,445.13,288.86,0.0,99.36,180.44,10.0,16.58,0.0,93.14,1.39,90.32,262.89,2.78,8.71,0.0,248.03,,,,69.79,,,,12.98,,,184.42,512165.0___NA__
Abans Holdings,543712.0,AHL,Finance & Investments,486.05,928.97,10.03,2.43,920.8,343.79,95.13,2897.39,28.07,0.0,8.82,20.61,0.0,1007.13,2685.12,1678.2,161.86,516.02,122.91,2897.39,1733.03,0.03,55.84,221.02,2.0,288.76,8.82,144.64,5.01,438.92,757.15,19.25,28.07,0.0,851.64,767.06,,,267.54,383.52,,,20.38,27.05,,2437.34,543712.0_AHL
Abate As Indust,531658.0,__NA__,Trading,28.7,1.22,5.02,0.0,-5.92,0.0,0.62,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.23,0.0,0.0,0.0,0.33,0.22,0.0,0.0,0.0,10.0,0.08,0.0,0.0,0.5,0.62,0.52,0.0,0.0,0.0,0.73,0.31,0.37,4.05,0.12,0.0,0.01,0.0,0.0,0.01,0.02,14.41,531658.0___NA__
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,27720.0,83.23,21.25,0.0,3677.64,0.0,113.17,5193.49,366.93,0.0,130.02,224.94,10.11,0.0,3245.84,1342.72,0.0,0.0,87.46,5193.49,1949.59,83.23,619.58,319.11,10.0,2134.49,0.0,1002.69,2.12,113.17,1864.77,236.91,366.93,3.66,2491.45,1904.09,1261.38,690.36,152.58,0.0,0.0,0.0,250.78,104.96,109.6,58905.01,500488.0_ABBOTINDIA
ABC Gas (Int.),513119.0,__NA__,Trading,91.58,0.0,1.98,0.0,1.98,0.11,0.46,4.03,0.38,0.05,0.19,0.02,0.0,0.0,4.01,0.07,0.08,0.0,0.25,4.03,3.94,0.0,0.27,0.0,10.0,3.7,0.0,0.06,0.2,0.57,3.95,0.19,0.38,0.0,2.65,2.79,3.28,3.36,1.52,1.02,1.67,1.54,0.16,0.22,0.28,18.13,513119.0___NA__
ABC India,520123.0,__NA__,Miscellaneous,112.3,20.66,5.41,0.0,39.79,19.47,1.28,98.63,10.33,0.0,3.83,11.73,0.0,25.57,74.06,45.83,0.0,0.0,5.96,98.63,44.54,0.82,0.75,26.54,10.0,2.86,0.23,25.66,0.54,20.75,32.55,6.49,10.33,0.0,17.57,20.77,26.62,54.97,17.96,17.37,32.83,65.51,12.76,12.24,24.21,60.83,520123.0___NA__
Abhinav Capital,532057.0,__NA__,Finance & Investments,207.75,37.5,6.92,0.0,70.14,0.0,0.0,122.25,0.38,0.0,0.36,0.02,0.0,48.44,122.22,37.55,0.0,0.0,0.11,122.25,122.17,0.0,0.0,0.0,10.0,51.14,0.0,0.05,0.69,0.0,22.03,0.02,0.38,0.0,0.17,0.07,15.8,10.87,0.01,14.8,0.0,0.0,0.02,0.03,0.06,143.86,532057.0___NA__
Abhinav Leasing,538952.0,__NA__,Finance & Investments,2.7,30.05,5.0,0.0,0.85,0.0,0.0,44.72,0.53,0.0,0.39,0.1,0.0,0.66,10.13,8.81,0.0,0.0,0.0,44.72,1.32,0.0,8.21,0.12,1.0,1.42,0.0,0.0,5.0,0.0,-18.18,0.15,0.53,0.0,-5.84,3.47,0.57,1.79,0.0,0.0,1.0,0.0,0.02,0.04,0.06,13.5,538952.0___NA__
Abhishek Finle.,538935.0,__NA__,Finance & Investments,37.0,0.01,4.26,0.0,0.16,0.0,0.07,4.81,0.61,0.0,0.51,0.07,0.0,0.14,2.7,0.37,0.19,0.0,0.0,4.81,2.33,0.0,0.68,0.03,10.0,2.0,0.0,0.0,0.43,0.07,2.03,0.1,0.61,0.0,1.49,1.46,3.4,3.36,0.07,0.01,0.01,0.01,0.04,0.07,0.12,15.78,538935.0___NA__
Abhishek Infra.,539544.0,__NA__,Construction,7.14,1.21,5.05,0.0,-0.97,0.0,1.08,7.77,0.13,0.0,0.12,0.0,0.0,0.14,7.32,2.49,0.0,0.0,0.0,7.77,4.83,0.0,0.0,4.22,10.0,0.08,2.16,0.26,0.5,1.08,4.97,0.0,0.13,0.0,2.96,,,,0.0,,,,0.0,,,3.6,539544.0___NA__
Abhishek Integr.,-1.0,AILIMITED,Construction,69.45,5.62,3.01,0.0,3.21,3.55,0.54,16.27,1.84,0.0,0.16,2.15,0.0,0.0,12.98,5.48,0.0,0.0,2.13,16.27,11.75,0.0,7.73,2.98,10.0,0.6,0.0,0.26,0.6,4.09,9.04,1.68,1.84,0.0,2.03,0.01,,,0.12,0.0,,,0.19,0.0,,41.82,-1.0_AILIMITED
Abirami Fin.,511756.0,__NA__,Finance & Investments,58.2,0.0,5.4,0.0,15.21,0.0,0.0,21.06,0.04,0.0,0.02,0.01,0.0,0.89,20.15,0.45,0.0,0.0,0.0,21.06,19.7,0.0,0.0,0.0,10.0,18.87,0.0,0.0,0.6,0.0,21.56,0.02,0.04,0.0,5.19,4.74,0.71,2.11,0.0,0.0,0.0,0.0,2.16,2.36,2.59,31.43,511756.0___NA__
