Name,BSE Code,NSE Code,Industry,Current Price,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months,Market Capitalization,join_key
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,378.3,472.11,20.59,209.76,6.7,48.29,0.0,472.11,97.19,147.97,245.16,30.29,214.87,0.97,213.9,1.55,209.76,0.0,209.76,9.22,0.64,191.57,20.59,44.43,97.19,0.97,30.29,48.29,214.87,209.76,1.55,1.55,147.97,202403.0,290.07,-26.77,70.34,84.92,23.39,61.53,0.63,19.55,41.36,-44.56,-41.35,-26.64,9.22,-9.23,-25.09,-3.54,546.17,179.83,1743.12,526881.0_63MOONS
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,11.62,-11.62,-1.11,-3.12,-0.4,-1.28,11.62,-1.35,0.59,-0.76,0.27,-1.03,0.13,-1.16,-0.05,-1.11,0.0,-1.11,0.0,106.88,0.08,-11.62,-9.55,-1.35,0.13,0.27,-0.4,-1.03,-1.11,0.0,-0.05,0.59,202403.0,47.68,-0.06,0.66,0.6,0.21,0.39,0.05,0.34,0.11,0.24,0.0,0.24,0.0,-0.13,0.5,0.09,21.0,-1.09,14.66,540615.0___NA__
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,11.79,13.91,0.96,18.36,0.51,0.0,11.79,1.64,0.0,1.64,0.39,1.25,0.22,1.03,0.07,0.96,0.0,0.96,0.0,0.0,7.17,13.91,8.14,1.64,0.22,0.39,0.51,1.25,0.96,0.0,0.07,0.0,202403.0,5.52,0.57,0.04,0.61,0.08,0.53,0.0,0.53,0.1,0.43,0.0,0.43,0.0,10.33,7.79,0.28,9.7,0.83,112.65,540874.0___NA__
A B B,500002.0,ABB,Electric Equipment,8556.0,11115.67,15.92,1462.61,30.69,68.73,0.0,10446.52,1501.06,288.59,1802.75,119.92,1682.83,16.97,1652.76,410.71,1247.24,-13.1,1242.05,504.32,60.58,716.24,14.37,11.94,1769.65,14.24,123.86,58.61,1962.37,1456.45,501.0,485.52,310.42,202312.0,8567.53,967.71,505.8,1147.18,104.7,1042.48,15.4,1353.41,337.18,764.16,326.33,1016.23,116.54,11.3,8.92,47.96,10446.52,1242.05,181308.81,500002.0_ABB
A B Infrabuild,-1.0,ABINFRA,Construction,55.4,183.81,13.06,11.71,31.33,2.3,0.0,183.81,24.0,0.29,24.68,3.49,21.19,5.21,15.59,4.17,11.71,-0.39,11.42,0.0,79.02,3.39,13.06,6.37,24.0,5.21,3.49,2.3,21.19,11.42,4.14,4.17,0.29,202403.0,123.09,12.69,2.77,13.39,0.74,12.65,4.45,10.27,2.73,6.0,2.07,7.54,0.0,10.31,4.87,5.27,,,275.59,-1.0_ABINFRA
A B M Internatl.,-1.0,ABMINTLLTD,Trading,62.0,93.64,-4.77,-3.42,-18.65,-3.64,0.0,93.64,-4.47,0.49,-3.98,0.04,-4.02,0.56,-4.58,-1.16,-3.42,0.0,-3.42,0.0,103.59,0.68,-4.77,-3.65,-4.47,0.56,0.04,-3.64,-4.02,-3.42,0.0,-1.16,0.49,202403.0,85.37,-9.64,1.05,-9.17,0.05,-9.22,0.13,-8.77,-2.09,-7.28,0.58,-6.7,0.0,-11.29,-8.53,-7.12,101.07,0.21,58.33,-1.0_ABMINTLLTD
A F Enterprises,538351.0,__NA__,Trading,11.3,8.5,-9.29,0.0,-1.67,0.0,0.0,8.5,-0.79,2.35,0.56,1.11,-0.55,0.18,0.27,0.27,0.0,1.0,-0.01,0.0,51.65,0.32,-9.29,-8.71,-0.79,0.18,1.11,0.0,-0.55,-0.01,0.22,0.27,2.35,202403.0,24.29,-4.35,6.74,1.08,1.25,-0.17,0.26,0.88,0.54,-0.29,1.31,0.34,0.0,-17.91,-1.19,0.1,23.5,-2.27,41.46,538351.0___NA__
A G Universal,-1.0,AGUL,Trading,64.4,78.37,6.14,1.92,17.4,3.5,0.0,78.37,4.81,0.58,5.39,1.31,4.08,1.52,2.56,0.64,1.92,0.0,1.92,0.0,90.86,1.0,6.14,2.45,4.81,1.52,1.31,3.5,4.08,1.92,0.71,0.64,0.58,202403.0,59.33,1.24,1.58,1.62,0.32,1.3,1.03,1.47,0.31,0.2,1.2,1.16,0.0,2.09,0.34,2.88,,,35.31,-1.0_AGUL
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,117.24,16.18,8.45,28.05,16.79,0.0,117.24,18.97,0.04,19.01,6.87,12.14,0.76,11.38,2.94,8.45,0.0,8.45,0.0,21.18,14.87,16.18,7.21,18.97,0.76,6.87,16.79,12.14,8.45,3.02,2.94,0.04,202403.0,116.43,16.29,0.12,16.41,6.14,10.27,0.84,9.43,2.1,7.32,0.0,7.32,0.0,13.99,6.29,14.55,119.02,8.19,130.54,539300.0___NA__
A R C Finance,540135.0,__NA__,Finance & Investments,1.17,9.24,7.14,0.27,0.69,0.01,0.0,9.24,0.66,0.0,0.66,0.2,0.46,0.09,0.37,0.1,0.27,0.0,0.27,0.0,85.28,0.2,7.14,2.92,0.66,0.09,0.2,0.01,0.46,0.27,0.1,0.1,0.0,202403.0,6.92,1.83,0.0,1.83,0.07,1.76,1.32,0.44,0.11,0.33,0.0,0.33,0.0,26.45,4.77,0.01,5.97,-0.23,59.1,540135.0___NA__
A-1 Acid,542012.0,__NA__,Trading,346.0,206.14,-0.15,1.1,4.08,0.96,0.0,206.14,-0.3,6.36,6.06,3.59,2.47,0.76,1.71,0.61,1.1,0.0,1.1,1.72,87.89,3.39,-0.15,0.53,-0.3,0.76,3.59,0.96,2.47,1.1,0.67,0.61,6.36,202403.0,330.6,4.3,6.29,10.61,4.0,6.61,1.83,4.76,1.15,3.62,-0.02,3.61,1.72,1.3,1.09,3.14,217.34,1.42,397.91,542012.0___NA__
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1054.0,518.54,62.97,91.71,9.46,138.95,0.0,518.54,326.51,0.51,327.02,8.46,318.56,195.8,122.76,30.25,91.71,0.0,92.52,5.28,0.0,97.14,62.97,17.84,326.51,195.8,8.46,138.95,318.56,92.52,28.12,30.25,0.51,202403.0,406.51,256.09,0.3,256.39,7.89,248.5,130.56,117.94,29.52,87.63,0.0,88.41,7.92,63.0,21.75,132.77,488.74,87.08,695.64,530499.0___NA__
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.96,388.49,-22.8,-46.39,-19.96,-0.32,0.0,388.49,-88.58,95.4,-50.81,5.18,-55.99,6.23,-4.59,2.77,-46.39,57.63,-7.36,0.0,44.8,169.08,-22.8,-15.45,-88.58,6.23,5.18,-0.32,-55.99,-7.36,4.98,2.77,95.4,202403.0,349.44,1.45,-85.51,38.03,8.83,29.2,13.29,-106.18,19.87,15.51,-122.09,-126.05,0.0,0.41,4.55,-6.98,381.22,-70.59,386.76,533292.0_A2ZINFRA
AA Plus Trade,543319.0,__NA__,Trading,20.0,19.95,-0.95,0.53,4.9,0.21,0.0,19.95,-0.19,0.92,0.76,0.03,0.73,0.0,0.7,0.19,0.53,-0.03,0.51,0.0,96.69,0.43,-0.95,2.66,-0.19,0.0,0.03,0.21,0.73,0.51,0.2,0.19,0.92,202403.0,16.32,-0.53,0.85,0.32,0.0,0.32,0.0,0.32,0.11,0.21,0.0,0.21,0.0,-3.25,1.29,0.09,,,48.65,543319.0___NA__
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,110.9,23.79,17.95,3.21,16.12,2.5,0.0,23.79,4.27,0.89,5.16,0.86,4.3,0.0,4.3,1.08,3.21,0.0,3.21,0.64,0.0,6.87,17.95,13.49,4.27,0.0,0.86,2.5,4.3,3.21,1.14,1.08,0.89,202403.0,19.28,3.55,0.51,4.06,0.21,3.85,0.01,3.84,0.97,2.87,0.0,2.87,0.64,18.41,14.89,2.24,26.39,3.91,142.24,543671.0_AAATECH
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,413.1,2586.81,76.04,749.64,11.36,18.99,,2586.81,1967.09,0.17,1967.26,20.98,1946.28,986.69,959.59,209.95,749.64,0.0,749.64,0.0,0.0,403.48,76.04,28.98,1967.09,986.69,20.98,18.99,1946.28,749.64,217.51,209.95,0.17,202403.0,2043.23,1536.21,-24.71,1536.42,16.49,1519.93,799.19,695.82,151.06,564.05,-24.92,544.76,0.0,75.19,27.61,13.8,,,17619.49,544176.0_AADHARHFC
Aadi Industries,530027.0,__NA__,Plastics Products,6.99,0.0,,-0.09,-40.82,-0.09,0.0,0.0,-0.21,0.12,-0.09,0.01,-0.1,0.0,-0.1,0.0,-0.09,0.0,-0.09,0.0,,0.08,,,-0.21,0.0,0.01,-0.09,-0.1,-0.09,0.0,0.0,0.12,202403.0,0.0,-0.23,0.06,-0.17,0.01,-0.18,0.0,-0.18,0.0,-0.18,0.0,-0.18,0.0,,-1166.67,-0.18,0.0,-0.2,6.99,530027.0___NA__
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,92.23,18.56,6.21,13.27,0.61,0.0,92.23,17.12,0.59,17.71,7.55,10.16,1.78,8.38,2.17,6.21,0.0,6.21,0.0,11.51,29.16,18.56,6.73,17.12,1.78,7.55,0.61,10.16,6.21,1.76,2.17,0.59,202403.0,92.58,13.42,1.41,14.91,7.02,7.89,1.68,6.13,1.6,4.6,-0.08,4.54,0.0,14.5,4.97,0.45,81.05,3.77,143.37,-1.0_AAKASH
Aananda Lakshmi,539096.0,__NA__,Construction,14.58,2.1,86.19,5.94,207.33,11.66,0.0,2.1,1.81,2.27,5.94,0.0,5.94,0.0,4.08,0.0,5.94,-1.86,4.08,0.0,4.76,0.1,86.19,282.86,1.81,0.0,0.0,11.66,5.94,4.08,0.0,0.0,2.27,202403.0,0.21,-1.11,7.51,0.57,0.08,0.49,1.3,5.02,0.0,-0.82,5.83,5.01,0.0,-528.57,-390.48,14.32,2.03,11.18,5.1,539096.0___NA__
Aanchal Ispat,538812.0,__NA__,Steel - Medium / Small,6.14,109.35,-3.15,-6.25,-3.93,-3.0,0.0,109.35,-3.44,0.04,-3.4,0.63,-4.03,3.51,-7.54,-1.29,-6.25,0.0,-6.25,0.0,90.98,2.47,-3.15,-5.72,-3.44,3.51,0.63,-3.0,-4.03,-6.25,0.0,-1.29,0.04,202403.0,194.06,-22.83,0.68,-22.35,0.64,-22.99,7.68,-30.47,-7.02,-23.66,0.2,-23.46,0.0,-11.76,-12.19,-11.25,117.75,-24.04,12.8,538812.0___NA__
Aarey Drugs,524412.0,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,395.62,1.13,4.68,4.44,1.84,-4.76,395.62,4.46,6.96,11.42,4.38,7.04,1.7,5.34,0.66,4.68,0.0,4.68,0.0,96.53,0.72,1.13,1.18,4.46,1.7,4.38,1.84,7.04,4.68,1.33,0.66,6.96,202403.0,418.9,7.72,2.73,10.45,1.57,8.88,2.87,6.01,2.24,3.77,0.0,3.77,0.0,1.84,0.9,1.49,348.15,4.22,115.88,524412.0_AAREYDRUGS
Aarnav Fashions,539562.0,__NA__,Textiles - Products,47.5,356.49,7.62,5.62,6.71,1.33,0.0,356.49,27.17,0.27,27.44,7.7,19.74,12.15,7.59,1.98,5.62,0.0,5.62,0.0,67.46,8.67,7.62,1.58,27.17,12.15,7.7,1.33,19.74,5.62,2.75,1.98,0.27,202403.0,396.78,19.77,0.24,20.09,7.63,12.46,11.44,0.94,0.56,0.44,-0.08,0.38,0.0,4.98,0.11,0.09,368.19,-2.02,200.64,539562.0___NA__
Aaron Industries,-1.0,AARON,Engineering,262.35,63.23,17.59,6.33,19.83,6.04,0.0,63.23,11.12,0.14,11.26,1.42,9.84,1.34,8.5,2.17,6.33,0.0,6.33,1.05,66.31,5.32,17.59,10.01,11.12,1.34,1.42,6.04,9.84,6.33,1.81,2.17,0.14,202403.0,55.85,9.54,0.06,9.6,1.15,8.45,1.01,7.44,2.03,5.4,0.0,5.4,1.0,17.08,9.67,5.38,60.2,5.67,274.76,-1.0_AARON
Aartech Solonics,542580.0,AARTECH,Electric Equipment,203.22,32.74,1.44,1.3,9.37,1.23,0.0,32.74,0.47,3.15,3.62,0.57,3.05,0.47,2.58,1.27,1.3,0.0,1.32,0.0,65.49,4.43,1.44,4.03,0.47,0.47,0.57,1.23,3.05,1.32,1.23,1.27,3.15,202403.0,21.69,1.32,1.72,2.43,0.38,2.05,0.31,2.35,0.49,1.37,0.61,1.86,0.53,6.09,6.32,1.76,25.6,1.46,215.21,542580.0_AARTECH
Aarti Drugs,524348.0,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,527.4,2528.58,12.52,171.42,14.75,18.65,-0.34,2528.58,316.47,4.03,320.5,51.45,269.05,33.52,235.53,63.94,171.42,0.0,171.59,9.19,66.35,102.34,12.52,6.79,316.47,33.52,51.45,18.65,269.05,171.59,59.56,63.94,4.03,202403.0,2716.05,309.46,2.19,311.65,50.32,261.33,37.14,224.19,57.83,166.31,0.0,166.36,9.26,11.39,6.13,17.96,2651.0,180.46,4848.63,524348.0_AARTIDRUGS
Aarti Industries,524208.0,AARTIIND,Chemicals,693.9,6372.0,15.3,416.0,7.41,11.48,-0.12,6372.0,975.0,9.0,984.0,378.0,606.0,211.0,395.0,-21.0,416.0,0.0,416.0,36.2,60.89,404.0,15.3,6.53,975.0,211.0,378.0,11.48,606.0,416.0,0.0,-21.0,9.0,202403.0,6618.58,1088.97,0.86,1089.6,310.45,779.15,168.28,611.1,65.87,545.05,0.23,545.23,90.62,16.45,8.24,15.04,6256.0,434.0,25154.18,524208.0_AARTIIND
Aarti Pharma,543748.0,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,605.8,1852.61,20.84,216.9,16.65,23.93,0.0,1852.61,386.04,4.9,390.94,73.24,317.7,17.21,300.49,83.59,216.9,0.0,216.9,27.19,55.1,138.41,20.84,11.71,386.04,17.21,73.24,23.93,317.7,216.9,55.78,83.59,4.9,202403.0,1945.23,342.44,1.93,344.82,62.54,282.28,21.05,260.78,67.28,193.82,-0.45,193.49,18.12,17.6,9.96,21.35,1831.91,194.52,5490.12,543748.0_AARTIPHARM
Aarti Surfactant,543210.0,AARTISURF,Chemicals,684.95,589.86,10.68,22.27,14.37,26.33,0.0,589.86,63.01,0.13,63.14,15.98,47.16,14.03,33.13,10.86,22.27,0.0,22.27,0.0,75.7,17.89,10.68,3.78,63.01,14.03,15.98,26.33,47.16,22.27,7.6,10.86,0.13,202403.0,601.29,47.75,0.33,48.08,15.49,32.59,14.79,17.8,5.1,12.71,0.0,12.71,0.0,7.94,2.11,14.95,589.15,21.38,579.37,543210.0_AARTISURF
Aarvee Denims,514274.0,AARVEEDEN,Textiles - Cotton/Blended,28.02,84.73,-36.85,-44.62,-9.65,-19.02,0.0,84.73,-31.22,6.61,-24.61,11.71,-36.32,36.65,-72.97,-28.35,-44.62,0.0,-44.62,0.0,95.35,11.73,-36.85,-52.66,-31.22,36.65,11.71,-19.02,-36.32,-44.62,0.0,-28.35,6.61,202403.0,260.9,-28.16,6.93,-27.26,25.28,-52.54,45.9,-92.41,-27.36,-66.82,6.03,-65.05,0.0,-10.79,-25.61,-27.73,110.65,-53.6,65.73,514274.0_AARVEEDEN
Aarvi Encon,-1.0,AARVI,Miscellaneous,139.09,406.15,3.08,11.34,11.41,7.67,0.0,406.15,12.51,2.33,14.84,1.27,13.57,1.47,12.1,0.76,11.34,0.0,11.34,2.96,0.0,293.47,3.08,2.79,12.51,1.47,1.27,7.67,13.57,11.34,0.79,0.76,2.33,202403.0,436.52,18.58,0.45,19.85,1.23,18.62,2.13,15.67,1.16,15.26,-0.82,14.51,2.96,4.26,3.5,9.81,409.34,11.76,205.64,-1.0_AARVI
Aashka Hospitals,543346.0,__NA__,Healthcare,116.9,22.87,19.46,2.36,4.67,1.01,0.0,22.87,4.45,4.22,8.67,2.92,5.75,2.91,2.84,0.49,2.36,0.0,2.36,0.0,12.11,3.48,19.46,10.32,4.45,2.91,2.92,1.01,5.75,2.36,0.49,0.49,4.22,202403.0,18.94,0.33,3.12,3.45,2.93,0.52,3.09,-2.57,0.0,-2.57,0.0,-2.57,0.0,1.74,-13.57,-1.1,,,273.54,543346.0___NA__
AastamangalamFin,511764.0,__NA__,Finance & Investments,43.79,7.03,91.47,3.6,9.32,4.04,-7.64,7.03,6.43,0.0,6.43,0.02,6.41,1.6,4.81,1.21,3.6,0.0,3.6,0.0,0.0,0.08,91.47,51.21,6.43,1.6,0.02,4.04,6.41,3.6,1.21,1.21,0.0,202403.0,3.35,3.11,0.0,3.11,0.02,3.09,1.18,1.91,0.46,1.45,0.0,1.45,0.0,92.84,43.28,3.39,5.97,2.35,39.02,511764.0___NA__
Aatmaj Health,-1.0,AATMAJ,Healthcare,26.25,15.74,16.2,0.88,10.01,0.39,0.0,15.74,2.55,0.85,3.4,0.81,2.59,1.25,1.34,0.46,0.88,0.0,0.88,0.0,15.63,3.57,16.2,5.59,2.55,1.25,0.81,0.39,2.59,0.88,0.32,0.46,0.85,202403.0,23.74,9.83,0.03,9.86,0.69,9.17,0.9,8.27,2.37,5.91,0.0,5.91,0.0,41.41,24.89,3.65,,,59.33,-1.0_AATMAJ
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1866.3,2017.5,73.49,490.69,9.91,62.0,-12.63,2017.5,1482.67,2.8,1485.47,32.66,1452.81,828.36,624.45,133.76,490.69,0.0,490.69,0.0,0.0,355.91,73.49,24.32,1482.67,828.36,32.66,62.0,1452.81,490.69,123.69,133.76,2.8,202403.0,1608.3,1166.93,1.84,1168.49,28.72,1139.77,591.05,549.0,118.92,429.85,0.28,430.07,0.0,72.56,26.73,54.41,1920.98,474.83,14769.84,541988.0_AAVAS
Aayush Food&Herb,539528.0,__NA__,Trading,304.0,0.6,58.33,0.57,12.65,1.76,0.0,0.6,0.35,0.24,0.59,0.0,0.59,0.0,0.59,0.02,0.57,0.0,0.57,0.0,0.0,0.11,58.33,95.0,0.35,0.0,0.0,1.76,0.59,0.57,0.03,0.02,0.24,202403.0,8.1,-0.81,0.55,-0.33,0.03,-0.36,0.06,-0.35,0.0,-0.41,0.07,-0.34,0.0,-10.0,-5.06,-1.05,1.69,0.1,98.64,539528.0___NA__
AB Cotspin,-1.0,ABCOTS,Textiles - Cotton/Blended,259.0,255.77,10.34,6.7,12.65,6.51,0.0,255.77,26.44,1.2,27.64,9.85,17.79,9.34,8.45,1.75,6.7,0.0,6.7,0.0,76.4,10.31,10.34,2.62,26.44,9.34,9.85,6.51,17.79,6.7,1.86,1.75,1.2,202403.0,169.1,10.44,0.56,11.0,4.92,6.08,3.5,2.58,0.64,1.93,0.0,1.93,0.0,6.17,1.14,1.88,,,266.57,-1.0_ABCOTS
Aban Offshore,523204.0,ABAN,Oil Drilling / Allied Services,65.53,399.67,-38.64,-1317.84,,-225.79,0.0,399.67,-154.43,48.08,-106.35,97.14,-203.49,1092.08,-1295.57,20.69,-1317.84,0.0,-1317.84,0.0,11.65,90.42,-38.64,-329.73,-154.43,1092.08,97.14,-225.79,-203.49,-1317.84,16.93,20.69,48.08,202403.0,396.73,-131.1,225.28,3.17,47.11,-43.94,1109.58,-1062.51,28.24,-1184.12,91.01,-1090.75,0.0,-33.05,-298.47,-186.88,335.15,-1358.34,382.47,523204.0_ABAN
ABans Enterprise,512165.0,__NA__,Trading,135.0,1770.84,1.7,9.28,10.71,6.65,0.0,1770.84,30.04,4.69,34.73,1.69,33.04,12.03,21.01,11.25,9.28,0.0,9.75,0.0,97.47,5.21,1.7,0.55,30.04,12.03,1.69,6.65,33.04,9.75,5.28,11.25,4.69,202403.0,1867.21,14.54,9.93,24.69,1.38,23.31,4.7,18.39,0.66,16.87,-0.22,17.73,0.0,0.78,0.96,11.96,1548.58,12.72,188.32,512165.0___NA__
Abans Holdings,543712.0,AHL,Finance & Investments,474.35,1378.34,10.88,81.76,9.2,16.3,0.0,1378.34,149.96,2.05,152.01,0.63,151.38,51.37,100.01,10.77,81.76,0.0,89.24,0.0,83.23,38.38,10.88,6.47,149.96,51.37,0.63,16.3,151.38,89.24,12.06,10.77,2.05,202403.0,1163.44,85.83,0.46,86.42,0.65,85.77,9.68,75.96,5.66,64.89,-0.13,70.29,0.0,7.38,6.05,12.92,1689.38,90.65,2378.67,543712.0_AHL
Abate As Indust,531658.0,__NA__,Trading,28.7,0.0,,-0.91,-191.58,-1.81,0.0,0.0,-0.91,0.0,-0.91,0.0,-0.91,0.0,-0.91,0.0,-0.91,0.0,-0.91,0.0,,0.07,,,-0.91,0.0,0.0,-1.81,-0.91,-0.91,0.0,0.0,0.0,202403.0,-0.02,-0.35,0.0,-0.35,0.0,-0.35,0.0,-0.35,0.0,-0.35,0.0,-0.35,0.0,-1750.0,,-0.7,0.0,-0.27,14.41,531658.0___NA__
