Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization,join_key
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,109.05,27.34,20.68,23454,16112,24175,147.0,51.1,147.0,28.0,-1.45,-0.83,12.35,110.71,94.05,110.71,93.88,48.54,-0.46,-0.46,-0.66,-0.7,101.2,39.61,,130346,,,139.87,543671.0_AAATECH
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,416.55,,,2225456,1607994,782976,432.45,292.0,432.45,292.0,1.91,5.29,19.0,363.88,340.59,362.05,339.91,65.17,16.5,16.59,15.75,15.56,,,,5624528,,,17766.62,544176.0_AADHARHFC
Aadi Industries,530027.0,__NA__,Plastics Products,6.86,14.97,29.44,8136,8427,1694,8.9,3.01,75.8,0.99,-1.86,5.27,14.03,6.53,5.76,6.51,5.75,62.53,0.09,0.06,-0.03,-0.06,89.95,,,9401,31.28,2.01,6.86,530027.0___NA__
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,27.52,11.03,718599,1021570,2034629,15.4,5.7,33.8,0.94,9.94,5.66,13.98,11.46,10.05,11.4,10.02,61.95,0.25,0.19,0.25,0.25,114.67,-14.38,54.35,459531,,,143.37,-1.0_AAKASH
Aananda Lakshmi,539096.0,__NA__,Construction,14.58,-38.06,8.89,2960,2312,4149,32.46,7.36,32.46,1.91,1.96,-2.02,-1.02,16.8,15.98,16.89,16.0,38.63,-0.6,-0.61,-0.67,-0.69,79.56,52.64,46.24,4159,16.86,,5.1,539096.0___NA__
Aanchal Ispat,538812.0,__NA__,Steel - Medium / Small,6.14,-2.71,-23.64,60215,0,0,19.05,4.81,28.55,3.55,-4.95,0.0,15.56,6.68,9.07,6.69,9.1,53.62,-0.15,-0.2,-0.34,-0.39,-56.99,5.7,-12.37,94605,-8.89,,12.8,538812.0___NA__
Aarey Drugs,524412.0,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,-1.32,-29.32,34794,39648,76872,68.0,29.95,143.95,9.02,-2.81,-0.55,2.44,47.85,46.68,47.88,46.68,48.35,-0.44,-0.48,-0.63,-0.67,36.54,8.13,18.8,97273,-13.02,10.98,115.88,524412.0_AAREYDRUGS
Aarnav Fashions,539562.0,__NA__,Textiles - Products,47.85,73.33,60.08,397816,260442,129504,51.5,24.6,202.25,12.5,-0.23,10.48,70.68,34.54,32.22,33.99,32.06,76.87,4.79,4.66,3.89,3.66,45.42,-13.03,20.28,68106,,,202.12,539562.0___NA__
Aaron Industries,-1.0,AARON,Engineering,261.8,-1.98,-7.98,8965,5075,5251,326.4,217.15,326.4,16.97,0.91,-0.8,-2.65,264.19,258.98,264.39,258.98,42.66,-1.42,-1.25,-0.82,-0.66,18.5,45.63,65.23,12563,,,274.18,-1.0_AARON
Aartech Solonics,542580.0,AARTECH,Electric Equipment,200.4,28.74,37.4,10569,1596,1100,264.4,95.05,264.4,0.0,-1.98,-7.77,3.16,207.51,169.78,207.69,169.44,43.08,0.88,1.99,1.8,2.03,88.87,108.16,53.73,65300,,,212.22,542580.0_AARTECH
Aarti Drugs,524348.0,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,523.9,7.76,0.66,170900,100013,105065,645.75,430.0,1026.95,3.81,3.84,-2.14,5.8,499.31,496.12,499.1,496.04,50.01,5.28,6.27,6.83,7.22,8.48,-11.55,30.89,451775,20.83,22.27,4816.45,524348.0_AARTIDRUGS
Aarti Industries,524208.0,AARTIIND,Chemicals,693.9,0.31,5.18,1588550,1240774,906715,769.5,438.0,1060.84,4.43,1.11,-2.79,12.2,670.69,630.4,670.06,629.84,55.36,11.19,11.96,8.17,7.42,36.27,-4.74,11.51,1839659,18.6,29.97,25154.19,524208.0_AARTIIND
Aarti Pharma,543748.0,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,608.0,31.84,23.35,224055,124346,90226,653.0,320.3,653.0,234.8,-0.51,-1.97,8.74,574.52,494.27,573.03,493.09,54.14,15.57,17.35,18.35,19.04,64.74,,,316518,,,5510.05,543748.0_AARTIPHARM
Aarti Surfactant,543210.0,AARTISURF,Chemicals,682.35,11.3,-7.95,36846,29998,17553,854.2,542.65,1858.12,218.7,1.16,-3.03,1.79,672.68,658.26,672.6,658.09,48.16,4.12,5.35,5.72,6.12,9.04,-21.39,,57650,,,577.17,543210.0_AARTISURF
Aarvee Denims,514274.0,AARVEEDEN,Textiles - Cotton/Blended,28.21,8.82,-10.34,76732,74846,84089,43.12,18.7,166.0,6.3,1.66,-0.36,16.6,26.39,26.66,26.34,26.65,59.39,0.62,0.59,0.43,0.38,38.4,11.82,7.2,148683,-10.67,-6.3,66.18,514274.0_AARVEEDEN
Aarvi Encon,-1.0,AARVI,Miscellaneous,139.02,11.56,-8.63,21635,14020,8233,184.25,112.95,203.0,20.15,-1.14,0.54,2.19,139.08,138.3,139.01,138.27,53.82,0.42,0.31,-0.18,-0.33,0.48,27.72,31.18,38905,,,205.54,-1.0_AARVI
Aashka Hospitals,543346.0,__NA__,Healthcare,117.15,44.94,123.6,31474,28000,18000,117.15,43.16,121.1,36.3,4.97,14.17,52.88,83.61,70.83,82.47,70.42,76.55,8.33,7.56,5.91,5.3,125.59,,,25753,,,274.12,543346.0___NA__
AastamangalamFin,511764.0,__NA__,Finance & Investments,44.23,-2.65,-9.71,11086,13648,1076,59.5,33.55,69.95,5.71,1.0,-1.15,4.44,44.25,43.74,44.27,43.74,50.21,-0.18,-0.22,-0.33,-0.37,13.15,42.76,2.8,9710,2.56,18.54,39.41,511764.0___NA__
Aatmaj Health,-1.0,AATMAJ,Healthcare,26.25,-27.98,-37.43,36000,50000,16000,60.0,25.0,60.0,25.0,0.0,-2.42,-8.38,31.33,38.87,31.54,38.99,34.23,-1.77,-1.85,-2.08,-2.16,-50.66,,,65279,,,59.33,-1.0_AATMAJ
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1870.0,30.92,18.21,417343,249516,145679,1978.95,1307.0,3340.0,611.5,0.91,-1.4,16.05,1694.21,1593.82,1687.73,1591.22,59.58,71.16,76.16,74.32,75.11,20.57,-11.55,4.14,364957,,,14799.12,541988.0_AAVAS
Aayush Food&Herb,539528.0,__NA__,Trading,304.0,66.07,524.23,5551,3102,1835,313.95,21.11,313.95,12.5,0.58,-0.92,20.63,255.05,152.6,253.13,151.09,66.62,13.85,13.84,12.33,11.95,979.46,113.63,65.36,3979,31.02,,98.64,539528.0___NA__
AB Cotspin,-1.0,ABCOTS,Textiles - Cotton/Blended,259.0,11.54,85.93,1882,833,1000,386.0,40.0,386.0,34.15,-0.13,-5.13,-5.28,253.95,178.46,253.75,177.65,50.85,0.56,0.47,-0.64,-0.94,488.64,,,15186,,,266.57,-1.0_ABCOTS
Aban Offshore,523204.0,ABAN,Oil Drilling / Allied Services,65.5,19.58,11.35,123190,124043,81498,93.5,38.95,5555.0,12.6,-0.06,1.85,8.31,65.14,60.12,65.13,60.06,50.03,0.11,0.13,0.62,0.75,63.82,13.47,11.14,367727,-13.91,-22.4,382.29,523204.0_ABAN
ABans Enterprise,512165.0,__NA__,Trading,132.2,8.91,-14.87,983,1291,3098,200.0,111.4,303.0,1.88,0.19,-1.12,10.51,126.98,139.42,126.78,139.49,57.04,2.82,2.91,2.41,2.31,-30.73,2.08,21.69,15909,,,184.42,512165.0___NA__
Abans Holdings,543712.0,AHL,Finance & Investments,489.1,65.81,41.71,293419,109819,128554,499.95,254.8,499.95,180.05,5.61,-2.77,14.78,421.22,356.32,419.51,355.24,59.19,17.67,18.73,15.15,14.52,45.4,,,327595,,,2452.64,543712.0_AHL
Abate As Indust,531658.0,__NA__,Trading,28.7,10.22,27.56,15863,0,0,28.7,18.52,28.7,0.81,0.0,0.0,4.97,23.46,15.81,23.24,15.68,99.94,1.53,1.5,1.4,1.37,54.97,57.47,57.09,9585,54.43,36.59,14.41,531658.0___NA__
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,27674.35,1.25,17.02,19126,26943,12018,29638.95,21907.45,29638.95,362.0,0.18,2.94,6.71,26850.25,25562.48,26818.67,25541.76,59.16,207.08,182.92,196.77,194.19,17.96,18.11,25.7,15580,30.84,28.99,58808.0,500488.0_ABBOTINDIA
ABC Gas (Int.),513119.0,__NA__,Trading,91.58,43.93,71.15,10102,0,0,91.58,36.0,153.5,1.73,0.0,0.0,0.0,70.49,58.3,69.63,57.97,79.87,7.9,7.83,5.99,5.51,129.58,104.74,48.93,7702,21.16,32.84,18.13,513119.0___NA__
ABC India,520123.0,__NA__,Miscellaneous,112.3,-1.43,-12.71,3014,2679,3305,160.67,81.0,177.0,13.5,-1.53,1.06,2.47,115.35,112.14,115.4,112.12,50.44,-0.46,-0.57,-0.87,-0.97,32.14,11.49,15.29,10466,1.69,0.36,60.83,520123.0___NA__
Abhinav Capital,532057.0,__NA__,Finance & Investments,207.7,16.42,56.97,1737,810,104,239.0,86.7,301.15,1.57,-0.02,-0.05,-4.72,194.67,164.13,194.13,163.69,56.2,4.15,4.05,1.82,1.23,112.21,83.36,22.26,1994,12.34,,143.83,532057.0___NA__
Abhinav Leasing,538952.0,__NA__,Finance & Investments,2.76,23.76,-8.42,112214,189886,222999,3.57,1.34,23.7,0.51,10.4,9.65,15.74,2.17,2.19,2.15,2.19,65.64,0.08,0.07,0.05,0.04,76.06,36.64,10.46,58492,-2.34,,13.8,538952.0___NA__
Abhishek Finle.,538935.0,__NA__,Finance & Investments,37.0,18.02,57.31,116,233,5,43.72,20.4,53.7,0.0,-2.63,0.82,-5.13,35.47,30.48,35.41,30.41,50.28,0.32,0.38,0.58,0.65,55.14,42.08,,93,23.8,,15.78,538935.0___NA__
Abhishek Infra.,539544.0,__NA__,Construction,7.14,13.0,18.72,2077,4694,2169,9.98,4.2,64.5,0.91,1.42,13.37,-0.85,6.83,6.26,6.82,6.25,53.83,-0.04,-0.08,-0.1,-0.12,62.21,20.64,13.73,2738,1.46,,3.6,539544.0___NA__
Abhishek Integr.,-1.0,AILIMITED,Construction,69.45,72.49,145.0,17000,27000,18000,69.45,25.0,69.45,9.5,4.99,6.69,20.27,53.88,38.88,53.38,38.6,64.02,3.13,2.98,3.37,3.43,162.71,67.8,,24699,,,41.82,-1.0_AILIMITED
Abirami Fin.,511756.0,__NA__,Finance & Investments,58.2,35.66,59.45,2557,1718,1188,85.02,20.54,85.02,2.55,0.0,6.57,3.93,54.87,42.59,54.74,42.43,53.49,0.23,0.07,-0.53,-0.72,57.13,137.04,49.4,1485,27.8,21.39,31.43,511756.0___NA__
ABM Knowledge,531161.0,__NA__,Computers - Software - Medium / Small,148.0,41.04,7.6,61218,20273,21255,166.7,84.75,180.0,3.16,0.95,-7.57,11.19,128.22,115.06,127.47,114.74,58.81,9.03,9.65,8.45,8.31,65.52,3.64,20.56,22675,0.29,12.66,296.03,531161.0___NA__
ABS Marine,-1.0,ABSMARINE,Shipping,356.75,,,548842,918500,419000,396.0,190.0,396.0,190.0,-1.45,5.93,57.12,277.96,276.51,274.53,275.65,69.46,28.15,25.79,13.92,10.36,,,,555143,,,875.84,-1.0_ABSMARINE
ACC,500410.0,ACC,Cement - North India,2647.55,-1.12,14.86,606102,768990,340501,2759.95,1762.65,2785.0,318.0,1.09,1.19,2.85,2546.65,2366.04,2543.7,2363.5,54.83,25.79,25.75,24.77,24.51,44.4,9.64,10.86,574544,7.41,6.08,49717.64,500410.0_ACC
Accedere,531533.0,__NA__,Computers - Software - Medium / Small,85.5,-8.55,9.76,542,175,250,96.54,49.4,96.54,1.63,-5.0,-2.84,8.92,81.78,70.07,81.63,69.92,51.02,1.64,1.87,1.63,1.63,37.95,93.23,90.14,1507,52.29,19.84,43.01,531533.0___NA__
Accel,517494.0,__NA__,Computers - Software - Medium / Small,22.44,2.65,0.0,58195,53655,69976,35.48,14.15,58.0,2.53,1.72,-1.39,-3.33,23.45,23.07,23.51,23.08,42.23,-0.4,-0.39,-0.48,-0.5,49.26,11.07,24.82,99433,25.02,13.26,129.18,517494.0___NA__
AccelerateBS Ind,543938.0,__NA__,Computers - Software - Medium / Small,339.0,2.81,101.93,2314,4100,9200,404.95,109.5,404.95,109.5,-0.28,23.62,11.39,304.97,245.88,303.54,244.93,59.26,-3.54,-7.34,-5.52,-6.02,,,,17017,,,72.85,543938.0___NA__
Accelya Solution,532268.0,ACCELYA,Computers - Software - Medium / Small,1744.9,-4.68,20.69,21026,14610,21514,2128.25,1280.0,2128.25,16.35,0.88,-1.4,7.34,1702.23,1634.61,1701.11,1633.65,54.35,16.05,16.25,15.75,15.67,30.64,12.15,14.99,47555,3.87,8.99,2605.14,532268.0_ACCELYA
Accent Microcell,-1.0,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.0,4.9,-10.44,34316,41750,17500,364.0,224.0,364.0,224.0,2.53,-1.21,2.38,281.3,289.19,281.47,289.31,46.07,-0.1,0.46,0.24,0.33,,,,129594,,,597.62,-1.0_ACCENTMIC
Accord Synergy,-1.0,ACCORD,Telecommunications - Service Provider,28.3,-4.07,12.08,3200,0,0,34.0,23.65,93.1,10.25,-4.07,0.0,4.04,27.74,28.04,27.72,28.04,52.4,0.39,0.4,0.12,0.05,-11.56,14.61,1.71,4986,,,9.83,-1.0_ACCORD
Accuracy Shippi.,-1.0,ACCURACY,Miscellaneous,13.49,36.74,23.13,885923,1321578,1005093,18.25,7.05,30.3,1.24,3.85,4.67,42.75,10.35,10.86,10.24,10.84,70.42,0.95,0.9,0.71,0.64,13.95,17.34,19.19,497562,,,203.1,-1.0_ACCURACY
ACE EduTremd Ltd,530093.0,__NA__,Miscellaneous,3.2,14.29,48.15,1308,0,0,3.22,1.9,57.9,0.95,3.9,0.0,3.9,2.34,2.0,2.3,1.98,78.56,0.19,0.15,0.07,0.04,18.96,45.92,7.3,4831,9.46,-22.32,2.93,530093.0___NA__
Ace Engitech,530669.0,__NA__,Computers - Software - Medium / Small,21.56,0.98,52.91,876,0,0,29.0,11.89,29.0,1.42,10.0,0.0,-8.26,20.81,18.62,20.78,18.59,53.64,-0.58,-0.78,-0.36,-0.3,43.26,41.44,42.57,890,,,7.12,530669.0___NA__
Ace Integrated,-1.0,ACEINTEG,Computers - Software - Medium / Small,34.15,-0.41,-16.33,11823,4549,1402,55.5,29.6,82.3,8.27,1.16,-0.88,1.99,34.1,36.09,34.12,36.11,48.63,0.05,0.07,0.06,0.06,-9.49,51.91,12.3,18128,,,34.83,-1.0_ACEINTEG
Ace Men,539661.0,__NA__,Trading,45.99,-4.53,-17.87,9859,5024,10107,67.0,40.55,76.0,9.7,0.0,0.07,-1.63,47.06,51.46,47.1,51.51,49.09,-0.42,-0.48,-0.65,-0.7,-27.17,-1.59,20.64,5654,11.77,,14.24,539661.0___NA__
Ace Soft. Exp.,531525.0,__NA__,Computers - Software - Medium / Small,243.75,137.67,400.63,5934,3012,2350,254.65,17.4,254.65,5.62,1.99,-4.02,14.3,198.44,113.19,196.79,111.92,63.75,14.26,15.41,17.81,18.7,1083.17,123.88,66.55,3987,45.22,38.05,156.0,531525.0___NA__
Achyut Healthcar,543499.0,__NA__,Trading,56.7,26.7,6.7,44625,59625,2250,60.79,40.23,60.79,10.0,15.41,8.0,18.79,51.44,43.69,51.23,43.56,55.5,0.49,0.01,0.08,-0.02,29.04,,,42958,,,95.4,543499.0___NA__
ACI Infocom,517356.0,__NA__,Computers - Software - Medium / Small,2.44,30.9,51.3,102269,103114,137952,3.67,0.77,23.25,0.19,4.72,20.73,-36.51,2.46,1.97,2.47,1.96,46.46,-0.19,-0.21,-0.16,-0.16,174.12,39.41,65.09,372576,-19.62,-8.1,26.96,517356.0___NA__
Acknit Indus.,530043.0,__NA__,Textiles - Products,312.0,34.76,13.49,3237,1176,694,369.45,164.05,369.45,16.25,0.66,-3.14,2.58,294.68,261.16,294.05,260.67,51.35,7.3,8.47,10.84,11.72,89.46,35.24,29.24,4132,16.01,24.07,94.84,530043.0___NA__
Acme Resources,539391.0,__NA__,Finance & Investments,33.1,-19.02,-10.11,4361,2630,3265,76.48,22.01,76.48,4.63,-0.69,-3.67,0.85,35.9,36.57,36.01,36.6,44.21,-0.55,-0.54,-0.6,-0.62,7.17,30.49,22.67,5342,15.55,,85.21,539391.0___NA__
Acrow India,513149.0,__NA__,Diversified - Medium / Small,760.0,4.76,-2.2,127,146,63,945.0,600.0,1210.0,34.25,1.31,-4.92,-7.01,754.39,766.82,754.56,766.98,46.93,5.7,8.07,12.45,14.14,-13.03,73.59,41.71,152,23.5,23.48,48.64,513149.0___NA__
Action Const.Eq.,532762.0,ACE,Engineering,1460.0,-6.63,60.66,769699,362084,230010,1695.0,475.15,1695.0,7.65,-1.81,0.55,3.82,1439.24,1147.79,1437.29,1144.38,53.21,17.54,18.61,13.72,12.77,203.39,85.51,73.6,518901,54.98,46.82,17386.19,532762.0_ACE
Active Clothing,541144.0,__NA__,Textiles - Products,100.89,-5.39,-21.58,9508,6345,4460,144.05,42.3,144.05,5.0,2.63,-1.7,-9.73,103.93,93.04,104.16,92.99,41.74,-1.82,-1.73,-1.79,-1.79,123.41,79.49,32.63,17068,,,156.5,541144.0___NA__
AD Manum Finance,511359.0,__NA__,Finance & Investments,79.4,26.18,79.83,6616,6180,4808,97.5,40.05,97.5,7.86,4.87,4.0,1.76,70.37,61.32,70.15,61.18,56.97,1.41,1.41,1.51,1.54,47.35,50.64,36.12,20553,16.12,10.09,59.55,511359.0___NA__
Adani Energy Sol,539254.0,ADANIENSOL,Power Generation And Supply,1003.15,-9.2,-15.71,3773721,2684385,825794,1250.0,686.0,4238.55,25.0,0.58,-1.96,-11.17,1036.66,1057.75,1038.27,1058.36,43.18,-12.46,-11.67,-10.9,-10.51,29.99,1.41,33.83,2852509,34.31,,111900.61,539254.0_ADANIENSOL
Adani Enterp.,512599.0,ADANIENT,Trading,3177.95,-2.8,5.8,5008251,2508984,989476,3743.9,2142.0,4190.0,8.54,0.03,-0.55,-6.87,3169.77,2952.9,3169.47,2950.65,48.66,5.68,8.68,20.15,23.77,33.04,30.73,82.81,3187738,66.07,33.39,362286.66,512599.0_ADANIENT
Adani Green,541450.0,ADANIGREEN,Power Generation And Supply,1780.3,-5.49,5.39,2000104,533422,510287,2174.1,815.55,3050.0,22.75,-0.48,-1.3,-6.26,1822.41,1627.54,1823.78,1625.92,46.59,-14.0,-13.44,-9.79,-8.74,89.11,20.78,102.91,2359484,,,282005.33,541450.0_ADANIGREEN
Adani Ports,532921.0,ADANIPORTS,Miscellaneous,1481.75,5.27,35.08,11514622,6701720,11837856,1621.4,708.0,1621.4,50.0,0.25,1.22,2.83,1388.43,1183.77,1384.77,1180.81,57.96,29.38,29.22,25.9,25.03,99.95,27.66,28.93,6191855,21.97,18.29,320078.57,532921.0_ADANIPORTS
Adani Power,533096.0,ADANIPOWER,Power Generation And Supply,718.4,22.12,31.97,16052043,8033664,10495227,896.75,235.7,896.75,15.15,-0.03,-2.69,-4.92,687.69,547.27,686.43,545.55,49.85,10.57,12.68,19.79,22.09,187.61,87.28,61.33,11518191,57.64,27.05,277082.48,533096.0_ADANIPOWER
Adani Total Gas,542066.0,ATGL,Miscellaneous,888.85,-8.22,-18.49,2953412,1082882,685786,1259.9,521.95,4000.0,70.2,-0.8,-1.73,-13.79,938.59,968.02,940.33,968.75,41.64,-13.54,-12.37,-6.34,-4.54,36.88,-0.9,38.75,2506057,,,97756.62,542066.0_ATGL
Adani Wilmar,543458.0,AWL,Solvent Extraction,333.85,-6.23,-12.82,2509716,994482,1069178,422.7,285.8,878.35,221.0,0.53,-1.35,-6.65,341.69,359.23,342.08,359.51,41.01,-2.32,-1.96,-1.14,-0.85,-18.99,,,2705657,,,43389.78,543458.0_AWL
