Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization,join_key
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,5.47,32.32,3.79,0.07,3.86,1.63,2.23,0.23,2.0,0.45,1.54,0.0,1.54,11.73,4.76,5.03,3.06,130.54,539300.0___NA__
A R C Finance,540135.0,__NA__,Finance & Investments,1.18,-0.04,4.54,1.01,0.0,1.01,0.04,0.97,1.31,-0.34,0.08,-0.43,0.0,-0.43,22.25,-9.47,50.5,-0.01,59.61,540135.0___NA__
A-1 Acid,542012.0,__NA__,Trading,346.0,-0.17,71.62,-0.37,2.96,2.59,0.96,1.63,0.47,1.16,0.08,1.07,0.0,1.07,-0.52,1.49,11.5,0.93,397.91,542012.0___NA__
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1054.0,78.9,116.27,71.15,0.28,71.43,1.89,69.54,38.27,31.27,6.49,24.54,0.0,24.77,61.19,21.3,6.6,37.18,695.64,530499.0___NA__
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.67,-19.78,90.71,17.58,-40.72,32.74,2.33,30.41,3.03,-28.5,35.18,-43.72,-55.88,-63.68,19.38,-48.29,176.12,-3.61,381.65,533292.0_A2ZINFRA
AA Plus Trade,543319.0,__NA__,Trading,20.0,-0.13,7.16,-0.26,,,,,,,,,,0.1,,,,0.04,48.65,543319.0___NA__
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,110.9,1.93,11.99,1.0,0.17,1.17,0.11,1.06,0.0,1.06,0.27,0.8,0.0,0.8,8.34,6.67,8.55,0.62,142.24,543671.0_AAATECH
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,414.7,516.82,555.43,422.35,-24.92,422.43,4.41,418.02,213.46,179.56,38.86,159.52,-25.0,140.7,76.04,28.72,,3.56,17687.73,544176.0_AADHARHFC
Aadi Industries,530027.0,__NA__,Plastics Products,6.86,-0.05,0.0,-0.04,0.02,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,,,10.0,-0.02,6.86,530027.0___NA__
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,2.79,19.71,3.82,0.15,3.97,2.0,1.97,0.48,1.49,0.43,1.06,0.0,1.06,19.38,5.38,10.13,0.1,143.37,-1.0_AAKASH
Aananda Lakshmi,539096.0,__NA__,Construction,14.58,0.63,0.0,-0.07,5.54,0.49,0.0,0.49,0.0,5.47,0.0,0.49,4.98,5.47,,,3.5,15.63,5.1,539096.0___NA__
Aanchal Ispat,538812.0,__NA__,Steel - Medium / Small,6.14,-1.9,55.67,-21.47,0.07,-21.4,0.16,-21.56,2.04,-23.6,-7.02,-16.59,0.0,-16.59,-38.57,-29.8,20.85,-7.96,12.8,538812.0___NA__
Aarey Drugs,524412.0,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,2.7,162.88,2.52,0.84,3.36,1.02,2.34,0.2,2.14,1.78,0.36,0.0,0.36,1.55,0.22,25.38,0.14,115.88,524412.0_AAREYDRUGS
Aarnav Fashions,539562.0,__NA__,Textiles - Products,47.98,6.74,111.89,-1.98,0.18,-1.8,2.16,-3.96,2.88,-6.84,-1.41,-5.43,0.0,-5.43,-1.77,-4.85,42.24,-1.29,202.67,539562.0___NA__
Aaron Industries,-1.0,AARON,Engineering,263.0,2.52,16.06,2.79,0.03,2.82,0.31,2.51,0.26,2.25,0.58,1.66,0.0,1.66,17.37,10.34,10.04,1.65,275.44,-1.0_AARON
Aartech Solonics,542580.0,AARTECH,Electric Equipment,200.4,-0.47,2.83,-0.43,0.15,-0.28,0.01,-0.29,0.04,-0.33,-0.01,-0.31,0.0,-0.31,-15.19,-10.95,,-0.3,212.22,542580.0_AARTECH
Aarti Drugs,524348.0,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,526.5,70.14,742.41,93.54,0.87,94.41,12.5,81.91,8.63,73.28,17.1,56.09,0.0,56.18,12.6,7.57,92.6,6.06,4840.35,524348.0_AARTIDRUGS
Aarti Industries,524208.0,AARTIIND,Chemicals,694.1,259.0,1656.0,253.0,0.0,253.0,84.0,169.0,33.0,136.0,-13.0,149.0,0.0,149.0,15.28,9.0,181.25,4.11,25161.44,524208.0_AARTIIND
Aarti Pharma,543748.0,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,607.15,95.68,485.06,79.99,0.74,80.73,15.95,64.78,5.94,58.84,15.97,42.87,0.0,42.87,16.49,8.84,45.56,4.73,5502.35,543748.0_AARTIPHARM
Aarti Surfactant,543210.0,AARTISURF,Chemicals,682.35,16.73,157.84,13.9,0.09,13.99,3.93,10.06,3.91,6.15,1.47,4.7,0.0,4.7,8.81,2.98,7.58,5.53,577.17,543210.0_AARTISURF
Aarvee Denims,514274.0,AARVEEDEN,Textiles - Cotton/Blended,28.21,-9.17,49.92,-4.8,0.07,-4.73,5.43,-10.16,12.6,-22.76,-7.32,-15.44,0.0,-15.44,-9.62,-30.93,23.46,-6.58,66.18,514274.0_AARVEEDEN
Aarvi Encon,-1.0,AARVI,Miscellaneous,139.79,2.22,106.3,4.63,0.27,4.9,0.35,4.55,0.46,4.09,0.64,3.45,0.0,3.45,4.36,3.25,,2.33,206.68,-1.0_AARVI
Aashka Hospitals,543346.0,__NA__,Healthcare,116.5,0.83,7.41,-0.5,,,,,,,,,,-2.1,,,,-0.9,272.6,543346.0___NA__
AastamangalamFin,511764.0,__NA__,Finance & Investments,42.31,2.15,1.15,0.98,0.01,0.99,0.0,0.99,1.18,-0.19,-0.11,-0.08,0.0,-0.08,85.22,-6.96,4.28,-0.19,37.7,511764.0___NA__
Aatmaj Health,-1.0,AATMAJ,Healthcare,26.25,3.87,13.74,5.25,,,,,,,,,,3.01,,,,1.86,59.33,-1.0_AATMAJ
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1867.7,373.77,449.5,331.53,0.71,332.24,8.68,323.56,165.0,158.56,31.81,126.75,0.0,126.75,73.76,28.2,78.94,16.04,14780.92,541988.0_AAVAS
Aayush Food&Herb,539528.0,__NA__,Trading,304.0,-0.03,1.09,-0.64,0.34,-0.3,0.01,-0.31,0.0,-0.31,0.0,-0.3,0.0,-0.3,-58.72,-27.52,3.25,-0.92,98.64,539528.0___NA__
AB Cotspin,-1.0,ABCOTS,Textiles - Cotton/Blended,259.0,11.32,97.66,7.17,,,,,,,,,,1.35,,,,1.31,266.57,-1.0_ABCOTS
Aban Offshore,523204.0,ABAN,Oil Drilling / Allied Services,65.5,-39.44,72.95,-93.49,18.31,-73.06,10.7,-83.76,286.73,-372.61,7.98,-378.47,-2.12,-380.59,-128.16,-518.81,11.67,-65.21,382.29,523204.0_ABAN
ABans Enterprise,512165.0,__NA__,Trading,135.55,12.13,343.21,2.55,1.17,3.72,0.34,3.38,1.85,1.53,0.1,1.31,0.0,1.44,0.74,0.42,13.95,0.94,189.09,512165.0___NA__
Abans Holdings,543712.0,AHL,Finance & Investments,484.4,38.42,572.26,27.46,0.58,28.04,0.19,27.85,2.39,25.46,2.87,21.0,0.0,22.58,4.8,3.95,,4.19,2429.07,543712.0_AHL
Abate As Indust,531658.0,__NA__,Trading,28.7,-0.02,0.0,-0.17,0.02,-0.17,0.0,-0.17,0.0,-0.15,0.0,-0.17,0.02,-0.15,,,5.02,-0.3,14.41,531658.0___NA__
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,27616.45,387.69,1343.08,280.12,49.64,329.76,17.34,312.42,4.01,308.41,76.99,231.42,0.0,231.42,20.86,17.23,21.25,108.91,58684.97,500488.0_ABBOTINDIA
ABC Gas (Int.),513119.0,__NA__,Trading,91.58,-0.16,0.0,-0.17,0.0,-0.17,0.01,-0.18,0.0,-0.18,0.23,-0.41,0.0,-0.41,,,1.98,-2.07,18.13,513119.0___NA__
ABC India,520123.0,__NA__,Miscellaneous,112.3,1.52,37.0,1.47,1.04,1.55,0.32,1.23,0.6,1.59,-0.33,0.96,0.96,1.92,3.97,2.59,5.41,3.54,60.83,520123.0___NA__
Abhinav Capital,532057.0,__NA__,Finance & Investments,207.75,3.13,2.34,2.26,0.0,2.26,0.0,2.26,0.08,2.18,0.58,1.6,0.0,1.6,96.58,68.38,,2.31,143.86,532057.0___NA__
Abhinav Leasing,538952.0,__NA__,Finance & Investments,2.65,0.37,5.16,1.23,-0.08,1.15,0.02,1.13,1.11,0.02,0.0,0.03,0.0,0.03,23.84,0.58,5.0,0.01,13.25,538952.0___NA__
Abhishek Finle.,538935.0,__NA__,Finance & Investments,37.0,0.06,0.06,0.0,0.01,0.03,0.02,0.01,0.0,-0.01,0.03,-0.03,-0.02,-0.05,0.0,-50.0,4.26,-0.12,15.78,538935.0___NA__
Abhishek Infra.,539544.0,__NA__,Construction,7.14,-0.05,0.41,0.3,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.3,73.17,73.17,3.25,0.59,3.6,539544.0___NA__
Abhishek Integr.,-1.0,AILIMITED,Construction,69.45,0.74,13.76,0.8,,,,,,,,,,0.34,,,,0.57,41.82,-1.0_AILIMITED
Abirami Fin.,511756.0,__NA__,Finance & Investments,58.2,-0.17,0.0,-0.26,0.31,0.05,0.01,0.04,0.0,0.04,0.0,0.04,0.0,0.04,,,,0.07,31.43,511756.0___NA__
ABM Knowledge,531161.0,__NA__,Computers - Software - Medium / Small,148.0,2.1,15.8,2.78,1.58,4.36,0.3,4.06,0.05,4.01,0.86,3.14,0.0,3.14,17.59,19.87,,1.57,296.03,531161.0___NA__
ABS Marine,-1.0,ABSMARINE,Shipping,357.0,,,,,,,,,,,,,,,,,,876.45,-1.0_ABSMARINE
ACC,500410.0,ACC,Cement - North India,2647.6,904.72,4790.91,468.52,54.82,589.76,176.75,413.01,15.24,331.35,95.69,282.86,-66.42,235.66,9.78,5.9,,12.55,49718.59,500410.0_ACC
Accedere,531533.0,__NA__,Computers - Software - Medium / Small,85.5,0.07,0.52,-0.04,0.01,0.01,0.08,-0.07,0.0,-0.11,-0.02,-0.03,-0.04,-0.09,-7.69,-9.62,4.76,-0.1,43.01,531533.0___NA__
Accel,517494.0,__NA__,Computers - Software - Medium / Small,22.0,4.96,49.3,3.64,3.66,7.3,1.94,5.36,1.84,3.52,4.21,-0.68,0.0,-0.7,7.38,-1.42,11.46,-0.12,126.64,517494.0___NA__
AccelerateBS Ind,543938.0,__NA__,Computers - Software - Medium / Small,339.0,0.55,2.8,0.71,,,,,,,,,,0.58,,,,2.96,72.85,543938.0___NA__
Accelya Solution,532268.0,ACCELYA,Computers - Software - Medium / Small,1740.0,45.88,119.46,44.63,13.57,46.57,8.22,38.35,0.48,49.5,13.21,27.81,11.63,36.29,37.36,23.28,,24.31,2597.82,532268.0_ACCELYA
Accent Microcell,-1.0,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.0,19.51,,,,,,,,,,,,,,,,,597.62,-1.0_ACCENTMIC
Accord Synergy,-1.0,ACCORD,Telecommunications - Service Provider,28.3,0.33,13.57,0.29,,,,,,,,,,0.37,,,,1.07,9.83,-1.0_ACCORD
Accuracy Shippi.,-1.0,ACCURACY,Miscellaneous,13.4,4.42,177.55,12.03,-0.24,11.79,3.14,8.65,2.21,6.44,0.73,5.71,0.0,5.71,6.78,3.22,15.06,0.38,201.74,-1.0_ACCURACY
ACE EduTremd Ltd,530093.0,__NA__,Miscellaneous,3.2,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,,,9.16,-0.01,2.93,530093.0___NA__
Ace Engitech,530669.0,__NA__,Computers - Software - Medium / Small,21.56,-0.02,0.0,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,,,,-0.09,7.12,530669.0___NA__
Ace Integrated,-1.0,ACEINTEG,Computers - Software - Medium / Small,34.18,-0.14,2.21,0.38,0.06,0.44,0.04,0.4,0.01,0.39,0.15,0.24,0.0,0.24,17.19,10.86,10.2,0.24,34.86,-1.0_ACEINTEG
Ace Men,539661.0,__NA__,Trading,46.0,-0.08,4.16,-0.73,0.0,-0.73,0.0,-0.73,0.0,-0.73,0.0,-0.73,0.0,-0.73,-17.55,-17.55,3.1,-2.36,14.24,539661.0___NA__
Ace Soft. Exp.,531525.0,__NA__,Computers - Software - Medium / Small,243.75,-0.15,1.94,-0.25,0.13,-0.12,0.09,-0.21,0.0,-0.21,0.01,-0.21,0.0,-0.21,-12.89,-10.82,4.68,-0.45,156.0,531525.0___NA__
Achyut Healthcar,543499.0,__NA__,Trading,56.7,0.03,0.81,-0.29,,,,,,,,,,-0.01,,,,-0.01,95.4,543499.0___NA__
ACI Infocom,517356.0,__NA__,Computers - Software - Medium / Small,2.44,0.02,0.14,0.06,0.0,0.06,0.0,0.06,0.0,0.06,0.04,0.02,0.0,0.02,42.86,14.29,11.05,0.0,26.96,517356.0___NA__
Acknit Indus.,530043.0,__NA__,Textiles - Products,312.0,4.02,52.98,4.52,0.04,4.56,0.86,3.7,0.59,3.11,0.85,2.26,0.0,2.26,8.53,4.27,3.04,7.43,94.84,530043.0___NA__
Acme Resources,539391.0,__NA__,Finance & Investments,33.1,2.52,20.59,12.39,0.02,12.41,0.0,12.41,0.1,12.31,2.86,9.45,0.0,9.45,60.17,45.9,25.74,3.67,85.21,539391.0___NA__
Acrow India,513149.0,__NA__,Diversified - Medium / Small,760.0,-0.08,0.0,-0.72,0.65,-0.07,0.05,-0.12,0.0,-0.12,0.08,-0.2,0.0,-0.2,,,0.64,-3.12,48.64,513149.0___NA__
Action Const.Eq.,532762.0,ACE,Engineering,1463.7,102.74,613.84,73.29,3.12,76.41,4.99,71.42,3.38,68.04,20.89,47.15,0.0,47.15,11.94,7.68,23.82,4.0,17430.22,532762.0_ACE
Active Clothing,541144.0,__NA__,Textiles - Products,100.89,5.36,43.91,2.34,-0.01,2.33,0.45,1.88,1.38,0.5,0.11,0.39,0.0,0.39,5.33,0.89,15.51,0.25,156.5,541144.0___NA__
AD Manum Finance,511359.0,__NA__,Finance & Investments,79.39,2.51,0.84,0.61,0.0,0.61,0.01,0.6,0.19,0.41,0.14,0.27,0.0,0.27,72.62,32.14,7.5,0.36,59.54,511359.0___NA__
Adani Energy Sol,539254.0,ADANIENSOL,Power Generation And Supply,1003.95,1470.64,3357.66,1203.2,502.46,1705.66,415.55,1290.11,630.49,659.62,220.02,389.45,0.0,439.6,35.83,13.09,1099.81,3.49,111989.86,539254.0_ADANIENSOL
Adani Enterp.,512599.0,ADANIENT,Trading,3177.3,3225.86,28943.84,3606.66,-14.52,3974.24,895.43,3078.81,1524.74,1171.97,449.32,946.47,-382.1,780.68,12.46,3.53,109.98,6.34,362212.56,512599.0_ADANIENT
Adani Green,541450.0,ADANIGREEN,Power Generation And Supply,1781.2,1666.0,2598.0,2264.0,265.0,2654.0,392.0,2262.0,1338.0,799.0,307.0,583.97,-125.0,507.0,87.14,22.48,1564.0,3.21,282147.88,541450.0_ADANIGREEN
Adani Ports,532921.0,ADANIPORTS,Miscellaneous,1482.2,4195.68,5796.85,3270.68,-884.53,3659.53,846.36,2813.17,622.56,917.23,-221.84,2278.73,-1273.38,1139.07,56.42,39.31,422.47,5.36,320175.78,532921.0_ADANIPORTS
Adani Power,533096.0,ADANIPOWER,Power Generation And Supply,719.0,4645.34,10242.06,1907.41,553.26,2460.67,816.95,1643.72,746.0,897.72,-4344.76,5242.48,0.0,5242.48,18.62,51.19,3856.94,13.59,277313.9,533096.0_ADANIPOWER
Adani Total Gas,542066.0,ATGL,Miscellaneous,888.7,288.03,1114.78,189.2,9.49,198.69,30.86,167.83,32.11,135.72,37.81,97.91,0.0,97.91,16.97,8.78,109.98,0.89,97740.14,542066.0_ATGL
Adani Wilmar,543458.0,AWL,Solvent Extraction,334.0,504.19,13872.64,118.11,313.04,431.15,91.82,339.33,210.09,129.24,36.83,93.61,0.0,93.61,0.85,0.67,129.97,0.72,43409.26,543458.0_AWL
Adarsh Plant,526711.0,__NA__,Packaging,35.98,0.21,4.16,0.11,0.0,0.11,0.02,0.09,0.03,0.06,0.0,0.06,0.0,0.06,2.64,1.44,9.91,0.06,35.65,526711.0___NA__
ADC India,523411.0,__NA__,Telecommunications - Equipment,2100.0,8.08,34.52,-1.13,0.19,-0.94,0.05,-0.99,0.08,-1.07,-0.23,-0.84,0.0,-0.84,-3.27,-2.43,4.6,-1.83,966.0,523411.0___NA__
Adcon Capital,539506.0,__NA__,Finance & Investments,0.86,0.18,0.33,-0.41,0.0,-0.41,0.0,-0.41,0.0,-0.41,0.01,-0.42,0.0,-0.42,-124.24,-127.27,3.55,-0.01,17.05,539506.0___NA__
Add-Shop E-Reta.,541865.0,__NA__,Trading,15.89,4.42,46.89,7.09,0.0,7.09,0.11,6.98,0.05,6.93,4.47,2.46,0.0,2.46,15.12,5.25,19.26,0.87,44.99,541865.0___NA__
Addi Industries,507852.0,__NA__,Textiles - Products,50.07,-0.27,0.0,-0.11,1.1,0.99,0.07,0.92,0.01,0.91,0.15,0.76,0.0,0.76,,,5.4,0.7,54.06,507852.0___NA__
Addictive Learn,-1.0,LAWSIKHO,Miscellaneous,307.25,5.68,16.43,-2.32,,,,,,,,,,-1.66,,,,-1660.0,488.83,-1.0_LAWSIKHO
Adeshwar Meditex,543309.0,__NA__,Healthcare,27.0,2.21,36.3,2.46,,,,,,,,,,0.99,,,,0.69,38.96,543309.0___NA__
ADF Foods,519183.0,ADFFOODS,Food - Processing - Indian,242.35,26.95,123.11,26.46,0.58,27.04,3.54,23.5,0.64,22.86,6.77,16.09,0.0,16.09,21.49,13.07,21.34,1.49,2662.54,519183.0_ADFFOODS
Adhbhut Infra.,539189.0,__NA__,Construction,29.07,0.17,1.32,0.52,0.24,0.76,0.26,0.5,0.06,0.44,0.04,0.39,0.0,0.39,39.39,29.55,11.0,0.35,31.98,539189.0___NA__
Adinath Exim Res,532056.0,__NA__,Finance & Investments,23.88,0.17,0.25,0.21,0.0,0.21,0.0,0.21,0.0,0.21,-0.14,0.35,0.0,0.35,84.0,140.0,4.77,0.81,10.31,532056.0___NA__
Adinath Textiles,514113.0,__NA__,Textiles - Spinning - Synthetic / Blended,25.91,-0.29,0.0,-0.32,0.52,0.2,0.02,0.18,0.0,0.18,-0.1,0.27,0.0,0.27,,,6.99,0.4,17.65,514113.0___NA__
Adit.Birla Money,532974.0,BIRLAMONEY,Finance & Investments,165.05,43.77,65.91,23.27,4.29,27.56,1.86,25.7,15.93,9.77,2.41,7.37,0.0,7.37,35.31,11.18,5.64,1.31,932.68,532974.0_BIRLAMONEY
Aditya AMC,543374.0,ABSLAMC,Finance & Investments,648.25,194.27,296.97,158.0,32.2,190.2,8.41,181.79,0.84,180.95,45.38,135.57,0.0,135.57,53.2,45.65,144.0,4.71,18676.05,543374.0_ABSLAMC
Aditya Bir. Fas.,535755.0,ABFRL,Textiles - Products,317.9,553.27,2879.73,192.8,38.76,231.56,348.48,-116.92,142.23,-259.15,-64.61,-186.94,0.0,-194.54,6.7,-6.76,938.29,-1.97,32301.87,535755.0_ABFRL
Aditya Birla Cap,540691.0,ABCAPITAL,Finance & Investments,239.45,3036.42,8024.95,2259.29,90.66,2349.95,40.21,2309.74,1477.59,832.15,196.37,608.65,0.0,635.78,28.15,7.92,2416.31,2.52,62306.76,540691.0_ABCAPITAL
Aditya Consumer,540146.0,__NA__,Trading,83.5,0.97,45.97,2.96,0.12,3.82,0.99,2.83,0.43,2.4,0.08,2.32,0.0,0.94,8.15,5.11,14.63,0.64,122.19,540146.0___NA__
Aditya Ispat,513513.0,__NA__,Steel - Medium / Small,10.5,1.12,19.33,1.13,0.03,1.16,0.24,0.92,0.59,0.33,0.15,0.17,0.0,0.17,5.85,0.88,5.35,0.32,5.61,513513.0___NA__
Aditya Spinners,521141.0,__NA__,Textiles - Spinning - Synthetic / Blended,20.2,1.11,15.65,0.68,0.27,0.95,0.65,0.3,0.45,-0.15,1.23,-1.38,0.0,-1.38,4.35,-8.82,16.74,-0.82,33.82,521141.0___NA__
Aditya Vision,540205.0,__NA__,Trading,4516.9,43.49,306.27,28.64,1.63,30.27,5.22,25.05,10.9,14.15,7.37,6.78,0.0,6.78,9.35,2.21,12.03,5.64,5811.56,540205.0___NA__
Adjia Tech,543269.0,__NA__,Computers - Software - Medium / Small,45.49,0.07,0.14,0.12,,,,,,,,,,0.03,,,,0.34,4.0,543269.0___NA__
Adline Chem Lab,524604.0,__NA__,Pharmaceuticals - Indian - Formulations,13.12,0.0,0.0,-0.08,0.07,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,,,5.85,-0.02,7.68,524604.0___NA__
Ador Fontech,530431.0,__NA__,Electrodes - Welding Equipment,144.2,6.4,57.58,9.21,0.09,9.3,0.59,8.71,0.01,8.7,2.88,5.82,0.0,5.82,16.0,10.11,7.0,1.66,504.71,530431.0___NA__
Ador Multi Prod.,523120.0,__NA__,Personal Care - Indian,34.45,-0.45,2.61,-2.33,0.04,-2.29,0.46,-2.75,0.06,-2.81,0.06,-2.88,0.0,-2.88,-89.27,-110.34,4.67,-6.16,16.1,523120.0___NA__
Ador Welding,517041.0,ADORWELD,Electrodes - Welding Equipment,1409.75,20.83,235.48,31.78,1.9,33.02,3.05,29.97,0.69,29.94,7.39,22.07,0.66,22.55,13.5,9.37,13.6,16.58,1917.26,517041.0_ADORWELD
Adroit Info.,532172.0,ADROITINFO,Computers - Software - Medium / Small,18.6,2.4,4.54,-1.72,0.08,-1.64,0.59,-2.23,0.17,-2.4,-0.54,-1.86,0.0,-1.86,-37.89,-40.97,18.27,-0.37,40.31,532172.0_ADROITINFO
Advait Infratech,543230.0,__NA__,Construction,1690.05,12.38,40.86,6.08,0.58,6.66,0.92,5.74,1.0,4.74,1.23,3.5,0.0,3.5,14.88,8.57,,3.43,1725.15,543230.0___NA__
Advance Lifes.,521048.0,__NA__,Textiles - Jute - Yarn / Products,45.99,-0.05,1.51,0.0,0.8,0.8,0.0,0.8,0.57,0.23,0.0,0.23,0.0,0.23,0.0,15.23,,0.37,28.63,521048.0___NA__
Advance Meter.,534612.0,__NA__,Electric Equipment,38.29,-1.12,4.72,-2.35,1.09,-1.7,1.47,-3.17,0.26,-2.99,0.01,-3.44,0.44,-3.0,-49.79,-72.88,8.03,-1.87,61.49,534612.0___NA__
Advance Petroch.,506947.0,__NA__,Chemicals,288.0,0.35,7.97,0.15,-0.03,0.12,0.43,-0.31,0.18,-0.49,-0.08,-0.41,0.0,-0.41,1.88,-5.14,0.9,-4.56,25.92,506947.0___NA__
Advance Syntex,539982.0,__NA__,Textiles - Spinning - Synthetic / Blended,7.3,-0.35,1.82,-0.41,1.15,-0.4,0.21,-0.61,0.06,0.47,0.2,-0.67,1.14,0.27,-22.53,-36.81,11.1,0.24,8.1,539982.0___NA__
