join_key,t_1_price
539982.0___NA__,6.62
540025.0_ADVENZYMES,394.79
523269.0_ADVANIHOTR,72.17
539773.0___NA__,2.49
500003.0_AEGISLOG,902.07
524594.0___NA__,140.07
543972.0_AEROFLEX,163.43
534733.0___NA__,31.21
543534.0_AETHER,906.77
542752.0_AFFLE,1487.97
541402.0___NA__,618.11
543377.0___NA__,11.64
-1.0_AGARWALFT,70.16
530765.0___NA__,22.47
531921.0_AGARIND,1202.67
500187.0_AGI,661.81
539042.0___NA__,886.72
516020.0___NA__,4.04
-1.0_AGNI,56.27
537292.0_AGRITECH,207.76
-1.0_AGROPHOS,43.84
500215.0_ATFL,697.02
543451.0_AGSTRA,82.27
543941.0___NA__,337.24
-1.0_AHIMSA,17.35
-1.0_AHLADA,119.46
532811.0_AHLUCONT,1355.97
522273.0___NA__,91.27
532806.0___NA__,52.96
532683.0_AIAENG,4644.27
544072.0___NA__,122.15
524288.0___NA__,97.75
-1.0_AIMTRON,644.68
531439.0_GOLDTECH,133.02
543811.0_AIRAN,32.36
-1.0_AIROLAM,142.53
532331.0_AJANTPHARM,2629.7
519216.0___NA__,32.33
511692.0___NA__,31.28
530713.0___NA__,14.3
513349.0_AJMERA,733.97
-1.0_AJOONI,5.3
526628.0___NA__,36.08
-1.0_AKANKSHA,139.9
530621.0___NA__,92.85
-1.0_AKASH,32.6
-1.0_AKG,21.8
542020.0_AKI,28.98
540718.0___NA__,134.77
544200.0_AFIL,105.26
532351.0_AKSHOPTFBR,7.93
541303.0_AKSHAR,2.75
524598.0_AKSHARCHEM,310.16
500710.0_AKZOINDIA,2986.31
535916.0___NA__,88.22
539115.0___NA__,66.23
531082.0_ALANKIT,21.14
524075.0_ALBERTDAVD,1447.14
531409.0___NA__,13.51
506235.0_ALEMBICLTD,111.25
533573.0_APLLTD,923.36
511463.0___NA__,15.15
530973.0___NA__,63.89
517546.0___NA__,90.88
531156.0___NA__,11.62
505216.0___NA__,1438.23
505725.0___NA__,1300.72
531147.0_ALICON,1243.92
533029.0_ALKALI,160.79
539523.0_ALKEM,5484.17
543453.0___NA__,131.42
506767.0_ALKYLAMINE,2345.76
-1.0_ALLETEC,279.61
532345.0_ACLGATI,114.85
532749.0_ALLCARGO,61.16
543954.0_ATL,51.4
534064.0___NA__,79.76
532875.0_ADSL,190.61
532633.0_ALLSEC,1290.34
531400.0_ALMONDZ,131.81
521070.0_ALOKINDS,27.86
532878.0_ALPA,76.57
-1.0_ALPEXSOLAR,1028.31
526397.0_ALPHAGEO,441.24
543937.0___NA__,333.97
542770.0___NA__,279.09
526519.0___NA__,129.99
530715.0_ALPSINDUS,4.1
539277.0___NA__,0.73
524634.0___NA__,536.23
-1.0_ALUWIND,68.74
506597.0___NA__,376.93
501622.0___NA__,45.85
543804.0___NA__,28.67
500008.0_ARE&M,1748.28
521097.0___NA__,213.78
538465.0___NA__,56.13
539196.0___NA__,235.05
500009.0___NA__,45.48
-1.0_AMBANIORG,102.37
519471.0___NA__,131.31
542524.0___NA__,34.87
540902.0_AMBER,4464.61
532335.0_AMBICAAGAR,24.36
531978.0_AMBIKCO,1640.41
539223.0___NA__,2.86
526439.0___NA__,8.35
543678.0___NA__,92.84
500425.0_AMBUJACEM,719.44
530133.0___NA__,59.74
532828.0_AMDIND,69.02
531681.0___NA__,0.66
-1.0_AMEYA,137.98
513117.0___NA__,11.66
543349.0_AMIORG,1232.86
-1.0_AMIABLE,78.63
544037.0___NA__,1507.1
541771.0___NA__,2.08
506248.0_AMNPLST,290.63
531300.0___NA__,3.84
500343.0_AMJLAND,41.93
544169.0___NA__,78.9
526241.0___NA__,19.46
531991.0___NA__,1.1
590006.0_AMRUTANJAN,828.55
543415.0_ANANDRATHI,4039.37
542721.0___NA__,41.87
515055.0_ANANTRAJ,432.89
532141.0_ACL,94.81
502330.0_ANDHRAPAP,518.75
500012.0___NA__,121.28
590062.0_ANDHRSUGAR,125.12
526173.0___NA__,39.83
531252.0___NA__,5.97
540694.0___NA__,49.97
541006.0___NA__,24.29
543235.0_ANGELONE,2443.46
-1.0_AISL,134.44
519383.0_ANIKINDS,47.68
531878.0___NA__,12.68
511153.0___NA__,42.24
518091.0_APCL,183.07
531223.0___NA__,44.07
531673.0___NA__,17.71
532870.0_ANKITMETAL,3.29
-1.0_ANLON,596.26
542437.0_ANMOL,34.95
530799.0___NA__,27.61
-1.0_ANNAPURNA,339.07
531406.0___NA__,10.78
523007.0___NA__,120.17
507828.0___NA__,14.57
500013.0_ANSALAPI,9.63
-1.0_ANTGRAPHIC,1.46
543254.0_AWHCL,518.42
506260.0___NA__,249.92
530109.0___NA__,2.06
543275.0_ANURAS,779.79
542865.0___NA__,22.45
543655.0_ANZEN,101.67
532259.0_APARINDS,8905.31
523694.0_APCOTEXIND,430.41
544111.0_PARKHOTELS,177.14
540692.0_APEX,210.36
506166.0___NA__,226.79
533758.0_APLAPOLLO,1836.05
517096.0___NA__,91.33
523537.0___NA__,55.56
512437.0___NA__,851.3
508869.0_APOLLOHOSP,6437.29
540879.0_APOLLO,114.82
531761.0_APOLLOPIPE,634.89
-1.0_APOLSINHOT,1653.33
500877.0_APOLLOTYRE,591.28
539545.0___NA__,29.34
506979.0___NA__,35.65
532475.0_APTECHT,201.02
543335.0_APTUS,318.96
-1.0_ARABIAN,76.82
512344.0___NA__,6.12
520121.0___NA__,5.5
543657.0_ACI,681.94
543231.0_ADL,84.52
532994.0_ARCHIDPLY,95.62
532212.0_ARCHIES,26.83
524640.0___NA__,55.33
543993.0___NA__,74.56
526851.0___NA__,154.98
539151.0___NA__,44.49
-1.0_ARHAM,141.88
532935.0_ARIES,268.5
530267.0___NA__,89.0
531381.0___NA__,197.84
-1.0_ARIHANTACA,127.49
511605.0_ARIHANTCAP,75.53
506194.0_ARIHANTSUP,402.97
531017.0___NA__,20.96
531677.0___NA__,61.93
-1.0_ARISTO,87.29
531179.0_ARMANFIN,2166.49
538556.0___NA__,58.08
537069.0___NA__,45.1
513729.0_AROGRANITE,59.33
516064.0_ARROWGREEN,629.64
544025.0___NA__,164.67
506074.0_ARSHIYA,4.82
533163.0_ARSSINFRA,20.12
-1.0_ARTNIRMAN,71.17
531297.0___NA__,65.64
542670.0___NA__,29.93
542919.0_ARTEMISMED,183.2
522134.0___NA__,159.3
500016.0___NA__,10.68
526935.0___NA__,48.43
530881.0___NA__,83.2
-1.0_ARVEE,198.31
-1.0_ACSAL,51.37
542484.0_ARVINDFASN,471.22
500101.0_ARVIND,395.05
539301.0_ARVSMART,725.82
538716.0___NA__,120.13
530245.0___NA__,303.11
542176.0___NA__,21.59
515030.0_ASAHIINDIA,692.89
532853.0_ASAHISONG,488.63
543943.0___NA__,60.6
543443.0___NA__,60.96
-1.0_ASCOM,107.58
527001.0_ASHAPURMIN,416.77
542579.0___NA__,7.3
519174.0___NA__,22.61
523716.0_ASHIANA,457.85
513401.0___NA__,42.96
543766.0___NA__,75.58
514286.0_ASHIMASYN,47.46
512247.0___NA__,5.83
526847.0___NA__,44.0
530429.0___NA__,72.16
541702.0___NA__,5.9
507872.0___NA__,36.65
500477.0_ASHOKLEY,250.25
533271.0_ASHOKA,237.2
540923.0_ASHOKAMET,19.76
526983.0___NA__,12.0
526187.0___NA__,6.59
531341.0___NA__,12.48
502015.0___NA__,25.68
530899.0___NA__,50.04
530355.0_ASIANENE,338.22
532888.0_ASIANTILES,75.61
533227.0_AHLEAST,140.16
500023.0_ASIANHOTNR,128.54
500820.0_ASIANPAINT,3068.82
524434.0___NA__,12.83
531847.0___NA__,792.25
519532.0___NA__,16.46
543927.0___NA__,63.01
530723.0___NA__,149.04
544022.0_ASKAUTOLTD,382.11
-1.0_ASLIND,55.82
526433.0___NA__,1121.89
-1.0_ASPINWALL,265.6
540788.0___NA__,27.31
-1.0_ASPIRE,112.85
542911.0___NA__,320.5
507526.0_ASALCBR,671.52
544183.0___NA__,225.14
531168.0___NA__,313.97
533138.0_ASTEC,1142.31
540975.0_ASTERDM,364.61
532493.0_ASTRAMICRO,1007.75
532830.0_ASTRAL,2393.0
506820.0_ASTRAZEN,7195.0
540824.0_ASTRON,20.09
543911.0_ATALREAL,7.37
543236.0_ATAM,223.8
530187.0___NA__,2.47
539099.0___NA__,6.58
517429.0___NA__,103.2
538713.0___NA__,135.77
532759.0_ATLANTAA,48.23
-1.0_ATMASTCO,325.88
500027.0_ATUL,6819.68
531795.0_ATULAUTO,772.32
500028.0___NA__,26.24
540611.0_AUBANK,679.93
-1.0_AURDIS,289.98
532668.0_AURIONPRO,1506.87
-1.0_AUROIMPEX,65.37
530233.0___NA__,182.61
524804.0_AUROPHARMA,1282.13
539289.0_AURUM,142.59
509009.0_AUSOMENT,89.76
522005.0___NA__,224.89
-1.0_APS,555.98
539177.0_AIIL,1201.64
531994.0___NA__,177.04
505036.0___NA__,2559.6
532797.0_AUTOIND,120.89
505010.0_AUTOAXLES,2215.88
520119.0_ASAL,1063.28
540649.0_AVADHSUGAR,577.05
531310.0___NA__,284.35
543896.0_AVALON,537.5
512149.0___NA__,1.04
532406.0___NA__,190.7
512573.0_AVANTIFEED,655.64
511730.0___NA__,32.86
543737.0___NA__,517.04
540376.0_DMART,4656.75
543910.0_AVG,520.63
539288.0___NA__,11.84
523896.0___NA__,20.85
508929.0___NA__,45.97
512109.0___NA__,22.24
511589.0_AVONMORE,12.16
-1.0_AVPINFRA,143.3
543512.0_AVROIND,116.12
-1.0_AVSL,190.53
519105.0_AVTNPL,82.89
544181.0_AWFIS,516.27
513642.0___NA__,57.65
532215.0_AXISBANK,1229.42
532395.0_AXISCADES,538.79
542285.0_AXITA,22.6
523850.0___NA__,659.07
508933.0_AYMSYNTEX,100.18
544061.0_AZAD,1949.43
544177.0___NA__,76.14
508136.0___NA__,579.97
523186.0___NA__,265.6
517246.0___NA__,62.88
500103.0_BHEL,308.56
523019.0___NA__,141.11
500547.0_BPCL,335.81
536965.0___NA__,5.23
543543.0___NA__,140.31
537766.0_BCP,4.62
532719.0_BLKASHYAP,98.09
543668.0_BBTCL,230.81
531268.0___NA__,25.64
532380.0___NA__,12.19
-1.0_BABAFP,54.35
524516.0___NA__,21.94
532989.0_BAFNAPH,66.29
532507.0_BAGFILMS,8.71
-1.0_BAHETI,244.57
511724.0_BAIDFIN,17.79
532977.0_BAJAJ-AUTO,10666.41
533229.0_BAJAJCON,276.02
500031.0_BAJAJELEC,1032.83
500034.0_BAJFINANCE,7587.44
532978.0_BAJAJFINSV,1421.35
539872.0_BAJAJHCARE,310.96
500032.0_BAJAJHIND,37.79
500490.0_BAJAJHLDNG,9249.08
507944.0___NA__,1838.44
544042.0_BAJEL,289.35
524824.0_BALPHARMA,108.89
530999.0_BALAMINES,2480.95
532382.0_BALAJITELE,65.02
-1.0_BALAXI,119.33
539834.0___NA__,52.89
502355.0_BALKRISIND,3394.8
539251.0_BALKRISHNA,22.06
532485.0___NA__,848.04
523319.0_BALMLAWRIE,283.89
500038.0_BALRAMCHIN,433.85
531112.0_BALUFORGE,299.41
520127.0___NA__,29.26
519295.0___NA__,367.91
531591.0___NA__,8.45
526849.0_BANARBEADS,98.85
509053.0___NA__,10.32
500039.0_BANCOINDIA,771.86
524602.0___NA__,34.85
541153.0_BANDHANBNK,174.06
532946.0_BANG,45.31
539120.0___NA__,50.89
532134.0_BANKBARODA,284.95
532149.0_BANKINDIA,113.83
532525.0_MAHABANK,65.5
-1.0_BANKA,89.86
532674.0_BASML,43.02
500041.0_BANARISUG,3278.65
538546.0___NA__,80.14
519353.0___NA__,3.84
503722.0_BANSWRAS,139.14
532916.0_BVCL,62.76
543283.0_BARBEQUE,567.08
513502.0___NA__,6.4
500270.0___NA__,148.81
532336.0___NA__,0.82
532694.0_ASMS,20.89
524687.0___NA__,21.77
500042.0_BASF,5294.38
-1.0_BASILIC,473.45
500043.0_BATAINDIA,1433.72
522004.0___NA__,120.22
-1.0_BAWEJA,85.99
506285.0_BAYERCROP,7168.22
539946.0___NA__,56.55
539621.0___NA__,0.99
524332.0_BCLIND,55.48
542057.0___NA__,97.83
524828.0___NA__,360.23
-1.0_BEACON,133.51
539447.0_BEARDSELL,36.91
533270.0_BEDMUTHA,234.52
539546.0___NA__,44.8
539018.0___NA__,773.44
532645.0___NA__,5.41
539399.0___NA__,365.59
522650.0___NA__,1439.53
543898.0_BLAL,279.83
500048.0_BEML,4897.03
541178.0___NA__,14.67
509438.0___NA__,10281.08
544052.0___NA__,46.03
533095.0___NA__,8695.11
532230.0___NA__,159.12
509480.0_BERGEPAINT,528.57
531340.0___NA__,45.18
524606.0___NA__,29.47
531582.0___NA__,31.74
539660.0_BESTAGRO,623.98
508664.0___NA__,16.36
-1.0_BETA,1254.6
512477.0___NA__,191.01
-1.0_BEWLTD,1735.58
533303.0_BFINVEST,745.89
532430.0_BFUTILITIE,1021.28
539662.0___NA__,14.47
511664.0___NA__,10.27
532930.0_BGRENERGY,35.75
509449.0___NA__,43.58
530803.0_BHAGERIA,170.69
531719.0_BHAGCHEM,257.51
504646.0___NA__,521.52
512296.0_BHAGYANGR,102.56
540545.0___NA__,16.01
512608.0_BHANDARI,8.11
538576.0___NA__,89.17
500052.0_BEPL,132.24
531862.0___NA__,88.11
511501.0___NA__,36.37
503960.0_BBL,5346.78
541143.0_BDL,1782.5
500049.0_BEL,300.96
500493.0_BHARATFORG,1716.4
505688.0_BHARATGEAR,106.45
544137.0_BHINVIT,129.25
524663.0___NA__,25.45
541096.0___NA__,1489.14
590021.0_BHARATRAS,11857.32
540700.0_BRNL,43.43
523229.0___NA__,144.82
531029.0___NA__,10.89
539799.0_BHARATWIRE,252.46
533499.0_BGLOBAL,3.09
532454.0_BHARTIARTL,1482.26
544162.0_BHARTIHEXA,1200.26
526666.0_BIL,408.87
524534.0___NA__,95.37
543497.0___NA__,43.89
540956.0___NA__,21.22
518017.0___NA__,24.53
514272.0___NA__,130.59
533108.0___NA__,53.97
526488.0___NA__,38.65
540061.0_BIGBLOC,228.31
500058.0___NA__,14.76
524723.0___NA__,22.52
543653.0_BIKAJI,747.19
526853.0___NA__,51.13
543209.0___NA__,47.57
505681.0___NA__,616.61
500059.0_BINANIIND,15.48
523054.0___NA__,2229.89
540148.0___NA__,23.93
514215.0___NA__,135.91
532523.0_BIOCON,322.41
524396.0_BIOFILCHEM,68.89
531752.0___NA__,1.09
500060.0_BIRLACABLE,232.63
500335.0_BIRLACORPN,1818.76
522105.0___NA__,58.42
532400.0_BSOFT,746.1
531671.0___NA__,4.08
526709.0___NA__,3.34
543926.0___NA__,53.77
539043.0_BKMINDST,1.4
519500.0___NA__,14.39
500463.0_BBOX,353.15
514183.0___NA__,147.32
532290.0_BLBLIMITED,18.02
506197.0_BLISSGVS,96.06
526225.0___NA__,10.83
513422.0___NA__,26.57
544107.0_BLSE,276.39
531175.0___NA__,3.04
540073.0_BLS,405.79
531495.0_BLUECOAST,10.04
531936.0_BLUECHIP,3.72
539607.0___NA__,250.97
526612.0_BLUEDART,7861.35
544009.0_BLUEJET,398.07
514440.0___NA__,39.84
-1.0_BLUEPEBBLE,330.72
500067.0_BLUESTARCO,1859.83
506981.0___NA__,150.24
542669.0___NA__,59.76
526125.0___NA__,147.61
530809.0___NA__,75.72
524370.0_BODALCHEM,74.31
543767.0_BTML,15.08
-1.0_BOHRAIND,15.89
501425.0_BBTC,2182.75
501430.0___NA__,2126.45
500020.0_BOMDYEING,222.19
-1.0_BMETRICS,151.96
509470.0___NA__,37241.79
-1.0_BSHSL,203.89
511246.0___NA__,7.39
504648.0___NA__,85.81
543971.0___NA__,3220.27
543211.0___NA__,36.67
543212.0_BOROLTD,318.2
502219.0_BORORENEW,426.92
544184.0_BOROSCI,218.49
500530.0_BOSCHLTD,35153.18
535279.0___NA__,10.98
500074.0_BPL,124.55
505690.0___NA__,1213.32
535693.0___NA__,92.42
543442.0_BCONCEPTS,663.86
543439.0___NA__,9.49
530207.0___NA__,23.27
530249.0___NA__,32.98
532929.0_BRIGADE,1479.05
526731.0___NA__,140.32
543831.0___NA__,441.87
-1.0_BRIGHT,8.57
532368.0_BCG,8.58
532113.0___NA__,6.8
544101.0___NA__,134.09
500825.0_BRITANNIA,5477.35
534731.0___NA__,1.14
543261.0_BIRET,262.16
533543.0_BROOKS,83.96
-1.0_BSE,2974.24
532123.0___NA__,11.62
514045.0_BSL,186.96
532931.0_BURNPUR,8.65
517421.0_BUTTERFLY,872.04
-1.0_CDSL,2743.7
507515.0___NA__,20.27
500110.0_CHENNPETRO,1003.83
-1.0_CPS,297.33
543425.0_MAPMYINDIA,2487.5
-1.0_CADSYS,204.43
517236.0___NA__,152.3
532386.0_CALSOFT,18.54
532801.0_CTE,113.01
524440.0___NA__,62.2
532834.0_CAMLINFINE,103.4
543523.0_CAMPUS,280.19
543232.0_CAMS,3718.05
511196.0_CANFINHOME,934.4
532483.0_CANBK,114.48
-1.0_CANARYS,52.21
522292.0___NA__,41.12
533267.0_CANTABIL,262.08
540710.0_CAPACITE,297.35
539198.0___NA__,245.66
530879.0___NA__,97.31
544120.0_CAPITALSFB,347.02
538476.0___NA__,55.97
511505.0_CAPTRUST,109.28
524742.0_CAPLIPOINT,1694.12
531595.0_CGCL,217.81
512169.0___NA__,12.07
509486.0___NA__,119.5
507486.0___NA__,58.47
538817.0___NA__,19.04
536974.0___NA__,49.43
540652.0___NA__,210.53
513375.0_CARBORUNIV,1968.6
534804.0_CARERATING,1236.27
533260.0_CAREERP,419.2
543621.0___NA__,34.64
543618.0___NA__,60.58
530609.0___NA__,7.21
543333.0_CARTRADE,785.93
524091.0_CARYSIL,795.52
534732.0___NA__,77.7
500870.0_CASTROLIND,208.78
531158.0___NA__,29.06
531900.0___NA__,25.08
519600.0_CCL,593.17
534796.0___NA__,25.33
500878.0_CEATLTD,2973.74
530789.0___NA__,211.4
531119.0___NA__,869.93
514171.0___NA__,34.05
538734.0___NA__,544.6
532695.0_CELEBRITY,18.61
-1.0_CELLPOINT,33.87
532701.0___NA__,11.19
-1.0_CELLECOR,327.24
544012.0_CELLO,934.31
522251.0___NA__,417.73
531380.0___NA__,112.17
532885.0_CENTRALBK,58.08
501150.0_CENTRUM,41.2
517544.0_CENTUM,1468.86
500280.0_CENTENKA,585.22
500083.0_CENTEXT,19.83
532548.0_CENTURYPLY,787.79
500040.0_CENTURYTEX,2180.38
532443.0_CERA,8537.75
532413.0_CEREBRAINT,6.41
500084.0_CESC,150.99
543920.0___NA__,932.41
500093.0_CGPOWER,750.2
531489.0___NA__,329.6
542399.0_CHALET,769.71
530747.0___NA__,16.43
-1.0_CMNL,66.0
530307.0_CLSEL,221.82
512301.0___NA__,10.37
500085.0_CHAMBLFERT,532.77
542627.0___NA__,48.64
542934.0___NA__,76.2
530309.0___NA__,22.77
540829.0___NA__,17.69
531327.0___NA__,6.81
531977.0___NA__,11.47
511696.0___NA__,237.5
544151.0___NA__,111.49
-1.0_CHAVDA,171.76
539800.0___NA__,6.6
531099.0___NA__,9.28
530871.0_CHEMBOND,675.41
543233.0_CHEMCON,266.44
540395.0___NA__,232.22
541269.0_CHEMFAB,595.15
506365.0___NA__,61.01
543336.0_CHEMPLASTS,501.31
537326.0___NA__,198.33
539011.0___NA__,119.84
523489.0___NA__,32.05
526817.0_CHEVIOT,1549.85
532992.0___NA__,33.47
531358.0_CHOICEIN,386.05
530427.0___NA__,68.23
526546.0___NA__,49.67
504973.0_CHOLAHLDNG,1349.02
511243.0_CHOLAFIN,1496.86
519475.0___NA__,77.32
540681.0___NA__,29.81
501833.0___NA__,29.83
513005.0___NA__,40.4
519477.0___NA__,42.52
542678.0___NA__,24.35
532756.0_CIEINDIA,562.4
534758.0_CIGNITITEC,1425.81
533407.0___NA__,28.52
530829.0___NA__,47.29
531283.0___NA__,12.46
526373.0___NA__,47.85
532807.0_CINELINE,128.8
530457.0___NA__,73.33
532324.0_CINEVISTA,17.98
500087.0_CIPLA,1660.07
531775.0___NA__,0.65
502445.0___NA__,36.11
531235.0___NA__,17.13
538786.0___NA__,35.21
544000.0___NA__,30.18
538674.0___NA__,5.66
542727.0___NA__,175.83
532210.0_CUB,150.02
521210.0___NA__,24.39
540403.0_CLEDUCATE,75.37
543435.0___NA__,231.25
538433.0___NA__,1.03
540310.0___NA__,31.37
540481.0___NA__,14.3
543318.0_CLEAN,1716.29
530839.0___NA__,6.61
517330.0_CMICABLES,4.21
-1.0_CMMIPL,1.96
543441.0_CMSINFO,561.22
512018.0___NA__,9.17
533278.0_COALINDIA,462.06
501831.0_COASTCORP,225.39
520131.0___NA__,23.8
508571.0___NA__,212.71
513353.0___NA__,285.81
540678.0_COCHINSHIP,2678.02
539436.0_COFFEEDAY,52.6
532541.0_COFORGE,5788.5
542866.0___NA__,17.16
500830.0_COLPAL,2872.05
531210.0___NA__,41.95
540023.0___NA__,23.18
534691.0___NA__,24.39
535267.0___NA__,8.83
531216.0___NA__,10.99
543843.0___NA__,27.85
539986.0_COMSYN,78.52
-1.0_COMMITTED,62.81
531041.0___NA__,546.41
532456.0_COMPINFO,3.18
532339.0_COMPUSOFT,30.61
507833.0___NA__,8.54
543921.0___NA__,94.86
522231.0___NA__,150.61
543960.0_CONCORDBIO,1651.11
543619.0___NA__,1278.84
538965.0___NA__,35.63
539266.0___NA__,2.73
539991.0___NA__,108.03
526829.0_CONFIPET,84.1
-1.0_CONSOFINVT,192.88
539091.0___NA__,42.94
523844.0___NA__,58.32
506935.0___NA__,73.45
531460.0___NA__,13.08
523232.0___NA__,65.64
538868.0___NA__,8.18
543606.0___NA__,80.43
531344.0_CONCOR,1097.26
540597.0___NA__,9.95
531067.0___NA__,176.3
-1.0_CONTI,23.39
522295.0_CONTROLPR,908.18
-1.0_COOLCAPS,325.26
531556.0_CORALFINAC,51.09
524506.0___NA__,675.51
530755.0___NA__,10.33
532941.0_CORDSCABLE,237.85
533167.0___NA__,51.38
506395.0_COROMANDEL,1621.26
530545.0___NA__,298.41
543928.0___NA__,1865.97
523100.0___NA__,162.73
508814.0_COSMOFIRST,788.94
543172.0___NA__,276.33
538922.0___NA__,40.87
526550.0_CCHHL,17.87
531624.0_COUNCODOS,5.47
543276.0_CRAFTSMAN,5881.7
538770.0___NA__,29.01
512093.0___NA__,7.42
522001.0___NA__,112.06
509472.0___NA__,377.51
-1.0_CRAYONS,136.6
539527.0___NA__,836.14
532392.0_CREATIVEYE,6.98
-1.0_CGRAPHICS,185.45
-1.0_CREATIVE,911.39
539598.0___NA__,111.87
541770.0_CREDITACC,1268.79
544058.0_MUFTI,150.79
512379.0___NA__,12.51
511413.0_CREST,384.22
526269.0___NA__,130.13
500092.0_CRISIL,5231.22
531909.0___NA__,3.86
539876.0_CROMPTON,404.99
-1.0_CLSL,40.74
523105.0___NA__,457.57
-1.0_CROWN,303.91
540903.0___NA__,11.56
542867.0_CSBBANK,349.98
530067.0_CSLFINANCE,479.4
526027.0_CUBEXTUB,94.45
511710.0___NA__,2.69
500480.0_CUMMINSIND,4383.39
530843.0_CUPID,97.4
543378.0___NA__,742.73
531472.0___NA__,40.96
532640.0_CYBERMEDIA,25.74
-1.0_CMRSL,168.65
532173.0_CYBERTECH,192.59
532175.0_CYIENT,1919.73
543933.0_CYIENTDLM,757.64
517514.0___NA__,92.44
533151.0_DBCORP,363.63
543962.0_DPWIRES,468.42
533146.0_DLINKINDIA,462.63
-1.0_DKEGL,75.51
544161.0_DPABHUSHAN,1392.75
500096.0_DABUR,628.96
526821.0___NA__,618.43
530825.0___NA__,116.1
501148.0___NA__,436.14
500097.0_DALMIASUG,392.55
542216.0_DALBHARAT,1793.49
521220.0_DAMODARIND,50.55
-1.0_DANGEE,7.05
532329.0___NA__,1787.46
540361.0___NA__,5.12
543651.0___NA__,31.25
539770.0___NA__,6.71
539884.0___NA__,4.41
543225.0___NA__,144.26
543428.0_DATAPATTNS,3216.0
532528.0_DATAMATICS,682.49
526443.0___NA__,56.5
519413.0___NA__,9.88
530171.0___NA__,45.61
543267.0_DAVANGERE,7.82
530393.0_DBSTOCKBRO,47.36
543636.0_DCI,225.62
532772.0_DCBBANK,139.01
-1.0_DCG,167.42
502820.0_DCM,78.59
511611.0_DCMFINSERV,6.0
542729.0_DCMNVL,220.26
523367.0_DCMSHRIRAM,1064.13
523369.0_DCMSRIND,222.82
500117.0_DCW,56.46
