Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter,join_key
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,112.65,117.34,0.0,11.05,13.61,0.04,20.69,37.46,1.17,0.0,34.11,111.84,1.87,5.45,,12.63,0.0,5.0,3.0,1.67,0.69,2903.0,37.46,12.04,17.65,3.7,,169.34,11.5,7.94,17.65,,17.65,,62.53,0.0,0.0,0.0,0.0,-0.59,17.12,13.11,,2676.0,540874.0___NA__
A B B,500002.0,ABB,Electric Equipment,8531.0,180779.04,123.62,0.28,30.46,12.28,0.01,22.92,75.0,1.12,0.0,58.82,176011.85,21.19,280.54,4.26,1.59,0.0,9.0,5.0,1.03,1.71,102557.0,75.0,22.8,88.9,8.34,,-9.18,17.84,658.67,-0.4,179.32,88.9,90.02,7.15,11.89,1.17,-0.97,5.95,233.1,23.03,8.79,17.01,102093.0,500002.0_ABB
A B Infrabuild,-1.0,ABINFRA,Construction,55.0,273.6,23.36,0.0,3.36,9.35,0.26,33.15,36.82,7.38,0.0,23.53,284.99,4.97,16.41,2.75,1.14,0.0,5.0,4.0,1.47,3.55,231.0,36.82,27.37,64.14,2.74,,103.2,13.53,29.13,94.17,102.5,64.14,132.53,63.18,0.0,0.0,0.0,0.0,24.7,20.15,5.26,19.01,187.0,-1.0_ABINFRA
A B M Internatl.,-1.0,ABMINTLLTD,Trading,61.99,58.32,,0.0,3.92,-9.2,0.68,-20.7,74.7,-6.15,0.0,34.16,64.16,0.94,15.8,7.03,0.68,0.0,4.0,3.0,2.52,2.5,1597.0,74.7,-17.56,18.79,3.16,,48.02,-10.27,,21.12,50.76,18.79,53.09,25.3,0.0,0.0,0.0,0.0,19.35,-43.17,-23.51,-34.09,1412.0,-1.0_ABMINTLLTD
A F Enterprises,538351.0,__NA__,Trading,10.91,40.03,,0.0,1.21,-0.52,0.2,0.0,5.72,-1.18,0.0,34.16,45.92,3.67,9.09,2.82,1.32,0.0,5.0,3.0,0.06,4.31,7476.0,5.72,0.0,5048.59,3.16,,1326.45,-0.41,,-1808.25,6984.05,5048.59,127.21,94.28,0.0,0.0,0.0,0.0,5.59,-0.67,-0.2,-1.51,5853.0,538351.0___NA__
A G Universal,-1.0,AGUL,Trading,64.4,35.31,18.4,0.0,2.03,4.34,0.89,28.32,70.64,8.31,0.0,34.16,50.71,0.55,31.77,8.36,0.82,0.0,4.0,3.0,1.77,6.53,236.0,70.64,14.3,55.0,3.16,,38.66,8.47,50.02,15.95,82.73,55.0,43.67,29.35,0.0,0.0,0.0,0.0,,7.32,0.64,4.26,247.0,-1.0_AGUL
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,130.54,15.46,0.0,3.35,13.16,0.18,24.32,70.76,10.47,0.0,21.29,137.65,0.5,77.45,3.3,0.83,0.0,7.0,5.0,1.83,1.65,3520.0,70.76,19.48,52.52,2.79,,25.09,17.7,171.07,-91.69,253.57,52.52,109.37,29.24,0.0,0.0,0.0,0.0,60.65,27.52,13.05,27.25,3429.0,539300.0___NA__
A R C Finance,540135.0,__NA__,Finance & Investments,1.18,59.61,220.68,0.0,1.16,0.38,0.31,0.53,12.02,0.61,0.0,23.18,75.38,50.49,1.01,0.45,0.48,0.0,4.0,4.0,0.13,1.39,182228.0,12.02,1.5,48.98,1.78,,817.69,0.64,0.35,937.4,188.06,48.98,1076.47,87.97,0.0,0.0,0.0,0.0,1.02,2.46,0.44,0.64,142377.0,540135.0___NA__
A-1 Acid,542012.0,__NA__,Trading,346.0,397.91,361.74,0.43,8.33,1.68,0.22,2.29,70.03,0.61,0.0,34.16,402.01,1.15,41.54,112.53,3.33,0.0,6.0,2.0,3.14,1.37,2028.0,70.03,3.06,54.96,3.16,,57.01,3.89,29.9,52.68,6.06,54.96,3.79,27.07,2.9,0.0,0.0,0.0,42.09,9.79,4.91,7.63,2071.0,542012.0___NA__
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1051.0,693.66,7.56,1.13,0.75,2.67,3.0,10.43,71.5,9.27,0.0,23.18,3417.65,0.66,1392.53,0.0,4.13,0.0,5.0,6.0,0.15,3.77,2557.0,71.5,65.01,1.37,1.78,,183.13,8.37,2086.56,1.37,,1.37,,28.5,0.0,0.0,0.0,0.0,1271.79,8.77,3.03,10.96,2342.0,530499.0___NA__
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.67,381.65,,0.0,11.86,-7.17,6.15,-132.12,28.14,-9.62,99.68,37.82,576.74,17.61,1.83,75.35,0.72,0.0,5.0,3.0,0.46,26.01,41790.0,0.09,-53.49,146.75,4.55,,24.83,-8.2,,146.75,,146.75,0.0,70.25,1.61,0.0,0.0,0.0,2.16,6.57,1.32,15.74,42700.0,533292.0_A2ZINFRA
AA Plus Trade,543319.0,__NA__,Trading,20.0,48.65,91.8,0.0,3.64,3.43,0.1,4.1,21.32,1.49,0.0,34.16,49.85,2.43,5.49,,2.0,0.0,5.0,2.0,1.29,1.19,360.0,21.32,3.57,60.38,3.16,,271.69,2.73,5.07,60.38,,60.38,0.0,78.68,0.0,0.0,0.0,0.0,5.28,2.06,1.2,1.64,385.0,543319.0___NA__
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,110.9,142.24,44.32,0.46,5.09,11.25,0.0,12.03,71.51,3.54,0.0,34.11,121.73,1.28,21.8,,19.53,1.14,8.0,2.0,0.83,1.02,6542.0,71.51,11.53,91.29,3.7,,91.9,14.63,35.03,91.29,,91.29,,28.5,0.0,0.0,0.0,0.0,19.79,15.93,10.76,11.88,6880.0,543671.0_AAATECH
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,416.5,17764.49,23.71,0.0,,4.2,3.14,18.4,76.48,6.46,0.0,20.22,30450.68,42.65,,,2.39,0.0,6.0,5.0,0.14,4.01,730542.0,76.48,153.14,0.0,2.8,,-50.85,10.19,,0.0,,0.0,,11.88,4.47,,,7.17,,10.24,3.64,16.48,,544176.0_AADHARHFC
Aadi Industries,530027.0,__NA__,Plastics Products,6.86,6.86,,0.0,,-28.57,,,24.86,-0.73,0.0,34.93,13.6,1.0,-6.69,,0.03,,4.0,2.0,0.0,-0.05,5126.0,24.86,-71.43,,3.72,,,-52.63,,,,,,74.89,0.0,0.0,0.0,0.24,-6.6,-43.37,-36.0,,4911.0,530027.0___NA__
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,143.37,23.09,0.0,2.45,7.01,0.31,11.21,66.67,6.88,0.0,35.73,160.65,10.12,5.78,,1.21,0.0,9.0,5.0,1.04,1.51,37338.0,66.67,9.79,97.12,2.23,,67.44,10.84,8.93,97.12,,97.12,0.0,33.3,0.03,-0.03,0.0,0.0,5.17,11.25,5.97,9.19,33216.0,-1.0_AAKASH
Aananda Lakshmi,539096.0,__NA__,Construction,14.58,5.1,0.86,0.0,,50.21,,,58.67,22.49,0.0,33.28,26.41,0.35,-52.7,0.17,1.15,0.0,8.0,1.0,0.18,-0.64,7072.0,58.67,137.82,448.43,2.89,,425.83,44.49,,448.43,,448.43,,41.32,0.0,0.0,0.0,0.02,-64.36,33.79,-7.18,,6857.0,539096.0___NA__
Aanchal Ispat,538812.0,__NA__,Steel - Medium / Small,6.14,12.8,,0.0,0.76,-5.48,5.0,-31.23,32.09,-4.41,0.0,27.86,90.78,2.09,8.07,7.12,0.71,0.0,6.0,2.0,0.96,6.79,6332.0,32.09,-3.67,188.56,2.94,,201.68,-3.44,,222.86,8.91,188.56,43.22,67.9,0.0,0.0,0.0,0.0,11.13,-20.09,-19.25,-67.59,6478.0,538812.0___NA__
Aarey Drugs,524412.0,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,115.88,24.77,0.0,0.87,1.57,0.24,3.78,45.28,4.73,0.0,32.0,145.64,2.54,52.3,12.03,1.47,0.0,5.0,3.0,1.33,2.25,16843.0,45.28,3.93,170.2,3.4,,129.99,2.31,46.58,80.11,123.23,170.2,33.15,51.31,3.4,-0.43,0.0,0.0,45.34,6.38,1.41,3.33,15269.0,524412.0_AAREYDRUGS
Aarnav Fashions,539562.0,__NA__,Textiles - Products,47.85,202.12,35.97,0.0,1.12,1.39,0.61,3.2,72.44,6.41,0.0,31.14,307.44,4.22,42.37,2.13,0.83,0.2,8.0,3.0,0.88,2.26,33909.0,72.44,4.82,108.95,2.37,,172.52,5.05,35.62,211.78,64.37,108.95,167.19,27.55,0.0,0.0,0.0,0.0,40.86,3.98,0.1,0.25,35709.0,539562.0___NA__
Aaron Industries,-1.0,AARON,Engineering,263.2,275.65,43.55,0.39,7.7,11.16,0.88,22.48,73.06,3.27,0.0,43.13,304.66,1.05,34.22,2.71,0.43,0.0,3.0,5.0,1.11,1.58,12497.0,73.06,17.57,20.38,5.46,,85.38,13.18,68.22,139.98,23.16,20.38,142.76,26.94,0.0,0.0,0.0,0.0,20.39,29.71,15.78,29.69,11826.0,-1.0_AARON
Aartech Solonics,542580.0,AARTECH,Electric Equipment,200.4,212.22,163.25,0.25,7.19,3.4,0.14,4.46,52.68,1.41,0.0,58.82,214.08,1.06,27.88,3.33,2.01,0.0,6.0,3.0,0.84,1.32,4734.0,52.68,5.59,105.69,8.34,,231.55,7.42,27.75,143.82,93.63,105.69,131.77,45.92,0.01,0.01,1.39,1.39,27.13,6.9,3.99,4.88,4227.0,542580.0_AARTECH
Aarti Drugs,524348.0,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,524.6,4822.89,28.11,0.2,3.76,7.07,0.44,13.86,57.13,5.18,0.0,32.0,5377.74,9.19,139.4,3.35,1.05,0.0,7.0,1.0,1.04,1.89,157547.0,57.13,11.81,101.7,3.4,,116.03,11.06,241.83,114.84,92.57,101.7,105.71,34.3,2.56,0.46,0.73,5.99,128.77,15.46,7.19,14.92,170414.0,524348.0_AARTIDRUGS
Aarti Industries,524208.0,AARTIIND,Chemicals,693.85,25152.37,60.46,0.36,4.75,4.57,0.61,8.15,43.43,2.17,3.68,39.79,28264.37,36.25,145.93,3.54,0.51,53.98,6.0,2.0,0.7,1.72,377953.0,41.83,8.2,47.31,3.67,,81.97,6.3,194.11,107.43,49.01,47.31,109.12,28.38,10.93,0.1,1.42,17.24,135.73,10.44,6.63,11.55,418123.0,524208.0_AARTIIND
Aarti Pharma,543748.0,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,608.0,5510.05,25.41,0.33,3.14,9.01,0.16,13.08,46.46,5.48,0.0,34.7,5771.24,9.06,193.88,1.64,1.01,0.0,5.0,3.0,0.77,1.37,204122.0,46.46,11.4,102.32,3.58,,176.48,12.3,323.12,196.92,135.28,102.32,229.88,35.24,8.33,0.16,0.06,9.97,171.97,16.12,9.08,13.16,215796.0,543748.0_AARTIPHARM
Aarti Surfactant,543210.0,AARTISURF,Chemicals,682.35,577.17,25.9,0.0,2.62,5.39,0.45,11.5,49.81,7.11,0.0,39.79,670.16,0.85,259.21,5.06,0.78,29.38,8.0,5.0,1.43,1.88,43091.0,49.81,9.72,43.38,3.67,,70.28,11.14,391.86,69.49,54.98,43.38,81.09,50.1,0.09,0.05,-0.01,0.0,197.79,10.6,3.16,8.36,41711.0,543210.0_AARTISURF
Aarvee Denims,514274.0,AARVEEDEN,Textiles - Cotton/Blended,28.21,66.18,,0.0,3.86,-9.24,16.14,-113.54,65.8,-10.67,51.0,26.01,341.61,2.35,7.33,0.77,0.7,0.0,6.0,1.0,0.18,28.09,11439.0,32.24,-10.44,429.62,1.46,,595.04,-8.28,,599.76,234.52,429.62,404.67,32.1,0.0,0.0,0.0,2.1,26.17,-10.54,-11.56,-71.18,10566.0,514274.0_AARVEEDEN
Aarvi Encon,-1.0,AARVI,Miscellaneous,139.27,205.91,18.15,1.44,1.77,6.89,0.08,10.09,73.54,6.98,0.0,34.07,192.33,1.48,78.94,,2.56,0.0,4.0,1.0,2.47,1.41,10663.0,73.54,12.54,74.56,3.2,,61.48,7.93,116.72,74.56,,74.56,,26.46,0.0,0.0,0.0,0.0,73.09,17.52,9.94,15.05,11262.0,-1.0_AARVI
Aashka Hospitals,543346.0,__NA__,Healthcare,117.15,274.12,116.14,0.0,2.84,1.84,0.21,2.51,61.28,2.06,0.0,42.74,292.53,2.34,41.15,6.92,0.62,0.0,7.0,1.0,0.18,1.36,1641.0,61.28,8.61,109.48,5.67,,107.09,4.73,30.56,-177.77,339.96,109.48,52.71,38.71,0.0,0.0,0.0,0.0,40.14,0.42,-2.0,-2.7,2066.0,543346.0___NA__
AastamangalamFin,511764.0,__NA__,Finance & Investments,44.23,39.41,10.95,0.0,1.05,5.1,1.07,11.75,27.6,8.78,0.0,23.18,73.43,0.89,42.29,,2.57,0.0,4.0,6.0,0.1,1.87,6138.0,27.6,116.73,0.0,1.78,,-110.07,7.96,62.01,0.0,,0.0,,72.4,0.0,0.0,0.0,0.0,55.12,8.37,3.85,7.7,6071.0,511764.0___NA__
Aatmaj Health,-1.0,AATMAJ,Healthcare,26.25,59.33,67.42,0.0,1.2,2.84,0.11,6.21,63.72,4.8,0.0,42.74,54.0,2.26,21.89,6.15,6.32,0.0,1.0,1.0,0.51,2.19,1537.0,63.72,6.41,413.47,5.67,,349.23,4.49,13.85,158.26,314.55,413.47,59.35,36.28,0.0,0.0,0.0,0.0,,46.64,24.38,52.65,1772.0,-1.0_AATMAJ
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1866.65,14772.61,30.1,0.0,3.91,3.28,3.29,13.93,26.47,5.75,0.0,20.22,25373.1,7.91,476.79,,9.09,0.0,3.0,4.0,0.13,3.97,151680.0,26.47,9.91,2.21,2.8,,27.06,8.79,815.57,2.21,,2.21,,14.76,34.8,2.48,8.7,23.99,413.68,9.51,3.52,14.14,132644.0,541988.0_AAVAS
Aayush Food&Herb,539528.0,__NA__,Trading,299.0,97.02,170.22,0.0,19.71,11.99,0.0,12.22,0.0,0.6,0.0,34.16,96.97,0.32,15.16,,5.6,0.0,6.0,2.0,0.13,0.97,2069.0,0.0,121.28,12.17,3.16,,249.42,11.75,24.48,12.17,,12.17,,100.0,0.0,0.0,0.0,0.0,13.59,-5.1,-5.25,-8.95,2133.0,539528.0___NA__
AB Cotspin,-1.0,ABCOTS,Textiles - Cotton/Blended,259.0,266.57,39.79,0.0,3.89,4.48,1.78,15.74,34.91,4.58,0.0,26.01,388.19,1.03,66.53,4.49,0.66,0.0,5.0,3.0,1.71,3.51,164.0,34.91,10.26,19.21,1.46,,84.8,8.98,98.71,97.9,2.67,19.21,81.36,65.09,0.0,0.0,0.0,0.0,41.37,5.79,1.66,4.74,171.0,-1.0_ABCOTS
Aban Offshore,523204.0,ABAN,Oil Drilling / Allied Services,65.5,382.29,,0.0,,-80.97,,,46.0,-1.3,19.37,19.71,15646.65,5.84,-4090.09,0.45,0.02,0.0,3.0,2.0,0.25,-0.07,101568.0,37.09,,126.61,1.4,,-8727.12,-13.43,,-2045.36,3050.34,126.61,878.37,51.87,0.43,0.34,0.0,1.71,-3820.21,,-50.3,,102027.0,523204.0_ABAN
ABans Enterprise,512165.0,__NA__,Trading,132.2,184.42,19.87,0.08,0.99,2.58,0.84,5.14,74.56,10.24,0.0,34.16,322.87,1.39,133.0,17.02,1.26,0.0,5.0,4.0,4.69,2.03,1647.0,74.56,5.25,37.19,3.16,,56.12,7.42,141.09,38.51,19.7,37.19,21.01,15.61,9.83,0.0,0.0,0.0,125.7,8.09,5.66,8.88,1549.0,512165.0___NA__
Abans Holdings,543712.0,AHL,Finance & Investments,487.3,2443.61,29.88,0.0,2.63,3.75,1.0,9.3,72.09,5.11,12.12,23.18,3083.82,5.01,185.62,19.61,1.57,0.0,5.0,1.0,0.58,2.56,12871.0,63.35,7.7,58.53,1.78,,382.46,5.22,260.95,30.28,46.02,58.53,17.77,16.45,11.47,-0.11,0.0,0.0,164.89,7.91,4.58,8.9,13193.0,543712.0_AHL
Abate As Indust,531658.0,__NA__,Trading,28.7,14.41,,0.0,,-189.58,62.0,,31.87,-5.85,0.0,34.16,15.55,0.5,-1.79,,0.19,,3.0,1.0,0.0,-0.53,1028.0,31.87,-413.64,,3.16,,,-275.76,,,,,,68.13,0.0,0.0,0.0,0.0,0.02,-57.85,-56.0,-184.21,1050.0,531658.0___NA__
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,27674.35,58808.0,48.95,1.46,15.9,24.64,0.02,34.88,74.99,2.88,0.0,44.02,56756.74,2.12,1740.71,5.08,1.96,1.31,8.0,5.0,1.2,1.32,69382.0,74.99,55.67,19.91,12.56,,-11.54,31.39,4705.37,-23.5,113.64,19.91,70.22,15.92,0.18,0.0,0.18,8.91,1500.54,41.13,21.63,31.61,72252.0,500488.0_ABBOTINDIA
ABC Gas (Int.),513119.0,__NA__,Trading,91.58,18.13,,0.0,4.58,-13.12,0.0,-14.79,1.21,-3.88,0.0,34.16,14.43,0.2,20.0,0.23,53.43,0.0,6.0,4.0,0.0,1.1,6545.0,1.21,-11.42,0.0,3.16,,8760.0,-13.9,21.85,1095.0,312.86,0.0,1407.86,98.79,0.0,0.0,0.0,0.0,18.94,-1.31,-1.66,-3.7,6483.0,513119.0___NA__
ABC India,520123.0,__NA__,Miscellaneous,112.3,60.83,27.65,0.45,1.36,2.36,0.46,5.07,64.69,6.52,0.0,38.47,78.63,0.54,83.44,78.57,1.6,0.0,7.0,2.0,1.76,2.06,5843.0,64.69,6.86,58.86,3.17,,92.43,5.26,88.89,-82.26,145.37,58.86,4.25,35.31,0.0,0.0,0.0,0.0,76.72,7.64,2.78,6.16,5623.0,520123.0___NA__
Abhinav Capital,532057.0,__NA__,Finance & Investments,207.7,143.83,15.54,0.0,1.87,9.87,0.49,13.47,71.48,10.92,0.0,23.18,130.19,0.69,111.28,,3.25,0.0,5.0,5.0,0.16,1.22,1223.0,71.48,9.9,0.0,1.78,,1695.61,11.63,182.99,0.0,,0.0,,28.51,0.0,0.0,0.0,0.0,87.23,23.2,16.49,18.11,1157.0,532057.0___NA__
Abhinav Leasing,538952.0,__NA__,Finance & Investments,2.74,13.7,80.58,0.0,2.37,0.32,5.14,2.97,3.66,4.96,0.0,23.18,42.33,5.0,1.17,4.44,0.22,0.0,5.0,5.0,0.63,9.21,9727.0,3.66,112.43,1.3,1.78,,-1.08,4.56,0.95,97.53,0.0,1.3,96.23,96.35,0.0,0.0,0.0,0.0,1.12,47.46,0.2,1.78,7284.0,538952.0___NA__
Abhishek Finle.,538935.0,__NA__,Finance & Investments,37.0,15.78,75.14,0.0,3.57,4.45,0.0,4.86,72.74,1.96,0.0,23.18,13.79,0.43,10.37,0.65,5.46,0.0,8.0,5.0,0.2,1.07,947.0,72.74,8.32,11.53,1.78,,126.79,5.61,9.64,575.62,0.0,11.53,564.09,27.26,0.0,0.0,0.0,0.0,9.87,3.33,1.96,2.17,951.0,538935.0___NA__
Abhishek Infra.,539544.0,__NA__,Construction,7.14,3.6,,0.0,0.88,-3.31,0.3,-6.18,26.41,-5.56,0.0,36.76,4.73,0.5,8.08,,2.94,0.0,1.0,3.0,0.0,1.93,2774.0,26.41,-5.38,,3.11,,,-3.35,,,,,,73.58,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,2709.0,539544.0___NA__
Abhishek Integr.,-1.0,AILIMITED,Construction,69.45,41.82,54.31,0.0,4.54,5.42,0.61,9.09,67.72,3.99,0.0,36.76,46.84,0.6,15.33,0.5,0.96,0.0,5.0,4.0,1.79,1.68,202.0,67.72,12.77,30.69,3.11,,125.49,11.0,21.0,692.04,75.52,30.69,736.87,32.28,0.0,0.0,0.0,0.0,14.12,12.09,5.25,8.24,215.0,-1.0_AILIMITED
Abirami Fin.,511756.0,__NA__,Finance & Investments,58.2,31.43,21.68,3.44,1.52,6.11,0.0,6.75,65.65,8.76,0.0,23.18,12.56,0.54,38.17,,44.78,,4.0,5.0,0.0,1.15,1416.0,65.65,5.58,,1.78,,,5.22,48.02,,,,,34.35,0.0,0.0,0.0,0.0,37.23,123.6,85.36,97.07,1181.0,511756.0___NA__
ABM Knowledge,531161.0,__NA__,Computers - Software - Medium / Small,148.0,296.03,19.9,0.83,1.33,6.04,0.0,6.89,66.93,6.91,0.0,34.11,279.87,2.0,111.07,,8.75,0.0,7.0,3.0,0.32,1.11,5017.0,66.93,7.78,190.6,3.7,,630.83,7.56,136.35,190.6,,190.6,,32.73,0.34,0.0,0.0,0.0,104.94,8.33,5.44,6.29,4776.0,531161.0___NA__
ABS Marine,-1.0,ABSMARINE,Shipping,355.0,871.54,35.93,0.0,,14.53,0.39,23.02,63.42,3.48,0.0,26.89,910.16,2.46,,,1.73,0.0,7.0,0.0,0.75,1.54,,63.42,25.39,86.58,1.92,,91.39,17.46,,86.58,,86.58,,,,,,,,10.57,5.5,9.9,,-1.0_ABSMARINE
ACC,500410.0,ACC,Cement - North India,2648.4,49733.6,23.11,0.29,3.05,9.82,0.02,14.15,56.69,5.61,0.0,29.59,48225.58,18.78,869.58,5.62,1.16,0.0,8.0,4.0,0.91,1.35,149893.0,56.69,17.39,15.13,3.08,,20.83,11.44,1560.22,11.59,120.89,15.13,117.35,12.33,6.17,-0.07,0.5,24.64,752.9,9.37,4.49,6.57,164547.0,500410.0_ACC
