Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization,join_key
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,379.4,3.7,-147.64,1.92,6.12,221.52,0.16,334.41,-95.73,-76.65,3347.37,3.7,221.52,2.19,1.07,0.02,1948.6,-0.37,0.18,1.06,4.14,529.75,39.63,0.78,33.78,45.07,72.02,0.55,-8.32,4.14,888.42,37.09,2.25,4.42,342.47,37.07,2.9,457.64,1748.2,526881.0_63MOONS
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,1.26,-1.81,-26.04,4.5,-7.92,,286.75,51.06,-47.37,28.71,1.26,-7.92,-19.21,-1.28,-4.75,33.93,-24.56,0.18,1.6,0.0,,-34.99,0.02,13.17,51.12,18.86,0.49,-0.24,0.0,,-5.12,2.1,,11.9,-5.13,2.58,-63.74,14.66,540615.0___NA__
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,9.55,-25.29,68.2,12.63,5.68,7.41,56.32,-22.22,5.32,10.17,9.55,5.68,89.47,-0.05,0.38,10.03,-65.54,0.04,0.69,0.0,16.74,0.72,0.01,100.0,0.0,173.74,1.0,-4.72,0.0,7.94,-16.06,12.58,1296.61,3.55,-16.02,20.09,536.43,112.65,540874.0___NA__
A B B,500002.0,ABB,Electric Equipment,8518.75,16.24,237.85,84.24,1.9,137.81,6.18,40.96,35.62,11.71,5944.6,16.24,137.81,89.56,0.04,0.04,5607.25,13.84,0.11,1.71,40.6,1122.58,2.32,0.02,87.27,7.4,121.41,0.93,19.37,40.6,658.67,133.57,23.27,3753.81,214.88,133.57,29.11,392.78,180519.46,500002.0_ABB
A B Infrabuild,-1.0,ABINFRA,Construction,55.0,1.49,-55.94,11.55,2.01,4.07,0.72,43.41,-37.0,-29.71,50.0,1.49,4.07,13.45,-0.03,1.88,117.09,-7.23,0.26,3.55,0.0,43.56,-7.17,0.01,71.16,17.92,116.79,0.82,6.36,0.0,29.13,27.89,19.97,78.49,16.05,27.92,5.47,42.82,273.6,-1.0_ABINFRA
A B M Internatl.,-1.0,ABMINTLLTD,Trading,61.99,0.62,-9.71,-16.12,1.27,-7.18,,17.65,90.23,-25.63,14.86,0.62,-7.18,-15.96,-0.14,-2.94,17.09,-27.86,1.95,2.5,0.0,,-42.49,0.07,62.02,23.23,97.74,0.77,-2.06,0.0,,-6.06,-17.05,,17.59,-6.06,5.47,-277.71,58.32,-1.0_ABMINTLLTD
A F Enterprises,538351.0,__NA__,Trading,10.91,4.71,-4.86,82.0,1.34,-3.06,,372.24,320.0,345.83,33.34,4.71,-3.06,-83.49,,-664.0,37.49,-25.03,0.21,4.31,,,-15.24,0.02,85.84,9.08,153.72,0.91,,,,-1334.66,2.36,,8.62,-1334.33,1.15,148.26,40.03,538351.0___NA__
A G Universal,-1.0,AGUL,Trading,64.4,0.45,-8.49,9.41,1.64,2.68,,18.49,66.67,-4.47,15.97,0.45,2.68,12.43,-0.21,8.06,22.92,-17.8,0.89,6.53,0.0,89.68,-43.56,0.0,34.92,46.31,86.13,0.54,12.61,0.0,50.02,-15.4,12.91,37.35,26.35,-15.35,3.91,,35.31,-1.0_AGUL
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,1.11,80.39,7.24,1.1,15.97,0.34,6.9,-23.64,7.46,38.97,1.11,15.97,11.34,0.18,0.84,46.22,3.73,0.18,1.65,0.0,151.43,-5.45,0.0,100.0,0.0,151.6,1.0,1.06,0.0,171.07,6.11,22.13,51.79,16.18,6.15,6.28,62.16,130.54,539300.0___NA__
A R C Finance,540135.0,__NA__,Finance & Investments,1.17,6.4,-8.83,113.44,5.94,5.11,11.06,227.38,177.78,1321.82,51.18,6.4,5.11,162.76,-0.46,59.56,22.38,-10.01,0.32,1.39,0.0,0.52,-26.68,0.01,75.64,13.97,101.72,0.86,-1.26,0.0,0.35,-95.28,1.36,251.63,0.42,-95.32,2.83,844.29,59.1,540135.0___NA__
A-1 Acid,542012.0,__NA__,Trading,346.0,1.93,62.63,66.34,3.48,3.25,-15.41,18.84,257.14,52.79,47.77,1.93,3.25,162.76,0.05,9.76,52.22,10.49,0.24,1.37,156.82,21.9,-1.16,0.01,35.27,21.35,17.37,0.79,4.79,156.82,29.9,36.81,9.72,3013.29,33.77,36.81,15.19,530.55,397.91,542012.0___NA__
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1051.0,1.34,8.16,10.45,4.13,1.63,1.49,55.95,51.05,11.31,919.07,1.34,1.63,10.73,1.03,29.77,371.13,2.53,3.0,3.77,5.76,1991.23,-392.7,0.05,81.26,10.93,113.84,0.89,0.24,5.76,2086.56,2.04,8.91,5.67,439.55,2.04,1.13,23.16,693.66,530499.0___NA__
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.67,0.98,6.01,-11.35,0.72,-8.99,,7.54,75.14,3.73,32.18,0.98,-8.99,-10.3,-0.16,-26.9,162.34,22.63,16.53,26.01,0.0,,-138.83,0.02,83.67,11.98,230.84,0.88,0.96,0.0,,4.0,-11.33,,1.66,4.0,1.31,-18.71,381.65,533292.0_A2ZINFRA
AA Plus Trade,543319.0,__NA__,Trading,20.0,2.44,-17.46,65.59,2.0,,2.32,73.83,-11.11,22.41,13.44,2.44,,68.29,-0.17,2.61,14.76,-18.68,0.1,1.19,0.0,6.22,-2.65,0.0,72.07,17.42,119.54,0.83,-1.78,0.0,5.07,-270.0,3.15,334.15,6.06,-270.28,5.1,486.5,48.65,543319.0___NA__
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,109.05,5.88,28.2,23.13,19.53,,4.7,111.39,-92.47,70.6,27.96,5.88,,27.76,0.19,0.0,27.92,18.56,0.04,1.02,19.98,73.6,13.91,0.12,60.43,25.82,113.41,0.74,5.4,19.98,35.03,18.08,15.4,218.34,20.7,18.12,11.32,1271.55,139.87,543671.0_AAATECH
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,416.95,6.87,-11.78,15.49,2.39,1.97,0.69,35.3,-1.23,2.78,4449.75,6.87,1.97,15.66,-0.97,18.62,992.85,-8.81,,4.01,0.0,,-71.39,0.09,88.96,3.58,42.79,0.96,-0.88,0.0,,-7.32,10.5,,21.41,-7.32,2.35,88.14,17783.68,544176.0_AADHARHFC
Aadi Industries,530027.0,__NA__,Plastics Products,6.86,,-55.62,-151.11,0.03,,,,260.0,,-6.69,,,-136.0,-1.02,-75.89,0.14,-50.34,-3.17,-0.05,0.0,,-307.58,0.02,65.37,22.92,127.91,0.77,-6.69,0.0,,76.22,-52.89,,0.13,76.22,7.56,85.75,6.86,530027.0___NA__
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,1.55,895.62,9.07,1.21,5.71,1.72,19.38,756.1,41.7,58.53,1.55,5.71,15.81,0.23,2.92,76.9,0.21,0.4,1.51,0.0,13.59,-15.6,0.01,87.22,8.05,148.42,0.92,0.82,0.0,8.93,14.04,13.31,56.57,1.77,14.04,4.89,40.85,143.37,-1.0_AAKASH
Aananda Lakshmi,539096.0,__NA__,Construction,14.58,2.43,0.95,4.45,1.29,,0.02,119.52,-155.87,-91.55,-18.44,2.43,,4.45,-4.12,5.24,4.31,188.02,-3.44,-0.64,0.0,,-1243.33,0.01,28.76,55.08,98.1,0.45,4.53,0.0,,1.47,74.92,,7.17,1.47,0.53,11.09,5.1,539096.0___NA__
Aanchal Ispat,538812.0,__NA__,Steel - Medium / Small,6.14,0.12,4.24,-26.7,0.82,-1.15,,60.86,159.02,465.99,16.82,0.12,-1.15,-22.53,-6.6,-13.46,91.62,2.95,5.64,6.79,0.0,,-695.55,0.25,9.34,67.77,27.65,0.32,-0.48,0.0,,2.04,-7.82,,31.84,2.03,1.88,10.58,12.8,538812.0___NA__
Aarey Drugs,524412.0,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,46.24,0.3,-48.14,12.88,1.68,4.14,-3.88,36.02,12.57,175.04,132.77,0.3,4.14,20.9,-0.22,6.7,157.15,-1.54,0.24,2.25,0.0,27.77,-25.35,0.01,42.81,32.0,54.39,0.68,9.43,0.0,46.58,-45.52,6.96,22.08,56.1,-45.5,3.16,54.6,117.38,524412.0_AAREYDRUGS
Aarnav Fashions,539562.0,__NA__,Textiles - Products,47.85,0.57,6.97,11.2,1.49,1.62,0.36,48.37,61.76,24.38,178.97,0.57,1.62,15.57,-0.4,19.44,302.65,9.86,0.62,2.26,0.0,85.2,-53.29,0.02,86.43,7.09,94.51,0.93,4.44,0.0,35.62,6.37,6.15,40.29,40.86,6.37,3.08,91.87,202.12,539562.0___NA__
Aaron Industries,-1.0,AARON,Engineering,261.8,4.34,-27.8,26.93,1.47,7.34,1.0,27.44,94.17,30.51,35.84,4.34,7.34,30.81,-0.07,4.99,68.6,-19.92,0.88,1.58,16.54,134.18,-10.62,0.01,40.87,19.79,20.56,0.8,7.07,16.54,68.22,49.09,24.11,331.83,16.52,48.96,8.11,117.67,274.18,-1.0_AARON
Aartech Solonics,542580.0,AARTECH,Electric Equipment,200.4,6.48,-346.34,59.14,2.7,6.49,5.17,70.59,-164.41,35.97,29.53,6.48,6.49,70.19,0.06,3.18,27.69,-1.88,0.26,1.32,0.0,41.0,-2.51,0.01,62.21,24.21,110.84,0.76,-103.52,0.0,27.75,142.57,8.25,1173.77,21.8,142.43,10.98,-558.47,212.22,542580.0_AARTECH
Aarti Drugs,524348.0,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,523.1,1.9,694.69,16.74,1.66,8.03,1.94,32.16,28.87,2.32,1281.55,1.9,8.03,19.94,0.01,3.29,1885.18,0.38,0.59,1.89,5.36,400.05,-15.52,0.0,43.15,18.99,21.65,0.81,1.98,5.36,241.83,13.39,16.96,104.83,88.49,13.4,5.71,101.65,4809.1,524348.0_AARTIDRUGS
Aarti Industries,524208.0,AARTIIND,Chemicals,693.5,3.95,-98.86,28.71,0.96,2.87,-18.65,24.5,6.45,2.37,5290.0,3.95,2.87,46.62,0.0,7.79,8439.0,-3.11,0.7,1.72,8.7,180.83,-14.21,0.01,77.07,9.88,58.33,0.9,2.01,8.7,194.11,20.88,13.24,287.04,43.06,20.88,6.02,190.45,25139.69,524208.0_AARTIIND
Aarti Pharma,543748.0,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,608.0,2.97,-690.29,14.76,1.94,18.46,,49.65,23.67,12.72,1757.04,2.97,18.46,18.17,,1.32,2090.05,-0.42,0.16,1.37,12.53,283.98,-4.74,0.0,86.47,6.89,89.82,0.93,,12.53,323.12,25.46,17.38,79.79,101.52,25.47,5.92,84.45,5510.05,543748.0_AARTIPHARM
Aarti Surfactant,543210.0,AARTISURF,Chemicals,682.35,0.98,31.59,10.61,1.54,3.36,0.64,20.31,-16.32,14.27,219.25,0.98,3.36,14.21,0.01,4.45,332.0,5.59,0.5,1.88,0.0,550.68,-18.12,0.01,44.84,20.12,25.74,0.8,1.5,0.0,391.86,11.15,10.61,67.86,140.94,11.1,5.01,103.25,577.17,543210.0_AARTISURF
Aarvee Denims,514274.0,AARVEEDEN,Textiles - Cotton/Blended,28.21,0.78,0.9,-13.88,1.02,-0.99,,165.64,2.12,-6.07,17.2,0.78,-0.99,-9.41,-1.61,-6.22,212.73,19.6,17.85,28.09,0.0,,-461.14,0.07,38.94,34.58,50.86,0.65,0.1,0.0,,0.6,-8.72,,59.72,0.6,0.6,-10.24,66.18,514274.0_AARVEEDEN
Aarvi Encon,-1.0,AARVI,Miscellaneous,139.02,0.51,-88.69,12.94,2.56,9.23,2.7,22.59,27.73,3.23,116.7,0.51,9.23,14.15,0.12,0.86,101.39,-1.95,0.22,1.41,26.07,93.89,-0.9,0.07,36.56,24.55,23.08,0.75,4.95,26.07,116.72,65.53,14.41,32.07,61.99,65.46,6.16,67.61,205.54,-1.0_AARVI
Aashka Hospitals,543346.0,__NA__,Healthcare,117.15,11.99,-16.5,33.74,0.65,1.98,9.97,27.9,359.52,11.76,96.28,11.99,1.98,50.87,-0.14,8.64,49.61,-13.5,0.21,1.36,0.0,18.22,-6.32,0.01,100.0,0.0,171.43,1.0,-3.25,0.0,30.56,24.35,3.82,329.84,2.73,24.34,5.13,,274.12,543346.0___NA__
AastamangalamFin,511764.0,__NA__,Finance & Investments,44.23,5.61,-2.37,11.42,2.57,4.01,0.21,58.04,-9.16,-2.21,37.68,5.61,4.01,11.46,-1.69,11.17,4.11,-24.18,1.07,1.87,0.0,130.72,-86.5,0.3,41.16,25.66,31.83,0.74,-0.3,0.0,62.01,-1.65,6.51,11.5,4.58,-1.65,1.85,33.12,39.41,511764.0___NA__
Aatmaj Health,-1.0,AATMAJ,Healthcare,26.25,3.77,-35.38,15.88,6.42,2.07,,238.88,-161.57,-16.34,46.28,3.77,2.07,20.85,0.04,6.23,55.78,-6.48,0.11,2.19,0.0,35.93,-8.7,0.01,3.57,56.25,5.0,0.44,1.91,0.0,13.85,-7.41,41.39,80.9,16.64,-7.41,3.97,,59.33,-1.0_AATMAJ
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1870.0,7.34,-8.67,17.1,9.09,1.75,1.32,96.52,22.26,7.48,3773.32,7.34,1.75,17.48,-1.01,25.27,2074.57,-11.63,3.29,3.97,0.0,1125.6,-71.63,0.11,83.79,5.51,43.08,0.94,-0.81,0.0,815.57,-7.45,9.64,117.89,246.19,-7.45,2.31,103.77,14799.12,541988.0_AAVAS
Aayush Food&Herb,539528.0,__NA__,Trading,299.0,161.7,144.97,164.36,5.6,,-166.88,76.67,466.67,,4.92,161.7,,164.36,-0.01,0.0,0.47,14.15,0.0,0.97,0.0,14.6,0.05,0.0,94.89,4.76,1316.39,0.95,-18.31,0.0,24.48,-167.86,-2.37,3355.04,1.44,-170.21,32.91,570.71,97.02,539528.0___NA__
AB Cotspin,-1.0,ABCOTS,Textiles - Cotton/Blended,259.0,1.04,-7.92,14.04,1.45,1.9,1.0,44.27,138.38,30.38,68.47,1.04,1.9,21.82,-0.53,18.16,185.31,-23.95,1.81,3.51,0.0,142.14,-46.24,0.0,63.29,32.9,547.5,0.67,-3.01,0.0,98.71,-8.29,12.01,154.78,109.93,-8.28,4.91,80.29,266.57,-1.0_ABCOTS
Aban Offshore,523204.0,ABAN,Oil Drilling / Allied Services,65.5,0.96,0.95,-147.12,0.02,-0.19,,-2380.11,-4.09,45.79,-23871.92,0.96,-0.19,-76.89,-40.96,-11.62,-8843.49,-5.11,-0.7,-0.07,0.0,,-4380.29,0.25,48.67,29.95,68.16,0.7,-0.23,0.0,,-5.29,0.0,,-1628.86,-5.28,-29.37,-1.12,382.29,523204.0_ABAN
ABans Enterprise,512165.0,__NA__,Trading,132.2,0.1,6.2,9.3,1.69,2.75,,16.31,-128.31,15.88,185.53,0.1,2.75,9.77,-0.12,15.9,292.26,9.62,1.04,2.03,0.0,108.27,-94.95,0.08,23.48,33.9,18.67,0.66,-97.06,0.0,141.09,3.11,10.97,19.67,207.81,3.13,6.25,-139.71,184.42,512165.0___NA__
Abans Holdings,543712.0,AHL,Finance & Investments,490.05,1.78,16.53,20.38,1.6,2.95,1.64,125.73,-11.24,-50.15,930.83,1.78,2.95,20.46,0.28,10.41,1753.64,9.03,1.13,2.56,0.0,169.56,-31.05,0.13,95.96,1.98,92.33,0.98,1.87,0.0,260.95,55.07,9.18,79.63,345.91,55.12,3.17,126.09,2457.4,543712.0_AHL
Abate As Indust,531658.0,__NA__,Trading,28.7,,126.62,-17.09,0.19,,,,-700.0,,-0.9,,,-17.09,-0.08,-1.34,0.22,23.86,-1.36,-0.53,0.0,,-7.91,0.01,100.0,0.0,54.97,1.0,96.07,0.0,,17.29,-103.09,,0.44,17.36,57.75,-90.06,14.41,531658.0___NA__
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,27674.35,10.05,60.11,33.36,2.42,130.94,2.22,33.33,-7.69,0.1,3698.89,10.05,130.94,34.82,0.08,0.07,2184.64,27.56,0.05,1.32,72.53,8222.36,3.34,0.03,74.59,6.63,26.32,0.93,5.34,72.53,4705.37,48.37,41.84,778.31,919.62,48.49,21.73,204.86,58808.0,500488.0_ABBOTINDIA
ABC Gas (Int.),513119.0,__NA__,Trading,91.58,1813.0,14.24,-27.23,57.29,-56.0,,39400.0,415.0,-100.0,3.96,1813.0,-56.0,-25.77,0.13,0.0,3.96,31.08,0.06,1.1,0.0,13.03,19.03,0.1,100.0,0.0,154.39,1.0,-3.49,0.0,21.85,5.72,-20.8,,19.7,5.67,9.29,-100.72,18.13,513119.0___NA__
ABC India,520123.0,__NA__,Miscellaneous,112.3,0.37,31.1,12.27,1.62,2.34,-1.8,27.06,-75.76,-6.83,45.2,0.37,2.34,15.15,0.35,9.06,56.27,3.04,0.59,2.06,11.89,73.72,-39.06,0.05,39.29,30.11,38.64,0.7,1.1,11.89,88.89,8.03,8.37,37.6,82.48,8.06,4.01,405.53,60.83,520123.0___NA__
Abhinav Capital,532057.0,__NA__,Finance & Investments,207.7,9.41,14.44,9.16,3.25,4.27,0.54,799.02,-49.38,-31.04,77.06,9.41,4.27,9.16,0.62,4.05,122.19,11.35,0.49,1.22,0.0,244.93,9.41,0.21,79.45,13.1,139.56,0.87,1.3,0.0,182.99,4.09,18.21,29.06,177.06,4.11,4.47,175.4,143.83,532057.0___NA__
Abhinav Leasing,538952.0,__NA__,Finance & Investments,2.76,0.41,-6.54,20.4,1.15,1.13,1.35,3.91,-305.88,103.1,5.85,0.41,1.13,20.8,-1.95,176.76,1.42,-10.17,5.14,9.21,0.0,2.14,-207.46,0.06,63.68,22.69,105.97,0.77,3.45,0.0,0.95,-0.76,24.44,194.0,0.26,-0.76,1.62,-13.14,13.8,538952.0___NA__
Abhishek Finle.,538935.0,__NA__,Finance & Investments,37.0,16.61,49.21,45.97,7.3,,1.91,245.26,-128.57,-18.52,4.42,16.61,,51.07,0.17,0.06,2.4,7.42,0.0,1.07,0.0,13.48,12.61,0.12,71.18,15.37,81.37,0.85,7.89,0.0,9.64,37.88,4.56,268.25,5.42,37.57,7.5,789.0,15.78,538935.0___NA__
Abhishek Infra.,539544.0,__NA__,Construction,7.14,,-7.76,-18.19,2.94,,,,-40.0,,4.08,,,-18.19,,-4.65,4.83,-8.6,0.3,1.93,0.0,,-31.39,0.15,50.87,28.46,70.0,0.72,,0.0,,-7.6,-4.86,,9.66,-7.66,2.11,-51.43,3.6,539544.0___NA__
Abhishek Integr.,-1.0,AILIMITED,Construction,69.45,1.64,-26.83,24.4,2.37,2.32,,46.17,85.19,34.35,6.22,1.64,2.32,26.17,,7.3,13.9,-12.37,0.84,1.68,0.0,55.67,-17.84,0.01,100.0,0.0,177.8,1.0,,0.0,21.0,56.31,12.65,246.57,19.58,56.51,7.44,,41.82,-1.0_AILIMITED
Abirami Fin.,511756.0,__NA__,Finance & Investments,58.2,,6.01,11.32,44.78,110.0,0.16,,-72.53,,20.61,,110.0,11.42,0.53,0.0,19.71,24.37,0.0,1.15,0.0,,60.04,0.63,58.41,31.55,183.35,0.68,-2.47,0.0,48.02,-65.48,42.1,32.95,36.48,-65.48,5.05,125.72,31.43,511756.0___NA__
ABM Knowledge,531161.0,__NA__,Computers - Software - Medium / Small,146.4,3.72,95.69,13.62,8.75,73.65,-16.82,193.38,126.36,27.06,222.16,3.72,73.65,14.45,0.51,0.0,193.91,1.42,0.31,1.11,16.8,150.53,-17.68,0.05,75.23,12.18,72.74,0.88,3.32,16.8,136.35,92.66,9.15,25.98,76.05,92.67,4.36,50.14,292.83,531161.0___NA__
ABS Marine,-1.0,ABSMARINE,Shipping,356.75,6.48,78.22,19.98,1.73,6.67,,30.26,,,117.17,6.48,6.67,28.34,,1.8,122.7,6.96,,1.54,0.0,,-4.54,0.01,80.95,9.91,87.76,0.9,,0.0,,75.92,11.24,,16.63,75.76,10.04,,875.84,-1.0_ABSMARINE
ACC,500410.0,ACC,Cement - North India,2647.55,2.49,1328.73,13.55,1.47,17.31,3.19,15.04,75.73,10.06,16329.67,2.49,17.31,18.02,0.16,0.15,14012.75,0.24,0.23,1.35,6.03,1376.51,-3.94,0.02,88.73,4.07,50.2,0.96,2.19,6.03,1560.22,16.6,15.28,70.46,159.83,16.6,5.76,68.06,49717.64,500410.0_ACC
Accedere,531533.0,__NA__,Computers - Software - Medium / Small,85.5,16.8,246.63,292.29,7.04,-7.0,,135.55,-200.0,-19.39,4.05,16.8,-7.0,-584.57,0.08,-3.0,3.94,3.9,0.07,1.16,0.0,,4.86,0.05,76.58,11.44,73.08,0.89,7.78,0.0,,194.32,-1.67,,6.94,195.5,17.34,-2150.5,43.01,531533.0___NA__
Accel,517494.0,__NA__,Computers - Software - Medium / Small,22.44,0.77,15.24,10.19,1.02,1.68,1.5,12.93,-25.22,20.14,65.3,0.77,1.68,15.96,-0.24,22.45,113.88,6.3,1.25,2.85,49.76,24.32,-55.67,0.05,38.87,36.75,58.59,0.63,1.13,49.76,12.4,5.51,9.0,70.49,3.75,5.51,2.82,112.33,129.18,517494.0___NA__
AccelerateBS Ind,543938.0,__NA__,Computers - Software - Medium / Small,339.0,10.74,,36.87,31.29,89.0,,62.54,205.36,50.18,3.72,10.74,89.0,39.98,,18.0,4.64,,0.14,1.33,0.0,47.46,0.41,0.01,77.68,16.29,209.59,0.84,,0.0,7.56,-63.0,70.92,11309.34,20.19,-64.47,28.76,,72.85,543938.0___NA__
Accelya Solution,532268.0,ACCELYA,Computers - Software - Medium / Small,1744.9,5.15,26.3,12.45,3.63,121.64,3.89,39.23,-99.35,5.0,288.94,5.15,121.64,14.68,0.16,0.09,282.13,34.54,0.06,1.34,76.58,1240.16,1.44,0.02,54.81,18.01,36.32,0.82,1.87,76.58,525.87,19.48,38.52,200.93,133.11,19.52,15.91,119.01,2605.14,532268.0_ACCELYA
Accent Microcell,-1.0,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.0,2.43,143.14,12.48,4.32,33.63,,55.75,13.97,26.83,155.73,2.43,33.63,13.91,0.02,0.42,167.77,6.22,0.08,2.58,6.97,361.18,-1.8,0.0,42.86,21.98,26.79,0.78,6.63,6.97,158.48,196.83,35.39,70.18,65.18,197.23,8.36,84.65,597.62,-1.0_ACCENTMIC
