Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization,join_key
A-1 Acid,542012.0,__NA__,Trading,346.0,10.81,10.29,-2.82,-5.83,2.15,0.06,6.64,15.69,18.74,-3.52,-15.25,-0.04,0.1,3.31,19.06,16.68,6.33,,29.35,33.2,29.99,,,-28.37,-21.35,-15.43,0.47,0.44,0.84,397.91,542012.0___NA__
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1051.0,339.91,339.32,-735.45,392.52,-3.02,27.73,29.93,38.54,44.62,-230.44,177.35,-8.48,36.21,34.17,255.09,1130.83,1491.94,619.19,265.96,1141.09,1511.45,649.19,-1597.28,-1320.26,-1314.16,-1183.6,17.48,16.62,9.74,693.66,530499.0___NA__
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.67,95.33,84.67,-10.53,-94.0,-9.2,10.64,2.86,52.91,58.24,-10.15,-46.56,1.52,9.12,12.06,190.45,149.84,259.98,365.45,191.71,158.58,277.35,378.87,61.92,30.92,22.04,4.23,15.08,14.05,75.03,381.65,533292.0_A2ZINFRA
AA Plus Trade,543319.0,__NA__,Trading,20.0,-0.18,-0.23,0.9,-0.63,0.09,0.04,0.04,1.13,1.13,0.0,-1.42,-0.3,0.34,0.04,-8.35,-10.98,,,-8.3,-10.93,,,,,3.28,1.73,0.02,0.01,,48.65,543319.0___NA__
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,110.9,7.72,7.46,-6.47,-0.64,0.61,1.88,20.51,3.59,4.89,-8.28,-0.43,-3.81,5.69,12.84,14.85,8.6,9.58,9.58,16.48,10.36,12.25,12.25,-14.4,-14.4,-13.8,-13.87,5.66,1.42,0.67,142.24,543671.0_AAATECH
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,416.7,-2428.84,-2444.08,601.87,1778.09,-48.88,405.14,1273.43,-1165.76,-1155.69,-476.53,1463.19,-169.03,574.17,1918.0,-4528.34,-8101.77,,,-4491.28,-8056.23,,,,,-1027.7,947.91,2171.28,1053.93,,17773.02,544176.0_AADHARHFC
Aadi Industries,530027.0,__NA__,Plastics Products,6.86,0.09,0.09,0.0,-0.12,-0.03,0.12,0.09,-0.08,-0.07,-0.01,0.05,-0.03,0.15,0.12,-0.37,-0.45,2.96,3.58,-0.35,-0.41,3.0,2.87,0.71,-0.04,-0.04,-0.02,0.16,0.12,0.01,6.86,530027.0___NA__
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,10.21,6.69,-10.39,-0.25,-0.42,1.26,0.83,-5.61,18.5,-24.03,6.45,0.92,0.34,1.26,0.48,16.96,4.3,,38.44,70.35,84.68,,,-76.32,-59.55,-41.55,1.23,0.61,3.04,143.37,-1.0_AAKASH
Aananda Lakshmi,539096.0,__NA__,Construction,14.58,3.48,4.66,1.19,-4.66,0.0,0.05,0.06,7.22,7.17,-0.51,-6.63,0.02,0.03,0.05,16.16,11.71,15.57,17.68,12.98,0.45,3.96,5.6,14.68,13.56,13.08,2.67,0.16,2.38,0.13,5.1,539096.0___NA__
Aanchal Ispat,538812.0,__NA__,Steel - Medium / Small,6.14,6.3,6.23,-0.07,-0.3,5.93,0.2,6.13,2.04,2.2,-0.15,-4.67,-2.63,1.69,0.2,9.08,-12.95,-7.6,-16.7,10.7,-10.73,-2.81,-8.94,-5.61,-3.65,-2.21,-1.61,0.34,8.89,6.28,12.8,538812.0___NA__
Aarey Drugs,524412.0,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,-2.58,-3.3,-1.7,5.17,0.89,0.71,1.59,-2.32,-1.28,0.44,1.35,0.51,0.19,0.71,-7.32,-2.78,-24.29,-24.71,-3.36,4.98,-14.68,-5.15,-20.07,-10.1,-8.27,-4.47,0.65,0.37,1.04,115.88,524412.0_AAREYDRUGS
Aarnav Fashions,539562.0,__NA__,Textiles - Products,47.8,31.71,31.45,-4.8,-26.87,0.04,0.33,3.94,40.57,44.01,-3.37,-42.3,-1.66,1.99,4.81,86.95,-135.55,-135.6,-138.62,91.01,18.2,18.15,15.13,-169.11,-169.1,-169.37,-8.68,4.52,0.06,0.01,201.91,539562.0___NA__
Aaron Industries,-1.0,AARON,Engineering,263.2,5.6,-27.74,-33.26,27.69,0.04,0.05,2.56,0.0,4.07,-4.84,0.78,0.01,0.03,0.94,-29.66,-31.12,-40.63,,10.84,15.51,14.89,,,-56.18,-46.96,-41.18,0.11,0.38,0.02,275.65,-1.0_AARON
Aartech Solonics,542580.0,AARTECH,Electric Equipment,200.4,1.49,0.85,-0.93,0.4,0.97,1.37,2.34,-4.14,-3.62,4.33,-0.53,0.19,1.2,1.39,-1.84,-2.75,-5.98,,-0.47,-0.82,-2.18,,,-6.62,0.58,2.13,1.05,4.2,,212.22,542580.0_AARTECH
Aarti Drugs,524348.0,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,525.5,358.92,132.77,-223.65,-136.03,-0.76,7.5,9.43,-30.47,134.2,-163.97,16.54,-13.23,21.61,8.96,20.76,311.97,387.23,486.12,563.53,969.22,1182.08,1594.72,-1090.24,-777.46,-642.25,-537.26,9.78,5.55,4.17,4831.16,524348.0_AARTIDRUGS
Aarti Industries,524208.0,AARTIIND,Chemicals,694.25,1204.0,-100.0,-1310.0,35.0,-71.0,201.0,130.0,-16.5,1309.8,-1329.78,47.15,27.17,173.56,200.73,-762.85,-1227.97,-1561.93,-1453.19,3032.45,5007.22,6078.32,7461.47,-8941.28,-7662.79,-6255.41,-3809.21,412.32,804.2,28.5,25166.87,524208.0_AARTIIND
Aarti Pharma,543748.0,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,608.0,216.36,17.57,-214.57,9.72,11.51,12.12,24.06,143.34,263.0,-157.8,-163.47,-58.27,83.27,25.0,-23.94,,,,435.66,,,,,,,-511.11,0.25,,,5510.05,543748.0_AARTIPHARM
Aarti Surfactant,543210.0,AARTISURF,Chemicals,682.35,52.0,35.91,-16.46,-37.01,-1.47,7.62,6.22,13.88,24.59,8.7,-27.02,6.28,1.41,7.68,55.08,23.53,,,99.95,153.56,,,,,-92.98,-30.36,6.73,0.02,,577.17,543210.0_AARTISURF
Aarvee Denims,514274.0,AARVEEDEN,Textiles - Cotton/Blended,28.21,109.93,109.93,45.66,-155.53,0.06,0.16,2.22,52.53,39.65,12.93,-62.28,-9.7,9.86,6.88,221.36,334.3,346.95,487.64,162.1,272.1,360.44,592.54,-51.76,46.94,119.03,105.3,19.9,17.54,18.72,66.18,514274.0_AARVEEDEN
Aarvi Encon,-1.0,AARVI,Miscellaneous,139.27,3.14,2.37,1.15,2.01,6.3,4.39,23.33,2.03,3.21,-0.12,-3.77,-0.68,5.07,6.67,-6.96,12.99,-3.56,-0.15,-4.06,16.61,5.1,9.98,2.07,2.54,2.74,1.14,20.59,4.79,6.65,205.91,-1.0_AARVI
Aashka Hospitals,543346.0,__NA__,Healthcare,117.15,11.26,10.63,-0.63,-11.7,-1.08,3.06,3.06,4.02,4.09,-0.07,-2.03,1.99,1.07,3.06,-49.85,-44.53,,,-47.28,-33.74,,,,,-10.79,-2.57,2.93,1.41,,274.12,543346.0___NA__
AastamangalamFin,511764.0,__NA__,Finance & Investments,44.23,-23.86,-23.86,0.0,12.98,-10.88,17.08,6.2,-25.98,-25.98,0.0,42.99,17.01,0.07,17.08,-49.91,-52.6,-62.69,-60.9,-49.84,-52.53,-62.61,-60.82,6.84,8.67,-0.07,-0.07,0.14,2.83,0.02,39.41,511764.0___NA__
Aatmaj Health,-1.0,AATMAJ,Healthcare,26.25,-8.01,-15.83,-7.82,26.32,10.49,0.32,0.32,4.35,5.33,-1.42,-3.78,0.14,0.18,0.32,-5.03,-0.21,,,6.87,12.44,,,,,-13.5,-12.61,0.55,,,59.33,-1.0_AATMAJ
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1870.35,-1986.59,-2017.99,-646.8,2477.28,-156.11,176.67,1797.82,-1948.64,-1910.2,186.31,1858.26,134.36,42.31,1381.63,-5117.78,-7388.12,-9625.06,,-5032.7,-7275.66,-9484.65,,,-2079.34,-1534.56,-927.6,1120.96,679.15,275.77,14801.89,541988.0_AAVAS
Aayush Food&Herb,539528.0,__NA__,Trading,299.0,-0.57,-0.57,0.0,0.0,-0.57,0.62,0.05,4.8,4.62,0.18,-4.95,-0.15,0.77,0.62,1.98,-1.72,0.81,-3.7,1.36,-2.12,1.17,-3.34,-0.36,-0.36,0.4,0.62,0.27,2.6,0.19,97.02,539528.0___NA__
AB Cotspin,-1.0,ABCOTS,Textiles - Cotton/Blended,259.0,-32.18,-36.75,-3.16,35.26,-0.08,0.1,0.69,-64.32,-23.7,-41.15,64.3,-0.56,0.66,0.69,-101.09,-100.02,-84.73,,-42.31,-35.42,-19.13,,,-66.26,-65.31,-59.46,0.08,0.67,0.13,266.57,-1.0_ABCOTS
Aban Offshore,523204.0,ABAN,Oil Drilling / Allied Services,65.5,-72.34,-88.78,-11.04,-21.61,-104.99,148.5,43.51,1525.56,130.47,1399.64,-1469.51,60.6,87.9,148.5,1205.14,278.43,-60.78,1311.68,-375.57,-672.69,701.54,3139.31,-2196.34,-687.49,970.45,1595.03,74.07,71.7,94.31,382.29,523204.0_ABAN
ABans Enterprise,512165.0,__NA__,Trading,132.2,59.01,56.96,-110.73,53.16,1.44,8.42,16.58,-25.29,-25.11,27.32,-44.08,-41.88,55.2,13.33,88.98,-21.21,,,97.28,-0.76,,,,,-47.33,-125.37,18.15,,,184.42,512165.0___NA__
Abans Holdings,543712.0,AHL,Finance & Investments,486.05,44.58,43.8,-447.26,402.68,-0.01,232.01,288.76,252.88,253.16,-462.13,417.78,208.8,141.81,350.61,445.55,521.18,,,446.65,527.0,,,,,-1012.35,-944.04,208.57,108.45,,2437.34,543712.0_AHL
Abate As Indust,531658.0,__NA__,Trading,28.7,0.83,0.83,0.0,0.6,1.43,0.14,0.08,-0.41,-0.41,0.0,0.4,-0.01,0.15,0.14,0.34,0.06,0.04,-0.97,0.34,0.06,0.06,-0.95,1.06,0.03,0.05,0.05,0.08,0.1,0.14,14.41,531658.0___NA__
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,27674.35,1212.81,1164.68,-416.03,-744.71,52.07,239.67,2134.49,859.76,893.39,-147.71,-638.72,106.96,132.71,1937.06,2928.26,4242.37,4925.99,5637.97,3053.86,4406.71,5058.54,5829.22,-2323.75,-1904.43,-1432.59,-959.58,2409.04,1684.28,1090.92,58808.0,500488.0_ABBOTINDIA
ABC Gas (Int.),513119.0,__NA__,Trading,91.58,3.2,3.34,1.05,-0.59,3.66,0.03,3.7,-0.61,-6.14,5.66,0.45,-0.03,0.06,0.03,3.86,3.56,3.39,2.93,-1.81,-2.08,-2.25,-2.63,8.19,7.72,6.88,7.08,0.09,0.06,0.05,18.13,513119.0___NA__
ABC India,520123.0,__NA__,Miscellaneous,112.3,7.55,1.21,-5.47,-2.58,-0.5,3.36,2.86,4.21,0.03,2.66,-1.54,1.15,1.53,2.67,5.85,21.93,48.3,91.71,5.01,22.06,34.48,43.69,33.13,0.92,-9.47,0.77,1.86,2.59,3.01,60.83,520123.0___NA__
Abhinav Capital,532057.0,__NA__,Finance & Investments,207.75,35.02,35.02,5.59,0.0,40.61,10.53,51.14,9.31,9.31,0.32,0.0,9.63,0.9,10.53,29.78,44.14,36.68,35.73,29.78,44.14,36.68,35.73,15.35,14.22,6.96,21.18,0.18,0.02,0.22,143.86,532057.0___NA__
Abhinav Leasing,538952.0,__NA__,Finance & Investments,2.7,-18.15,-18.15,19.21,0.0,1.06,0.36,1.42,-7.06,-7.06,-23.34,30.05,-0.35,0.71,0.36,-6.33,1.39,0.47,12.97,-6.12,1.6,0.68,12.99,-29.47,-29.31,-30.46,-23.24,0.73,0.24,0.01,13.5,538952.0___NA__
Abhishek Finle.,538935.0,__NA__,Finance & Investments,37.0,0.42,0.42,0.0,-0.07,0.36,1.64,2.0,0.26,0.35,-0.09,0.04,0.3,1.34,1.64,0.97,0.7,0.87,1.15,1.07,0.8,0.98,1.41,0.19,0.32,0.21,-0.1,1.11,1.01,0.71,15.78,538935.0___NA__
Abhishek Infra.,539544.0,__NA__,Construction,7.14,-0.47,-0.47,-0.6,0.13,-0.94,1.02,0.08,-1.06,-1.06,0.0,1.96,0.9,0.13,1.02,-1.38,,,,-1.38,,,,,,,-0.6,0.0,,,3.6,539544.0___NA__
Abhishek Integr.,-1.0,AILIMITED,Construction,69.45,0.74,0.11,0.45,-0.89,0.3,0.29,0.29,-2.21,-2.03,0.83,1.27,0.06,0.23,0.29,-4.66,,,,-2.4,,,,,,,-1.56,0.25,0.01,,41.82,-1.0_AILIMITED
Abirami Fin.,511756.0,__NA__,Finance & Investments,58.2,-0.48,-0.48,1.53,-3.18,-2.13,21.0,18.87,16.29,-4.69,20.74,0.0,16.05,4.91,20.96,15.7,15.88,17.54,20.99,-5.26,-5.09,-3.42,0.06,18.39,21.32,21.88,22.31,4.95,4.58,0.27,31.43,511756.0___NA__
ABM Knowledge,531161.0,__NA__,Computers - Software - Medium / Small,148.0,3.16,3.14,-0.22,-2.76,0.18,6.6,16.16,3.28,3.43,-14.1,-2.76,-13.43,20.03,15.4,9.18,33.37,67.69,116.33,10.62,35.24,70.7,122.7,-86.46,-75.1,-43.48,-28.09,52.2,34.69,46.5,296.03,531161.0___NA__
ABS Marine,-1.0,ABSMARINE,Shipping,355.0,11.56,0.91,-15.18,-7.82,-11.44,12.8,7.06,-3.09,4.65,19.41,-17.23,6.83,5.97,18.25,33.66,,,,31.39,,,,,,,18.93,20.76,,,871.54,-1.0_ABSMARINE
ACC,500410.0,ACC,Cement - North India,2649.0,2995.11,1646.16,-1204.64,-443.15,1347.32,256.63,1862.87,-3216.05,-1235.08,-4637.17,-1237.71,-7109.96,7366.59,414.71,112.26,3343.4,4997.85,5972.3,4595.52,9069.42,11741.41,15939.75,-11322.05,-8427.95,-7685.78,-6829.55,6005.7,3096.98,1977.16,49744.87,500410.0_ACC
Accedere,531533.0,__NA__,Computers - Software - Medium / Small,85.5,0.22,0.08,-0.03,0.02,0.21,2.15,2.36,0.24,0.5,-0.2,0.24,0.53,1.62,2.15,0.52,1.26,,,1.24,2.21,,,,,-0.78,-0.55,1.31,0.52,,43.01,531533.0___NA__
Accel,517494.0,__NA__,Computers - Software - Medium / Small,22.42,23.45,14.66,-8.64,-8.61,6.2,2.97,9.73,9.31,17.09,-7.64,-8.17,1.28,1.7,3.35,25.45,-50.25,-77.48,,41.4,45.66,32.63,,,-94.92,-97.82,-18.79,10.45,11.82,1.49,129.06,517494.0___NA__
AccelerateBS Ind,543938.0,__NA__,Computers - Software - Medium / Small,339.0,-1.13,-1.16,0.57,1.96,1.39,0.84,0.84,-0.57,0.0,-1.17,2.0,0.84,0.0,0.84,,,,,,,,,,,,,,,,72.85,543938.0___NA__
Accelya Solution,532268.0,ACCELYA,Computers - Software - Medium / Small,1744.9,133.47,127.53,13.54,-132.43,14.57,30.14,56.05,100.84,118.25,-71.88,-64.22,-17.86,48.0,64.43,296.52,442.53,615.88,828.26,338.38,556.23,760.14,1010.41,-177.69,-173.2,-133.42,-69.51,60.49,28.01,26.77,2605.14,532268.0_ACCELYA
Accent Microcell,-1.0,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.0,3.03,-1.99,-74.04,72.27,1.26,0.31,2.04,3.49,7.82,-4.29,-4.35,-0.82,1.1,2.04,12.5,15.69,,,25.72,36.04,,,,,-90.87,-82.63,3.62,,,597.62,-1.0_ACCENTMIC
Accord Synergy,-1.0,ACCORD,Telecommunications - Service Provider,28.3,0.38,0.36,-0.39,0.0,-0.01,0.04,0.04,-3.87,-3.85,4.98,-1.7,-0.56,0.6,0.04,0.11,14.91,10.19,4.33,0.15,15.01,13.04,10.86,-9.84,-6.16,-3.4,0.63,2.52,0.04,0.14,9.83,-1.0_ACCORD
Accuracy Shippi.,-1.0,ACCURACY,Miscellaneous,13.54,27.92,18.65,-8.74,-18.86,0.32,2.39,11.93,20.79,46.12,-25.14,-20.53,0.46,1.94,15.8,8.66,2.17,,,54.82,72.2,,,,,-67.25,-44.8,5.77,1.65,,203.85,-1.0_ACCURACY
ACE EduTremd Ltd,530093.0,__NA__,Miscellaneous,3.2,0.02,0.02,0.0,0.0,0.02,5.0,0.02,-0.05,-0.05,0.0,0.0,-0.05,0.05,0.01,0.01,-0.01,-0.05,-0.06,0.01,0.0,-0.02,7.0,-7.06,-0.03,-0.01,0.0,0.01,0.01,0.03,2.93,530093.0___NA__
Ace Engitech,530669.0,__NA__,Computers - Software - Medium / Small,21.56,-0.08,0.06,0.14,0.0,0.05,0.05,0.1,-0.41,-0.31,0.21,0.0,-0.1,0.14,0.05,-0.11,-0.34,-1.15,-1.07,-0.12,-0.35,-1.15,-1.07,0.97,1.09,0.38,-0.15,0.37,0.0,0.13,7.12,530669.0___NA__
Ace Integrated,-1.0,ACEINTEG,Computers - Software - Medium / Small,34.19,0.36,0.26,-0.82,-0.07,-0.53,1.79,3.22,0.99,0.77,0.28,-1.8,-0.75,2.54,2.79,1.19,1.66,-2.43,0.06,1.51,2.54,-0.35,3.47,-11.87,-7.68,-1.7,-0.84,0.89,1.61,4.25,34.87,-1.0_ACEINTEG
Ace Men,539661.0,__NA__,Trading,45.99,0.01,0.01,0.0,0.0,0.01,0.02,0.03,0.01,0.01,0.0,0.0,0.01,0.02,0.03,0.02,-0.01,-1.51,-2.8,0.02,-0.01,-1.51,-2.8,2.37,1.54,0.0,0.0,0.02,0.05,0.01,14.24,539661.0___NA__
Ace Soft. Exp.,531525.0,__NA__,Computers - Software - Medium / Small,243.75,-3.32,-3.8,-4.59,12.68,4.76,0.31,5.07,2.46,-0.78,2.83,-2.29,-0.24,0.55,0.31,2.23,-3.8,-9.67,-10.09,-1.52,-6.28,-8.36,-4.01,-5.62,-1.22,-1.36,-4.02,0.37,1.12,0.75,156.0,531525.0___NA__
Achyut Healthcar,543499.0,__NA__,Trading,56.7,-0.36,-6.37,-15.23,15.72,0.14,0.23,0.23,-3.75,-0.43,-4.81,5.21,-0.03,0.26,0.23,-17.11,-17.12,,,-7.75,-7.76,,,,,-21.64,-21.64,0.02,0.04,,95.4,543499.0___NA__
ACI Infocom,517356.0,__NA__,Computers - Software - Medium / Small,2.44,4.29,4.29,-4.29,0.0,0.0,0.02,0.02,-2.61,-2.6,2.59,0.0,0.0,0.03,0.02,2.36,5.1,5.62,3.12,2.37,5.11,5.63,3.13,-3.17,-5.69,-5.26,-2.23,0.05,0.18,0.09,26.96,517356.0___NA__
Acknit Indus.,530043.0,__NA__,Textiles - Products,312.0,-8.53,-12.95,-3.92,12.72,0.26,0.29,0.8,22.41,25.41,-2.99,-22.35,0.07,0.21,0.79,-4.53,16.88,19.1,18.96,9.25,42.41,51.2,63.1,-42.05,-30.82,-24.83,-13.19,0.58,1.37,1.87,94.84,530043.0___NA__
Acme Resources,539391.0,__NA__,Finance & Investments,33.1,-1.03,-1.03,0.01,0.43,-0.59,0.87,0.28,-8.22,-8.22,0.49,7.79,0.07,0.8,0.87,-7.09,24.37,45.93,91.3,-7.06,23.39,45.72,92.18,-31.79,-7.16,-24.06,0.61,1.07,12.05,1.12,85.21,539391.0___NA__
Acrow India,513149.0,__NA__,Diversified - Medium / Small,760.0,-0.82,-0.63,0.8,0.0,-0.02,0.03,0.01,-1.1,-1.01,-6.14,0.0,-7.15,7.18,0.03,-0.74,-2.05,-2.96,5.08,-2.43,-3.72,-4.6,-14.68,15.62,-1.54,-2.12,-3.32,5.76,5.89,6.08,48.64,513149.0___NA__
