Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization,join_key
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,377.5,43.36,12.57,147.67,52.43,-2.35,0.02,11.67,-1.83,215.86,92.35,11.21,20.64,147.67,52.43,37.2,14.83,37.2,14.83,0.0,11.26,-28.05,31.72,-4.5,1739.44,526881.0_63MOONS
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,61.47,-2.55,,,-10.44,-10.44,0.35,8.76,,,,,,,,,,,-27.03,-0.1,-0.02,-0.02,0.06,14.66,540615.0___NA__
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,738.48,125.99,-18.6,15.83,-60.0,113.59,8.34,21.16,-10.53,16.69,-12.92,13.02,-31.52,15.44,-8.44,7.69,-1.41,8.49,-12.58,0.33,-2.65,0.52,-2.2,112.65,540874.0___NA__
A B B,500002.0,ABB,Electric Equipment,8533.85,21.52,9.32,92.69,19.98,6.22,19.12,2.75,3.07,68.31,17.85,12.22,13.78,92.69,19.98,19.52,21.4,19.52,21.4,0.0,592.76,478.2,828.37,715.94,180839.43,500002.0_ABB
A B Infrabuild,-1.0,ABINFRA,Construction,55.4,43.83,27.34,96.64,32.57,-1.87,15.9,14.81,8.38,75.57,22.46,20.09,12.07,29.82,-5.19,20.39,-4.07,81.57,27.9,-22.37,4.57,3.0,10.04,8.59,275.59,-1.0_ABINFRA
A B M Internatl.,-1.0,ABMINTLLTD,Trading,62.0,-10.04,3.89,,-34.47,-1.27,9.69,-5.78,,,,,,,,,,,,0.0,-0.84,-0.1,-0.25,0.1,58.33,-1.0_ABMINTLLTD
A F Enterprises,538351.0,__NA__,Trading,11.3,-39.13,,,,-50.0,-50.0,,,-26.67,,,,12.55,,,,,,-2.77,,,,,41.46,538351.0___NA__
A G Universal,-1.0,AGUL,Trading,64.4,26.8,,151.98,,32.09,32.09,,,73.61,,,,-10.59,,,,,,,0.59,,1.76,,35.31,-1.0_AGUL
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,34.67,14.28,163.86,46.09,5.72,5.72,12.03,11.48,58.32,23.05,17.94,16.72,163.86,46.09,22.43,34.69,22.43,34.69,5.44,3.99,2.71,6.2,4.69,130.54,539300.0___NA__
A R C Finance,540135.0,__NA__,Finance & Investments,1.18,30.16,14.82,14.47,19.78,-22.83,33.53,2.49,97.96,30.06,27.76,16.99,36.22,14.48,19.78,9.84,-12.36,9.84,39.04,0.0,0.26,0.15,0.67,0.41,59.61,540135.0___NA__
A-1 Acid,542012.0,__NA__,Trading,346.0,12.4,7.89,-25.5,-23.47,6.52,6.52,10.01,,-7.15,-2.31,-1.76,,-25.5,-23.47,-37.29,,-13.39,,0.03,3.4,2.72,5.75,5.13,397.91,542012.0___NA__
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1054.0,21.69,4.23,7.22,5.09,3.96,11.97,6.4,7.91,20.24,5.3,7.4,11.37,7.22,5.09,6.91,10.0,6.91,10.0,0.99,77.35,66.17,225.89,208.09,695.64,530499.0___NA__
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.96,-2.17,-14.87,12.55,,-14.93,-14.84,-12.58,-5.7,,,,2.56,12.55,,8.84,6.75,8.49,6.14,0.0,-86.3,-120.61,-40.87,-16.12,386.76,533292.0_A2ZINFRA
AA Plus Trade,543319.0,__NA__,Trading,20.0,31.72,34.4,59.75,39.59,22.24,22.57,,,51.17,28.14,,,31.61,8.02,,,,,,0.24,,0.35,,48.65,543319.0___NA__
AAA Technologies,543671.0,AAATECH,Computers - Software - Medium / Small,110.9,29.24,18.13,41.21,9.28,-1.06,23.39,10.14,6.04,44.51,10.87,47.48,30.51,41.11,-37.26,6.36,2.93,58.1,35.84,0.0,2.65,1.67,3.59,2.32,142.24,543671.0_AAATECH
Aadhar Hsg. Fin.,544176.0,AADHARHFC,Finance - Housing,413.25,17.98,15.37,30.1,34.27,13.52,13.52,,,16.01,14.73,,,30.1,-22.59,,,,,,458.15,,1414.24,,17625.88,544176.0_AADHARHFC
Aadi Industries,530027.0,__NA__,Plastics Products,6.99,,,5.73,10.2,-100.0,-100.0,,,3.23,9.98,4.46,7.15,5.73,10.2,4.92,7.15,4.92,7.15,0.0,0.1,0.21,0.1,-0.02,6.99,530027.0___NA__
Aakash Explor.,-1.0,AAKASH,Oil Drilling / Allied Services,14.16,15.56,12.29,15.12,13.41,21.98,20.42,15.53,,10.15,12.11,14.58,,15.14,13.42,22.67,,28.22,,-6.66,5.21,3.42,8.91,6.22,143.37,-1.0_AAKASH
Aananda Lakshmi,539096.0,__NA__,Construction,14.58,-32.57,-7.19,51.4,34.95,-30.22,-30.22,-33.87,-32.75,304.12,70.42,14.95,0.33,51.4,34.95,13.04,7.59,13.04,22.24,0.0,-1.23,-3.89,0.41,-1.32,5.1,539096.0___NA__
Aanchal Ispat,538812.0,__NA__,Steel - Medium / Small,6.14,-3.25,-20.89,-5.63,,0.3,-28.87,-12.54,-5.38,,,,,-5.63,,,,,,-33.05,-9.64,-4.14,-5.81,0.56,12.8,538812.0___NA__
Aarey Drugs,524412.0,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,4.33,2.22,-10.42,-6.47,1.47,-5.56,-0.01,7.07,-0.69,-1.35,-1.78,14.65,-12.84,-8.0,-6.83,11.43,-2.2,16.12,-4.1,5.46,4.79,9.56,8.78,115.88,524412.0_AAREYDRUGS
Aarnav Fashions,539562.0,__NA__,Textiles - Products,47.5,12.73,195.58,5.11,99.02,68.3,68.3,147.88,,16.62,153.91,112.55,,-25.56,17.31,21.89,12.54,77.81,,45.23,4.51,2.3,14.62,7.38,200.64,539562.0___NA__
Aaron Industries,-1.0,AARON,Engineering,262.35,36.32,29.22,48.32,43.23,45.02,21.94,44.53,,47.07,40.45,72.28,,46.27,41.91,25.25,,99.69,,-1.91,3.74,,5.76,,274.76,-1.0_AARON
Aartech Solonics,542580.0,AARTECH,Electric Equipment,203.22,44.02,18.45,302.07,31.55,32.74,32.74,,,76.36,27.13,,,302.2,31.57,,,,,0.3,0.82,,1.52,,215.21,542580.0_AARTECH
Aarti Drugs,524348.0,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,525.55,5.48,10.13,-15.11,14.47,9.14,15.49,11.3,,-10.36,8.48,7.57,,-14.72,15.06,12.02,,11.43,,-3.07,192.2,135.68,287.5,221.03,4831.62,524348.0_AARTIDRUGS
Aarti Industries,524208.0,AARTIIND,Chemicals,693.0,12.24,8.86,-7.36,-3.24,7.64,7.64,10.52,9.3,0.07,0.38,5.99,9.34,-8.58,-4.09,2.58,10.09,4.04,10.34,-3.39,639.78,479.02,880.42,715.63,25121.56,524208.0_AARTIIND
Aarti Pharma,543748.0,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,605.0,,,,,-4.76,-4.76,,,,,,,,,,,,,,,,,,5482.87,543748.0_AARTIPHARM
Aarti Surfactant,543210.0,AARTISURF,Chemicals,684.95,8.19,17.42,0.96,40.25,23.28,23.28,,,11.48,64.64,,,1.13,,,,,,1.13,12.84,,29.27,,579.37,543210.0_AARTISURF
Aarvee Denims,514274.0,AARVEEDEN,Textiles - Cotton/Blended,28.21,-31.62,-35.37,10.02,,-9.13,-38.04,-28.0,-18.86,-20.14,,,,10.02,,,,,,0.0,-52.32,-24.31,-33.73,6.12,66.18,514274.0_AARVEEDEN
Aarvi Encon,-1.0,AARVI,Miscellaneous,139.09,26.26,14.54,2.73,6.72,13.24,5.83,14.95,15.21,7.25,4.29,6.14,3.35,2.73,6.72,-35.9,-25.75,11.33,9.28,0.07,11.29,8.65,13.12,11.2,205.64,-1.0_AARVI
Aashka Hospitals,543346.0,__NA__,Healthcare,116.9,-17.47,-3.74,-16.88,11.65,-1.59,-1.59,,,-4.55,-2.12,,,-23.84,5.95,,,,,,1.53,,5.14,,273.54,543346.0___NA__
AastamangalamFin,511764.0,__NA__,Finance & Investments,44.25,125.88,45.99,95.74,52.25,-1.85,106.56,26.72,10.29,128.35,58.64,38.43,11.95,53.28,31.48,16.6,0.84,29.48,8.52,-19.59,1.14,0.82,2.08,1.37,39.43,511764.0___NA__
Aatmaj Health,-1.0,AATMAJ,Healthcare,26.25,0.54,,-40.22,,17.18,17.18,,,-13.7,,,,-76.63,,,,,,,3.14,,4.81,,59.33,-1.0_AATMAJ
AAVAS Financiers,541988.0,AAVAS,Finance - Housing,1864.55,22.29,23.23,19.24,22.77,27.09,23.3,30.98,43.55,21.31,23.23,30.28,43.55,18.92,22.45,30.11,40.16,35.96,54.48,-23.61,363.18,219.39,998.9,629.38,14755.99,541988.0_AAVAS
Aayush Food&Herb,539528.0,__NA__,Trading,304.0,-84.18,-65.98,10.72,-1.02,-3.27,-53.37,-51.85,34.93,-34.4,-14.75,0.24,50.34,10.72,-1.02,8.12,,8.12,,-51.28,-0.17,0.08,0.53,0.57,98.64,539528.0___NA__
AB Cotspin,-1.0,ABCOTS,Textiles - Cotton/Blended,259.0,30.4,16.16,19.97,39.68,20.19,21.96,13.12,,38.96,28.56,16.48,,-25.45,4.99,12.61,,38.08,,,4.03,,9.14,,266.57,-1.0_ABCOTS
Aban Offshore,523204.0,ABAN,Oil Drilling / Allied Services,65.53,-27.97,-13.97,10.33,11.84,-17.48,0.74,-19.07,-20.45,22.83,14.51,,,10.33,11.84,-4.11,,-4.11,,0.0,-3142.23,-2433.82,-2095.23,-1274.78,382.47,523204.0_ABAN
ABans Enterprise,512165.0,__NA__,Trading,135.55,-24.15,,-34.1,,-29.0,-29.0,,,-10.51,,,,-34.1,,,,,,0.0,22.77,,36.03,,189.09,512165.0___NA__
Abans Holdings,543712.0,AHL,Finance & Investments,475.35,1.17,-20.64,24.96,18.27,-36.7,-36.7,,,23.08,21.64,,,21.72,-78.48,,,,,,55.96,,100.87,,2383.68,543712.0_AHL
Abate As Indust,531658.0,__NA__,Trading,28.7,,,,,-100.0,-100.0,,,,,,,,,,,,,10.99,-0.31,-0.17,-0.33,-0.18,14.41,531658.0___NA__
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,27624.35,10.71,9.72,20.25,22.02,11.02,9.35,10.53,9.9,19.28,19.15,20.73,18.76,20.25,22.02,23.33,20.21,23.33,20.21,0.0,846.75,583.93,1155.07,827.51,58701.76,500488.0_ABBOTINDIA
ABC Gas (Int.),513119.0,__NA__,Trading,91.58,-71.23,-58.05,-16.84,,-50.0,-50.0,-57.43,-42.78,-17.2,,,,-16.84,,,,,,-31.88,-0.52,-0.27,-0.48,-0.24,18.13,513119.0___NA__
ABC India,520123.0,__NA__,Miscellaneous,112.3,-0.53,-1.44,-3.79,-15.38,-7.7,7.72,3.51,0.12,-2.61,-6.62,44.39,3.79,-3.79,-15.38,13.0,8.02,13.0,8.02,4.64,2.82,-1.59,5.66,1.96,60.83,520123.0___NA__
Abhinav Capital,532057.0,__NA__,Finance & Investments,207.75,67.56,31.02,93.4,28.82,16.36,16.45,19.48,47.67,96.65,30.62,18.99,40.93,93.4,28.82,16.34,68.56,16.34,68.56,0.0,5.19,3.89,7.42,5.58,143.86,532057.0___NA__
Abhinav Leasing,538952.0,__NA__,Finance & Investments,2.69,-23.19,39.92,23.61,60.04,44.4,35.92,38.33,61.47,67.83,34.08,20.31,34.17,23.61,60.04,35.76,5.45,,32.75,0.0,0.09,0.05,1.26,0.84,13.45,538952.0___NA__
Abhishek Finle.,538935.0,__NA__,Finance & Investments,37.0,17.88,4.29,24.05,39.33,25.0,29.31,9.29,12.99,32.15,27.23,13.99,11.61,24.05,39.33,16.99,13.35,16.99,13.35,0.0,0.09,0.07,0.12,0.1,15.78,538935.0___NA__
Abhishek Infra.,539544.0,__NA__,Construction,7.04,,,5.9,,-99.43,-99.43,,,5.9,,,,13.89,,,,,,-3.24,,,,,3.55,539544.0___NA__
Abhishek Integr.,-1.0,AILIMITED,Construction,69.45,121.24,235.36,85.82,,221.92,221.92,,,109.1,,,,62.14,,,,,,,0.42,,0.82,,41.82,-1.0_AILIMITED
Abirami Fin.,511756.0,__NA__,Finance & Investments,58.2,,,141.49,135.54,-39.47,,,,383.46,49.23,26.01,7.27,148.93,140.56,60.01,20.97,57.62,19.71,6.57,3.18,1.68,3.92,2.07,31.43,511756.0___NA__
ABM Knowledge,531161.0,__NA__,Computers - Software - Medium / Small,148.0,2.21,7.4,-8.76,-1.17,6.05,13.48,-2.67,-0.29,-9.57,-3.48,-5.91,-1.06,-8.76,-1.17,-2.94,0.27,-2.94,0.27,0.0,15.5,16.11,20.37,22.65,296.03,531161.0___NA__
ABS Marine,-1.0,ABSMARINE,Shipping,357.0,15.14,,164.55,,21.13,21.13,,,23.64,,,,,,,,,,,,,,,876.45,-1.0_ABSMARINE
ACC,500410.0,ACC,Cement - North India,2644.15,13.13,6.16,11.85,7.24,5.28,5.78,8.9,6.08,11.49,10.1,12.19,6.67,11.85,7.24,18.13,7.33,18.13,7.33,2.16,1578.88,1286.34,2135.81,1686.06,49653.81,500410.0_ACC
Accedere,531533.0,__NA__,Computers - Software - Medium / Small,85.5,64.99,10.84,,,49.12,49.12,,,2.5,6.96,,,,,,,,,8.76,-0.03,,-0.05,,43.01,531533.0___NA__
Accel,517494.0,__NA__,Computers - Software - Medium / Small,22.46,33.13,89.99,39.74,23.7,40.28,57.69,61.42,,67.9,63.09,41.99,,39.62,23.62,11.72,,16.41,,-0.79,0.36,,6.45,,129.29,517494.0___NA__
AccelerateBS Ind,543938.0,__NA__,Computers - Software - Medium / Small,339.0,,,,,142.14,142.14,,,,,,,,,,,,,,,,,,72.85,543938.0___NA__
Accelya Solution,532268.0,ACCELYA,Computers - Software - Medium / Small,1744.95,4.44,4.18,10.82,5.74,4.25,13.2,4.67,4.44,7.15,4.9,4.61,3.71,10.82,5.74,5.13,3.41,5.13,3.41,-14.61,85.88,85.0,123.47,127.21,2605.21,532268.0_ACCELYA
Accent Microcell,-1.0,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.0,22.8,,86.23,,20.23,20.23,,,49.35,,,,9.7,,,,,,,11.78,,17.24,,597.62,-1.0_ACCENTMIC
Accord Synergy,-1.0,ACCORD,Telecommunications - Service Provider,28.3,-6.55,-16.29,-25.94,-35.0,-12.89,-19.27,-9.49,,-34.43,-35.95,-26.05,,-25.94,-35.0,-28.57,,-25.14,,0.0,-0.57,0.87,0.06,2.2,9.83,-1.0_ACCORD
Accuracy Shippi.,-1.0,ACCURACY,Miscellaneous,13.55,23.65,15.91,-61.63,-42.65,6.46,6.46,,,-7.34,-3.47,,,-61.63,-42.65,,,,,0.29,7.89,,20.87,,204.0,-1.0_ACCURACY
ACE EduTremd Ltd,530093.0,__NA__,Miscellaneous,3.2,,,14.47,11.02,-55.56,-55.56,,,,,,,14.47,11.02,8.05,,8.05,,0.0,-0.33,-0.47,-0.27,-0.46,2.93,530093.0___NA__
Ace Engitech,530669.0,__NA__,Computers - Software - Medium / Small,21.56,,,13.62,12.03,-8.0,-8.0,,,14.47,12.22,-1.05,,13.62,12.03,-2.18,,-2.18,,25.45,-0.17,-0.24,-0.16,-0.23,7.12,530669.0___NA__
Ace Integrated,-1.0,ACEINTEG,Computers - Software - Medium / Small,34.19,11.24,12.6,43.07,2.64,7.52,31.63,-9.83,-4.24,-7.85,-16.11,-22.65,-11.09,43.07,2.64,-18.57,,-14.91,-10.11,0.0,0.61,0.88,0.88,1.48,34.87,-1.0_ACEINTEG
Ace Men,539661.0,__NA__,Trading,46.0,,,-27.89,,-58.54,53.13,,,-24.86,55.18,,,-27.89,28.47,3.66,,,,-8.47,0.17,0.08,0.22,0.11,14.24,539661.0___NA__
Ace Soft. Exp.,531525.0,__NA__,Computers - Software - Medium / Small,239.0,38.91,24.28,111.68,52.86,5.52,10.51,15.93,17.57,209.28,69.09,21.85,21.56,95.51,46.03,19.83,19.49,25.31,23.29,7.12,0.33,0.42,0.23,0.42,152.96,531525.0___NA__
Achyut Healthcar,543499.0,__NA__,Trading,56.7,183.31,55.75,284.85,126.03,-18.18,-18.18,,,321.72,137.14,,,10.66,27.39,,,,,,0.17,,0.24,,95.4,543499.0___NA__
ACI Infocom,517356.0,__NA__,Computers - Software - Medium / Small,2.44,164.95,-25.27,-20.63,55.18,-73.93,-95.19,-32.14,,-10.37,,-6.12,-3.61,-20.63,55.18,-11.4,-4.98,-11.4,-4.98,0.0,0.08,0.09,0.12,0.15,26.96,517356.0___NA__
Acknit Indus.,530043.0,__NA__,Textiles - Products,312.0,8.7,5.13,13.42,12.71,1.3,1.3,4.81,5.09,6.3,4.74,5.22,7.88,13.42,12.71,12.18,11.16,15.23,13.27,-0.01,7.04,5.2,12.82,11.24,94.84,530043.0___NA__
Acme Resources,539391.0,__NA__,Finance & Investments,33.1,13.44,2.89,28.5,16.67,-15.71,18.66,-16.84,-10.86,29.14,19.4,-25.02,-17.49,28.5,16.67,-24.83,-16.69,-24.83,-16.69,0.0,0.63,1.67,2.09,6.6,85.21,539391.0___NA__
Acrow India,513149.0,__NA__,Diversified - Medium / Small,750.15,,,68.18,33.56,-100.0,-100.0,,,70.26,14.62,37.09,16.49,68.18,33.56,26.51,13.73,26.51,13.73,0.04,-0.14,-0.09,-0.26,-0.33,48.01,513149.0___NA__
Action Const.Eq.,532762.0,ACE,Engineering,1460.45,33.41,16.76,62.97,42.56,17.84,32.53,21.37,16.81,55.04,35.02,39.57,32.09,60.38,42.13,57.4,56.77,57.73,59.71,-3.29,143.49,84.88,204.87,128.05,17391.53,532762.0_ACE
Active Clothing,541144.0,__NA__,Textiles - Products,97.65,42.66,6.57,332.67,9.69,6.05,5.92,8.5,,25.5,5.25,6.51,,332.67,9.69,-37.69,,17.1,,0.0,1.71,1.87,9.31,8.94,151.48,541144.0___NA__
AD Manum Finance,511359.0,__NA__,Finance & Investments,79.39,5.44,2.04,36.16,48.28,-5.24,-0.4,-2.96,-8.01,28.55,13.02,9.21,-4.29,36.16,48.28,37.23,3.04,37.23,3.04,4.39,4.54,2.48,7.05,6.78,59.54,511359.0___NA__
Adani Energy Sol,539254.0,ADANIENSOL,Power Generation And Supply,1003.4,18.71,17.85,-5.05,13.38,31.08,18.08,28.47,,6.86,14.7,17.45,,-5.5,13.05,13.86,,14.09,,-1.69,1088.45,791.27,4010.27,2756.87,111928.51,539254.0_ADANIENSOL
Adani Enterp.,512599.0,ADANIENT,Trading,3177.5,34.6,19.02,48.28,42.77,7.42,7.49,14.87,5.78,58.42,37.79,25.53,2.2,46.52,41.75,20.61,4.65,21.24,5.02,-2.31,1777.2,1422.59,5218.66,4488.78,362235.36,512599.0_ADANIENT
Adani Green,541450.0,ADANIGREEN,Power Generation And Supply,1778.8,43.44,34.98,67.9,36.08,39.03,23.86,51.57,,48.13,40.8,55.0,,67.19,35.89,40.05,,43.7,,0.08,628.41,,3598.8,,281767.71,541450.0_ADANIGREEN
Adani Ports,532921.0,ADANIPORTS,Miscellaneous,1481.9,28.63,19.58,21.06,17.0,18.72,21.81,17.89,18.65,17.02,16.5,15.01,17.2,18.61,16.01,11.88,17.71,12.56,18.21,2.15,5840.42,4602.8,9148.07,7241.0,320110.98,532921.0_ADANIPORTS
Adani Power,533096.0,ADANIPOWER,Power Generation And Supply,719.75,24.29,16.09,153.37,88.46,10.82,10.82,12.11,12.63,38.35,30.39,23.55,19.27,153.37,88.46,42.5,55.22,42.5,59.76,-3.22,7321.02,3072.44,11496.93,7893.68,277603.17,533096.0_ADANIPOWER
Adani Total Gas,542066.0,ATGL,Miscellaneous,888.35,38.19,21.09,12.13,22.74,9.05,9.05,,,15.92,17.05,,,12.13,22.74,,,,,0.0,525.37,,764.28,,97701.64,542066.0_ATGL
Adani Wilmar,543458.0,AWL,Solvent Extraction,333.5,11.39,12.22,-39.91,-15.88,7.44,7.44,,,-0.55,2.33,,,-73.28,-48.27,,,,,,547.14,,1309.92,,43344.27,543458.0_AWL
Adarsh Plant,526711.0,__NA__,Packaging,34.0,13.87,12.52,30.59,20.16,8.34,8.43,8.33,9.05,18.22,26.55,3.43,8.38,30.59,20.16,29.55,12.32,29.55,12.32,21.57,0.19,-0.18,0.39,0.15,33.69,526711.0___NA__
ADC India,523411.0,__NA__,Telecommunications - Equipment,2100.0,44.0,15.86,79.12,28.7,8.77,18.39,17.01,13.93,69.38,25.47,22.95,20.89,79.12,28.7,27.01,19.97,27.01,19.97,0.0,8.95,6.83,12.17,9.49,966.0,523411.0___NA__
Adcon Capital,539506.0,__NA__,Finance & Investments,0.87,81.71,47.58,95.74,71.88,7.69,8.33,45.79,29.16,95.74,77.26,94.42,27.85,136.93,92.74,65.44,38.83,,31.1,0.0,0.15,0.09,0.21,0.12,17.25,539506.0___NA__
Add-Shop E-Reta.,541865.0,__NA__,Trading,15.89,37.39,55.34,-25.62,29.43,86.62,65.43,72.05,,-12.86,33.5,62.84,,-17.53,37.49,,,54.56,,-35.79,10.09,,14.78,,44.99,541865.0___NA__
Addi Industries,507852.0,__NA__,Textiles - Products,50.07,,,61.44,57.38,-69.7,-100.0,,,264.32,81.21,,55.59,61.44,57.38,,26.31,,26.31,0.0,1.33,,1.49,,54.06,507852.0___NA__
Addictive Learn,-1.0,LAWSIKHO,Miscellaneous,308.0,111.3,,768.45,,90.75,90.75,,,756.35,,,,34.08,,,,,,,1.7,,3.1,,490.02,-1.0_LAWSIKHO
Adeshwar Meditex,543309.0,__NA__,Healthcare,27.0,6.57,8.58,4.13,-2.32,-1.83,6.05,,,1.89,-1.51,,,-6.25,-21.04,,,,,,1.75,,4.6,,38.96,543309.0___NA__
ADF Foods,519183.0,ADFFOODS,Food - Processing - Indian,242.95,12.05,17.59,14.2,23.49,6.9,15.56,14.57,9.62,16.67,21.7,22.35,20.3,10.72,21.22,25.4,33.05,26.04,33.03,5.0,53.57,34.02,73.17,48.43,2669.13,519183.0_ADFFOODS
Adhbhut Infra.,539189.0,__NA__,Construction,29.07,231.93,84.42,74.86,46.87,-19.42,20.75,34.0,,518.85,160.73,42.4,13.3,74.86,46.87,22.88,,22.88,5.08,-1.33,0.08,0.05,0.33,0.27,31.98,539189.0___NA__
Adinath Exim Res,532056.0,__NA__,Finance & Investments,23.88,5.39,9.64,5.27,8.06,6.56,4.62,10.56,13.13,3.89,10.96,12.72,15.18,5.27,8.06,8.02,14.28,8.82,14.87,0.0,0.49,0.37,0.66,0.47,10.31,532056.0___NA__
Adinath Textiles,514113.0,__NA__,Textiles - Spinning - Synthetic / Blended,25.91,,,14.47,24.93,-3.97,-100.0,,,7.84,32.7,3.54,5.83,14.47,24.93,9.15,8.11,9.15,8.11,-0.06,0.31,0.18,0.39,0.26,17.65,514113.0___NA__
Adit.Birla Money,532974.0,BIRLAMONEY,Finance & Investments,164.55,26.57,17.87,49.76,39.66,12.72,14.27,17.69,18.9,47.38,28.81,39.78,62.25,49.58,39.56,35.82,24.55,36.21,24.74,-0.27,28.15,17.22,82.73,51.34,929.85,532974.0_BIRLAMONEY
Aditya AMC,543374.0,ABSLAMC,Finance & Investments,649.1,4.04,-0.78,14.03,11.8,0.3,-2.67,4.22,,12.36,8.91,17.21,,-54.75,-35.79,-19.53,,19.58,,,614.05,,815.9,,18700.54,543374.0_ABSLAMC
Aditya Bir. Fas.,535755.0,ABFRL,Textiles - Products,316.95,38.67,11.51,2.26,,12.71,12.71,,,37.67,21.05,,,6.96,,,,,,-4.25,-332.52,,158.43,,32205.35,535755.0_ABFRL
Aditya Birla Cap,540691.0,ABCAPITAL,Finance & Investments,238.8,21.45,17.87,44.49,32.67,31.59,15.35,28.76,,30.51,17.44,20.25,,40.98,28.33,16.89,,30.05,,-1.74,2353.76,1465.91,7941.48,5683.41,62137.63,540691.0_ABCAPITAL
Aditya Consumer,540146.0,__NA__,Trading,83.5,-0.12,2.09,,,9.69,0.63,4.85,5.86,,,,,,,,,,,0.0,0.01,0.94,0.8,2.07,122.19,540146.0___NA__
